Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
60,David Barbona,ARG,"MF,FW",Defensa y Just,27,1995,16.9,50.6,0.53,4.79,24.0,23.1,1.36,50.6,4.14,2.19,52.9,1.72,41.4,29.0,207.7,94.7,2.96,2.31,0.18,2.37,0.71,33.3,5.56,https://fbref.com/en/players/62eef061/David-Barbona,62eef061,Argentina Liga Profesional
61,Mateo Barcia,URU,"DF,MF",Independiente,21,2001,18.0,44.0,2.11,10.9,20.1,14.1,1.83,44.0,4.11,2.56,62.2,1.33,32.4,20.3,141.1,70.3,2.11,1.33,0.61,2.83,1.11,20.2,3.33,https://fbref.com/en/players/a35ee3a5/Mateo-Barcia,a35ee3a5,Argentina Liga Profesional
62,Ezequiel Barco,ARG,"FW,MF",River Plate,23,1999,16.7,72.8,0.24,4.19,36.6,33.1,3.23,72.5,4.43,2.46,55.4,1.20,27.0,49.6,321.4,178.1,6.05,4.73,1.56,1.86,1.08,56.3,7.84,https://fbref.com/en/players/7fa737c4/Ezequiel-Barco,7fa737c4,Argentina Liga Profesional
63,Valentín Barco,ARG,"DF,FW",Boca Juniors,18,2004,9.2,64.7,0.76,14.1,31.3,20.4,1.52,64.7,6.30,2.72,43.1,2.61,41.4,41.2,241.6,118.7,3.15,2.61,0.87,2.07,2.83,44.7,6.52,https://fbref.com/en/players/b9f282ec/Valentin-Barco,b9f282ec,Argentina Liga Profesional
64,Adam Bareiro,PAR,FW,San Lorenzo,26,1996,19.5,35.3,1.13,2.05,16.5,17.1,4.41,35.2,2.92,1.33,45.6,1.38,47.4,18.3,76.2,25.1,0.97,0.56,0.46,2.72,1.59,25.9,4.82,https://fbref.com/en/players/afb7f0ea/Adam-Bareiro,afb7f0ea,Argentina Liga Profesional
65,Juan Barinaga,ARG,DF,Club Atlético Belgrano,22,2000,13.7,56.6,2.70,17.8,25.7,14.1,0.58,56.6,4.67,2.19,46.9,2.04,43.8,21.8,137.2,82.6,2.26,1.75,0.22,0.95,0.73,24.3,3.36,https://fbref.com/en/players/6bdb7078/Juan-Barinaga,6bdb7078,Argentina Liga Profesional
66,Daniel Barrea,ARG,FW,Club Atlético Belgrano,21,2001,2.1,34.8,0.00,1.43,14.8,20.0,4.29,34.8,4.29,3.33,77.8,0.95,22.2,24.3,177.6,80.0,4.29,0.48,0.95,4.29,1.90,28.1,8.57,https://fbref.com/en/players/5bf6b9f3/Daniel-Barrea,5bf6b9f3,Argentina Liga Profesional
67,Diego Barrera,ARG,FW,Talleres,18,2004,1.4,40.0,0.00,4.29,14.3,21.4,1.43,40.0,3.57,1.43,40.0,1.43,40.0,20.0,80.7,35.7,2.14,0.00,0.00,3.57,5.71,20.7,11.4,https://fbref.com/en/players/3ad28381/Diego-Barrera,3ad28381,Argentina Liga Profesional
68,Sergio Barreto,ARG,DF,Independiente,23,1999,12.9,47.0,5.81,24.4,21.3,1.71,1.09,47.0,0.00,0.00,,0.00,,21.6,119.1,73.6,0.00,0.16,0.00,0.23,0.08,21.9,0.23,https://fbref.com/en/players/0c14329b/Sergio-Barreto,0c14329b,Argentina Liga Profesional
69,Nicolás Barrientos,ARG,"MF,FW",Instituto Atlético Central Córdoba,27,1995,1.2,72.5,0.00,1.67,35.8,36.7,0.83,72.5,5.00,3.33,66.7,1.67,33.3,45.0,338.3,120.8,5.00,2.50,0.83,2.50,2.50,46.7,5.83,https://fbref.com/en/players/189d9c64/Nicolas-Barrientos,189d9c64,Argentina Liga Profesional
