Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
166,Harry Cornick,ENG,FW,Bristol City,28-274,1995,24,683,28,29.2,7.6,0.53,67,0.13,2.63,21,0.26,1.33,0.66,1.05,-0.39,-0.40,-0.67,1.05,1.28,-0.22,-0.22,-0.38,https://fbref.com/en/players/9169bc41/Harry-Cornick,9169bc41,EFL Championship
167,Sam Cosgrove,ENG,FW,Birmingham City,27-037,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/ea55ae1a/Sam-Cosgrove,ea55ae1a,EFL Championship
168,Hayden Coulson,ENG,DF,Middlesbrough,25-205,1998,2,148,74,6.3,1.6,1.25,74,0.00,0.00,,6.25,0.00,0.00,1.25,-1.25,-1.22,-1.26,1.13,1.13,0.00,-0.01,-0.54,https://fbref.com/en/players/de83e2e0/Hayden-Coulson,de83e2e0,EFL Championship
169,Lewie Coyle,ENG,DF,Hull City,28-085,1995,24,1943,81,83.0,21.6,1.02,86,0.79,0.09,23,0.00,1.46,1.48,1.34,0.14,+0.14,-0.09,1.28,1.12,0.16,+0.16,-0.42,https://fbref.com/en/players/97aba136/Lewie-Coyle,97aba136,EFL Championship
170,Rocco Coyle,ENG,MF,Hull City,17-141,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/2fa9f1e9/Rocco-Coyle,2fa9f1e9,EFL Championship
171,Charlie Cresswell,ENG,DF,Leeds United,21-144,2002,4,130,33,5.6,1.4,0.71,90,0.71,2.14,13,5.00,1.75,0.71,1.43,-0.71,-0.69,-1.55,0.64,1.21,-0.57,-0.56,-1.47,https://fbref.com/en/players/4654e5f5/Charlie-Cresswell,4654e5f5,EFL Championship
172,Matt Crooks,ENG,MF,Middlesbrough,29-353,1994,23,1478,64,63.2,16.4,1.10,79,0.30,0.30,12,0.00,1.43,1.52,1.65,-0.12,-0.12,-0.23,1.64,1.23,0.41,+0.41,-0.22,https://fbref.com/en/players/43f5d4e6/Matt-Crooks,43f5d4e6,EFL Championship
173,Liam Cullen,WAL,"FW,MF",Swansea City,24-260,1999,25,1129,45,48.2,12.5,1.20,67,0.24,0.80,13,0.00,1.24,1.60,1.12,0.48,+0.48,+1.22,1.32,1.75,-0.42,-0.42,-0.07,https://fbref.com/en/players/20b8cd02/Liam-Cullen,20b8cd02,EFL Championship
174,Luke Cundle,ENG,"MF,FW",Plymouth Argyle,21-257,2002,24,1230,51,52.6,13.7,0.95,76,0.22,0.80,22,0.07,1.08,1.68,1.53,0.15,+0.15,+0.47,1.31,1.63,-0.32,-0.33,+0.25,https://fbref.com/en/players/cc3b8e78/Luke-Cundle,cc3b8e78,EFL Championship
175,Greg Cunningham,IRL,DF,Preston,32-342,1991,6,399,67,17.1,4.4,1.14,78,0.91,0.23,8,2.95,0.83,1.14,2.27,-1.14,-1.13,-0.76,0.48,1.23,-0.75,-0.75,-0.41,https://fbref.com/en/players/dc10b26c/Greg-Cunningham,dc10b26c,EFL Championship
176,Bradley Dack,ENG,"FW,MF",Sunderland,30-008,1993,12,473,39,20.2,5.3,0.94,65,0.00,1.32,21,0.75,1.25,1.51,0.57,0.94,+0.95,+0.81,1.75,0.68,1.08,+1.08,+0.69,https://fbref.com/en/players/542d4f02/Bradley-Dack,542d4f02,EFL Championship
177,Patson Daka,ZAM,FW,Leicester City,25-091,1998,7,444,63,19.0,4.9,1.22,74,0.20,0.20,2,2.04,2.71,3.06,0.61,2.45,+2.43,+1.29,2.27,0.49,1.78,+1.76,+1.04,https://fbref.com/en/players/ca45605e/Patson-Daka,ca45605e,EFL Championship
178,Luke Daley,ENG,DF,Huddersfield,20-009,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/d12af425/Luke-Daley,d12af425,EFL Championship
179,Harry Darling,ENG,DF,Swansea City,24-153,1999,24,1942,81,83.0,21.6,0.88,89,0.83,0.23,51,0.09,1.29,1.44,1.25,0.19,+0.19,+1.99,1.24,1.49,-0.25,-0.25,+0.79,https://fbref.com/en/players/0b0a1b58/Harry-Darling,0b0a1b58,EFL Championship
180,Karl Darlow,ENG,GK,Leeds United,33-092,1990,2,126,63,5.4,1.4,0.71,90,0.71,0.71,36,16.4,0.00,0.71,2.14,-1.43,-1.43,-2.32,1.29,1.07,0.21,+0.24,-0.62,https://fbref.com/en/players/cde3309f/Karl-Darlow,cde3309f,EFL Championship
181,Jay Dasilva,ENG,"DF,MF",Coventry City,25-261,1998,22,1482,67,63.3,16.5,1.03,83,0.67,0.30,15,0.24,1.23,1.21,1.15,0.06,+0.06,-0.88,1.42,1.11,0.31,+0.31,+0.10,https://fbref.com/en/players/2a158ded/Jay-Dasilva,2a158ded,EFL Championship
182,Leif Davis,ENG,DF,Ipswich Town,23-361,2000,23,2012,87,86.0,22.4,1.03,87,0.85,0.00,,0.00,2.17,2.05,1.47,0.58,+0.58,+0.03,1.67,1.10,0.57,+0.57,+0.42,https://fbref.com/en/players/8574c61f/Leif-Davis,8574c61f,EFL Championship
183,Cameron Dawson,ENG,GK,Sheffield Weds,28-185,1995,17,1530,90,65.4,17.0,1.00,90,1.00,0.00,,0.53,1.18,1.00,1.41,-0.41,-0.41,+0.92,1.17,1.05,0.12,+0.12,+0.87,https://fbref.com/en/players/872891bc/Cameron-Dawson,872891bc,EFL Championship
184,Liam Delap,ENG,FW,Hull City,20-334,2003,26,1989,77,85.0,22.1,1.09,81,0.41,0.09,28,0.00,1.50,1.45,1.36,0.09,+0.09,-0.42,1.24,0.94,0.30,+0.30,+0.46,https://fbref.com/en/players/dd897ee7/Liam-Delap,dd897ee7,EFL Championship
185,Tom Dele-Bashiru,NGA,"MF,DF",Watford,24-113,1999,18,902,50,38.5,10.0,1.30,61,0.10,0.50,23,0.50,1.44,1.50,1.50,0.00,0.00,-0.38,1.32,1.21,0.11,+0.11,-0.01,https://fbref.com/en/players/0666f848/Tom-Dele-Bashiru,0666f848,EFL Championship
186,Juan Delgado,CHI,"DF,MF",Sheffield Weds,30-309,1993,10,680,68,29.1,7.6,1.18,74,0.26,0.13,18,0.00,0.20,0.53,1.32,-0.79,-0.79,-0.09,0.62,1.22,-0.61,-0.61,-0.60,https://fbref.com/en/players/45a91d07/Juan-Delgado,45a91d07,EFL Championship
187,Siriki Dembélé,CIV,FW,Birmingham City,27-123,1996,22,1482,67,63.3,16.5,1.09,77,0.36,0.24,22,0.00,1.09,1.09,1.70,-0.61,-0.61,-0.50,1.10,1.51,-0.41,-0.41,-0.25,https://fbref.com/en/players/11f54bd5/Siriki-Dembele,11f54bd5,EFL Championship
188,Rav van den Berg,NED,DF,Middlesbrough,19-185,2004,19,1558,82,66.6,17.3,1.04,86,0.81,0.06,10,0.23,1.42,1.68,1.68,0.00,0.00,+0.12,1.55,1.34,0.21,+0.21,-0.85,https://fbref.com/en/players/e962e4b5/Rav-van-den-Berg,e962e4b5,EFL Championship
189,Tristan van den Heuvel,NED,GK,Leeds United,20-225,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/8952e826/Tristan-van-den-Heuvel,8952e826,EFL Championship
190,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,25-124,1998,25,2050,82,87.6,22.8,1.01,86,0.70,0.09,32,0.04,2.48,2.02,0.66,1.36,+1.36,-0.19,1.81,0.82,0.99,+0.99,+0.60,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall,5c74c0f5,EFL Championship
191,Bambo Diaby,SEN,DF,Sheffield Weds,26-022,1997,20,1708,85,73.0,19.0,1.05,85,0.79,0.00,,0.05,0.75,0.68,1.79,-1.11,-1.11,-1.39,1.06,1.18,-0.12,-0.11,+0.25,https://fbref.com/en/players/7fd1abc5/Bambo-Diaby,7fd1abc5,EFL Championship
