Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
394,Yari Verschaeren,BEL,"FW,MF",Anderlecht,22-180,2001,3.8,62.1,2.37,12.4,30.0,20.5,1.84,62.1,4.21,2.89,68.8,1.05,25.0,41.6,269.7,74.2,1.58,2.63,0.26,4.21,1.05,37.4,6.05,https://fbref.com/en/players/6b71ba6c/Yari-Verschaeren,6b71ba6c,Jupiler Pro League
395,Jan Vertonghen,BEL,DF,Anderlecht,36-259,1987,17.9,74.8,11.8,34.1,38.9,2.40,0.61,74.8,0.95,0.50,52.9,0.28,29.4,54.3,317.0,162.7,0.73,0.95,0.00,0.28,0.06,49.7,0.22,https://fbref.com/en/players/ba23a904/Jan-Vertonghen,ba23a904,Jupiler Pro League
396,Hugo Vetlesen,NOR,MF,Club Brugge,23-313,2000,13.8,64.6,2.25,10.5,39.7,15.1,1.74,64.6,2.10,0.94,44.8,0.80,37.9,48.6,288.2,126.4,2.03,2.25,0.43,1.30,1.81,44.5,2.32,https://fbref.com/en/players/aa982b0f/Hugo-Vetlesen,aa982b0f,Jupiler Pro League
397,Sam Vines,USA,DF,Antwerp,24-222,1999,2.3,78.7,3.48,19.1,37.4,22.2,1.30,78.7,1.74,0.43,25.0,1.30,75.0,56.1,323.0,160.9,1.74,1.30,0.00,0.43,0.87,51.3,3.04,https://fbref.com/en/players/2d6e535f/Sam-Vines,2d6e535f,Jupiler Pro League
398,Thibault Vlietinck,BEL,"DF,FW",OH Leuven,26-142,1997,5.1,54.1,1.96,7.84,19.6,27.3,1.37,54.1,3.92,1.37,35.0,2.35,60.0,37.3,265.7,127.6,3.92,3.33,0.59,1.18,0.78,34.7,7.45,https://fbref.com/en/players/5064d4c1/Thibault-Vlietinck,5064d4c1,Jupiler Pro League
399,Sandy Walsh,IDN,DF,Mechelen,28-300,1995,14.1,60.3,3.26,19.5,27.5,13.5,1.84,60.3,0.71,0.14,20.0,0.57,80.0,40.9,197.1,79.6,0.99,1.42,0.07,0.71,0.21,38.1,4.04,https://fbref.com/en/players/c43a8301/Sandy-Walsh,c43a8301,Jupiler Pro League
400,Warleson,BRA,GK,Cercle Brugge,27-130,1996,20.0,32.6,19.2,31.1,1.70,0.00,0.00,32.6,0.00,0.00,,0.00,,18.3,122.5,72.8,0.00,0.00,0.00,0.10,0.00,10.6,0.00,https://fbref.com/en/players/592410a2/Warleson,592410a2,Jupiler Pro League
401,Martin Wasinski,BEL,DF,Kortrijk,19-276,2004,5.8,65.7,4.83,28.1,34.1,3.97,0.34,65.7,1.21,0.52,42.9,0.52,42.9,42.6,267.6,120.3,0.69,1.03,0.17,0.69,0.34,37.9,0.69,https://fbref.com/en/players/180fe6bc/Martin-Wasinski,180fe6bc,Jupiler Pro League
402,Tsuyoshi Watanabe,JPN,DF,Gent,26-337,1997,20.0,66.2,8.65,34.1,30.6,1.80,1.15,66.2,0.45,0.30,66.7,0.05,11.1,47.1,245.5,107.0,0.35,0.15,0.00,0.20,0.10,43.5,0.25,https://fbref.com/en/players/d5f5955a/Tsuyoshi-Watanabe,d5f5955a,Jupiler Pro League
403,Owen Wijndal,NED,DF,Antwerp,24-041,1999,7.7,79.5,1.95,14.0,44.5,21.7,2.08,79.5,1.04,0.26,25.0,0.65,62.5,54.7,284.3,137.0,2.21,2.47,0.26,0.65,0.00,53.2,5.84,https://fbref.com/en/players/83300259/Owen-Wijndal,83300259,Jupiler Pro League
404,Rihito Yamamoto,JPN,"MF,DF",Sint-Truiden,22-027,2001,4.7,56.2,0.64,7.45,27.0,22.1,2.98,56.2,1.91,1.28,66.7,0.43,22.2,44.0,224.3,67.7,1.28,1.06,0.21,2.55,0.64,38.9,8.51,https://fbref.com/en/players/ceea0da2/Rihito-Yamamoto,ceea0da2,Jupiler Pro League
405,Roman Yaremchuk,UKR,FW,Club Brugge,28-042,1995,0.7,52.9,2.86,2.86,22.9,27.1,8.57,52.9,2.86,2.86,100.0,0.00,0.0,42.9,207.1,62.9,2.86,0.00,1.43,7.14,2.86,45.7,14.3,https://fbref.com/en/players/cb641b9d/Roman-Yaremchuk,cb641b9d,Jupiler Pro League
406,Lorenzo Youndje,BEL,"DF,MF",Eupen,18-271,2005,1.0,77.0,5.00,15.0,30.0,33.0,3.00,77.0,7.00,3.00,42.9,4.00,57.1,42.0,313.0,136.0,3.00,2.00,1.00,4.00,4.00,29.0,8.00,https://fbref.com/en/players/a66b26ed/Lorenzo-Youndje,a66b26ed,Jupiler Pro League
407,Griffin Yow,USA,"FW,MF",Westerlo,21-105,2002,7.7,41.0,0.52,6.36,15.2,21.2,4.29,41.0,5.06,2.86,56.4,1.95,38.5,29.4,190.6,79.0,2.60,1.69,1.56,4.42,1.43,26.9,7.66,https://fbref.com/en/players/ddd5cf39/Griffin-Yow,ddd5cf39,Jupiler Pro League
408,Alhassan Yusuf,NGA,MF,Antwerp,23-174,2000,8.0,63.8,2.25,15.8,38.9,11.1,0.50,63.8,2.00,0.88,43.8,0.88,43.8,44.8,249.5,102.9,0.88,1.50,0.25,1.38,1.13,37.5,1.38,https://fbref.com/en/players/0de73fa4/Alhassan-Yusuf,0de73fa4,Jupiler Pro League
409,Kahveh Zahiroleslam,USA,FW,Sint-Truiden,21-209,2002,5.4,28.5,0.37,2.04,15.6,11.7,3.52,28.5,1.67,0.93,55.6,0.74,44.4,21.7,145.2,54.3,1.48,1.11,0.93,2.41,2.41,22.6,8.52,https://fbref.com/en/players/ff17d63b/Kahveh-Zahiroleslam,ff17d63b,Jupiler Pro League
410,Andi Zeqiri,SUI,FW,Genk,24-200,1999,6.0,27.5,0.83,1.67,11.7,14.3,6.67,27.5,2.00,1.17,58.3,0.83,41.7,18.0,88.2,33.5,1.17,0.67,1.00,2.50,1.33,18.0,4.83,https://fbref.com/en/players/d01231f0/Andi-Zeqiri,d01231f0,Jupiler Pro League
411,Philip Zinckernagel,DEN,"FW,MF",Club Brugge,29-023,1994,12.9,52.2,0.31,4.19,18.6,30.1,4.19,52.2,3.72,1.71,45.8,1.78,47.9,37.8,253.9,112.2,3.49,2.25,0.85,2.09,1.40,36.2,8.29,https://fbref.com/en/players/a5ea254c/Philip-Zinckernagel,a5ea254c,Jupiler Pro League
412,Adem Zorgane,ALG,MF,Charleroi,24-002,2000,18.0,97.5,4.06,19.6,49.7,29.4,2.28,97.5,2.28,1.11,48.8,1.17,51.2,74.5,360.4,150.0,2.11,2.78,0.44,2.00,1.44,69.5,4.44,https://fbref.com/en/players/392b5133/Adem-Zorgane,392b5133,Jupiler Pro League
