Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
45,Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,22-140,2001,4.8,1.46,1.45,0.83,0.21,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b68c3ff0/Joselpho-Barnes,b68c3ff0,Jupiler Pro League
46,Jacob Barrett Laursen,DEN,DF,Standard Liège,29-165,1994,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c0d3bd23/Jacob-Barrett-Laursen,c0d3bd23,Jupiler Pro League
47,Norman Bassette,BEL,"FW,MF",Mechelen,19-173,2004,6.4,1.72,1.72,0.78,0.00,0.16,0.16,0.47,0.16,0.31,0.31,0.00,0.00,0.16,0.00,0.16,0.00,https://fbref.com/en/players/9cd23b05/Norman-Bassette,9cd23b05,Jupiler Pro League
48,Jelle Bataille,BEL,DF,Antwerp,24-346,1999,24.2,2.85,2.85,2.56,0.17,0.04,0.00,0.04,0.04,0.12,0.12,0.08,0.00,0.00,0.00,0.04,0.00,https://fbref.com/en/players/cabb3a1d/Jelle-Bataille,cabb3a1d,Jupiler Pro League
49,David Bates,SCO,DF,Mechelen,27-208,1996,23.2,0.60,0.60,0.47,0.00,0.00,0.09,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/90423c73/David-Bates,90423c73,Jupiler Pro League
50,Emin Bayram,TUR,DF,Westerlo,21-028,2003,21.9,0.96,0.96,0.59,0.00,0.14,0.09,0.14,0.00,0.18,0.18,0.09,0.00,0.05,0.05,0.00,0.00,https://fbref.com/en/players/e58328b6/Emin-Bayram,e58328b6,Jupiler Pro League
51,Rafik Belghali,ALG,DF,Mechelen,21-328,2002,2.9,2.76,2.76,2.76,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0abcb968/Rafik-Belghali,0abcb968,Jupiler Pro League
52,Nadhir Benbouali,ALG,FW,Charleroi,24-013,2000,3.7,,,,,,,,,,,,,,,,,https://fbref.com/en/players/cd25f2b3/Nadhir-Benbouali,cd25f2b3,Jupiler Pro League
53,Ján Bernát,SVK,MF,Westerlo,23-111,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,https://fbref.com/en/players/c2895855/Jan-Bernat,c2895855,Jupiler Pro League
54,Antoine Bernier,BEL,"FW,MF",Charleroi,26-233,1997,7.4,2.16,2.17,1.76,0.00,0.14,0.14,0.14,0.00,0.41,0.41,0.41,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/cda90ea8/Antoine-Bernier,cda90ea8,Jupiler Pro League
55,Adriano Bertaccini,BEL,"MF,FW",Sint-Truiden,23-261,2000,0.4,5.00,4.62,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/88d70d53/Adriano-Bertaccini,88d70d53,Jupiler Pro League
56,Mickaël Biron,MTQ,"FW,MF",RWD Molenbeek,26-248,1997,16.1,2.42,2.43,1.49,0.00,0.50,0.31,0.06,0.06,0.25,0.25,0.12,0.00,0.06,0.06,0.00,0.00,https://fbref.com/en/players/62c79b68/Mickael-Biron,62c79b68,Jupiler Pro League
57,Nathan Bitu Mazala,FRA,"MF,FW",Eupen,21-142,2002,1.3,3.08,3.10,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0f697e02/Nathan-Bitu-Mazala,0f697e02,Jupiler Pro League
58,Eric Bocat,FRA,"DF,MF",Sint-Truiden,24-289,1999,27.2,2.65,2.65,2.10,0.15,0.11,0.07,0.18,0.04,0.26,0.26,0.18,0.00,0.00,0.04,0.04,0.00,https://fbref.com/en/players/55b7061a/Eric-Bocat,55b7061a,Jupiler Pro League
59,Arnaud Bodart,BEL,GK,Standard Liège,26-050,1998,29.0,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/79c536d7/Arnaud-Bodart,79c536d7,Jupiler Pro League
