Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
44,Kévin Appin,MTQ,"MF,FW",Burgos,25-353,1998,6.4,35.8,35.2,0.31,0.00,0.16,0.94,0.94,0.16,0.00,0.00,0.00,0.00,25.9,0.31,1.56,https://fbref.com/en/players/8fae705a/Kevin-Appin,8fae705a,La Liga 2
45,Aritz Arambarri,ESP,DF,Leganés,25-342,1998,11.2,41.4,39.7,1.61,0.98,0.00,0.09,0.18,0.63,0.00,0.00,0.00,0.00,33.5,0.09,0.36,https://fbref.com/en/players/f28876e5/Aritz-Arambarri,f28876e5,La Liga 2
46,Arana,ESP,FW,Eibar,23-334,2000,0.1,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,https://fbref.com/en/players/94021206/Arana,94021206,La Liga 2
47,Arana,ESP,FW,Racing Sant,23-334,2000,11.3,9.38,8.41,0.88,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,6.90,0.09,0.53,https://fbref.com/en/players/94021206/Arana,94021206,La Liga 2
48,Anaitz Arbilla,ESP,DF,Eibar,36-238,1987,19.0,78.9,73.2,5.58,3.26,0.05,1.53,0.32,1.58,0.00,0.00,0.00,0.00,67.5,0.16,0.53,https://fbref.com/en/players/850c0a0d/Anaitz-Arbilla,850c0a0d,La Liga 2
49,Jeremy Arévalo,ESP,"MF,FW",Racing Sant,18-295,2005,0.2,75.0,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,0.00,0.00,https://fbref.com/en/players/70676088/Jeremy-Arevalo,70676088,La Liga 2
50,Anderson Arroyo,COL,DF,FC Andorra,24-103,1999,4.7,116.4,106.8,9.57,5.32,0.21,0.85,0.21,2.34,0.00,0.00,0.00,0.00,107.4,0.00,0.21,https://fbref.com/en/players/4bd451cb/Anderson-Arroyo,4bd451cb,La Liga 2
51,Juan Artola,ESP,"FW,MF",Alcorcón,23-276,2000,4.2,25.0,24.8,0.24,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,15.7,0.00,0.71,https://fbref.com/en/players/2e3f3462/Juan-Artola,2e3f3462,La Liga 2
52,Miguel Atienza,ESP,MF,Burgos,24-226,1999,13.3,36.0,34.8,0.98,0.90,0.08,0.23,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.23,0.30,https://fbref.com/en/players/12eda7be/Miguel-Atienza,12eda7be,La Liga 2
53,Javier Avilés,ESP,"FW,MF",Amorebieta,26-144,1997,7.0,21.0,19.4,1.43,0.29,0.14,0.14,3.00,0.00,0.14,0.14,0.00,0.00,13.0,0.14,1.14,https://fbref.com/en/players/53ddba36/Javier-Aviles,53ddba36,La Liga 2
54,Iván Ayllón,ESP,"FW,MF",Cartagena,22-249,2001,3.9,21.3,19.2,1.79,0.00,0.26,0.26,0.77,0.00,0.26,0.00,0.26,0.00,15.4,0.26,0.51,https://fbref.com/en/players/3eee7cbf/Ivan-Ayllon,3eee7cbf,La Liga 2
55,Diego Aznar,ESP,"FW,MF",Huesca,20-110,2003,0.3,23.3,20.0,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,https://fbref.com/en/players/fefee712/Diego-Aznar,fefee712,La Liga 2
56,Jean-Sylvain Babin,MTQ,DF,Alcorcón,37-086,1986,14.5,45.1,41.7,3.31,1.52,0.00,0.21,0.00,0.07,0.00,0.00,0.00,0.00,38.5,0.07,0.00,https://fbref.com/en/players/ba998e22/Jean-Sylvain-Babin,ba998e22,La Liga 2
57,Édgar Badía,ESP,GK,Elche,31-330,1992,7.0,38.0,29.4,8.57,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.6,0.00,0.00,https://fbref.com/en/players/e4346678/Edgar-Badia,e4346678,La Liga 2
58,Miguel Baeza,ESP,"MF,FW",CD Mirandés,23-287,2000,3.6,39.7,36.4,2.78,1.67,0.00,0.00,1.94,0.00,0.56,0.56,0.00,0.00,29.4,0.56,0.28,https://fbref.com/en/players/a98f3cbf/Miguel-Baeza,a98f3cbf,La Liga 2
59,Sinan Bakış,TUR,FW,Zaragoza,29-261,1994,7.7,13.5,13.0,0.39,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,9.74,0.13,0.91,https://fbref.com/en/players/5d613204/Sinan-Bakis,5d613204,La Liga 2
60,Alex Balboa,EQG,MF,Huesca,22-308,2001,3.0,30.0,30.0,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,22.7,0.00,0.00,https://fbref.com/en/players/6e5c5fc7/Alex-Balboa,6e5c5fc7,La Liga 2
61,Keita Baldé,SEN,"MF,FW",Espanyol,28-306,1995,1.9,27.4,26.3,0.53,0.53,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,17.4,0.53,0.00,https://fbref.com/en/players/509a4ccb/Keita-Balde,509a4ccb,La Liga 2
62,Barbu,ESP,DF,CD Mirandés,22-228,2001,6.0,45.2,41.8,3.33,3.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,37.2,0.00,0.17,https://fbref.com/en/players/530128a5/Barbu,530128a5,La Liga 2
63,Barcia,ESP,DF,CD Mirandés,23-008,2000,20.3,50.4,47.8,2.41,1.82,0.05,0.25,0.05,0.05,0.00,0.00,0.00,0.00,41.8,0.15,0.10,https://fbref.com/en/players/0c717ae6/Barcia,0c717ae6,La Liga 2
64,Keidi Bare,ALB,MF,Espanyol,26-133,1997,9.6,61.1,58.3,2.60,2.19,0.31,0.31,1.35,0.00,0.42,0.00,0.21,0.00,50.9,0.21,0.73,https://fbref.com/en/players/03049c8c/Keidi-Bare,03049c8c,La Liga 2
65,Bernabé Barragán,ESP,GK,Albacete,30-324,1993,17.0,25.1,16.3,8.65,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.1,0.12,0.06,https://fbref.com/en/players/a3cd0078/Bernabe-Barragan,a3cd0078,La Liga 2
66,Djakaría Barro,CIV,MF,Cartagena,21-361,2002,0.2,55.0,55.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.0,0.00,0.00,https://fbref.com/en/players/eadbd9df/Djakaria-Barro,eadbd9df,La Liga 2
67,Borja Bastón,ESP,FW,Oviedo,31-136,1992,18.3,18.5,16.4,1.97,0.11,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,13.0,0.16,0.77,https://fbref.com/en/players/8c44e37b/Borja-Baston,8c44e37b,La Liga 2
68,Jon Bautista,ESP,FW,Eibar,28-189,1995,12.3,19.1,17.8,0.98,0.00,0.00,0.08,0.49,0.16,0.00,0.00,0.00,0.00,11.0,0.33,0.49,https://fbref.com/en/players/debc6b55/Jon-Bautista,debc6b55,La Liga 2
69,Jesús Belza,ESP,"MF,FW",Tenerife,19-316,2004,3.3,42.1,39.7,2.42,0.00,0.00,0.00,2.12,2.12,0.30,0.30,0.00,0.00,32.1,0.00,1.21,https://fbref.com/en/players/ca14285f/Jesus-Belza,ca14285f,La Liga 2
70,Iker Benito,ESP,"FW,MF",FC Andorra,21-151,2002,13.6,32.8,31.4,1.18,0.15,0.00,0.07,1.91,1.03,0.00,0.00,0.00,0.00,26.3,0.22,1.18,https://fbref.com/en/players/50cbc806/Iker-Benito,50cbc806,La Liga 2
71,Pedro Benito,ESP,FW,Albacete,23-287,2000,0.3,23.3,20.0,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.7,0.00,0.00,https://fbref.com/en/players/a7416105/Pedro-Benito,a7416105,La Liga 2
72,Álex Bermejo,ESP,"MF,FW",Burgos,25-028,1998,6.9,28.1,25.7,2.46,0.72,0.29,0.29,2.17,0.14,1.45,0.72,0.29,0.00,19.7,0.00,1.59,https://fbref.com/en/players/d9b180dd/Alex-Bermejo,d9b180dd,La Liga 2
73,Sergio Bermejo,ESP,"MF,FW",Zaragoza,26-144,1997,6.5,42.3,36.8,4.92,2.46,0.15,0.62,4.46,0.00,2.15,1.54,0.62,0.00,31.2,0.62,1.08,https://fbref.com/en/players/d166c007/Sergio-Bermejo,d166c007,La Liga 2
