,id,eventId,minute,second,teamId,x,y,expandedMinute,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,eventType,match_period
646,2619828965.0,375,50,19.0,1224,22.1,63.7,50,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '360'}, {'type': {'value': 94, 'displayName': 'OutfielderBlock'}}]","[91, 58]",True,389158.0,,,,,,,,,,,,Save,FirstHalf
647,2619828963.0,361,50,21.0,1232,74.2,38.2,50,Successful,"[{'type': {'value': 75, 'displayName': 'MissRight'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '376'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]",[122],False,295008.0,,,,,,,,,,,,CornerAwarded,FirstHalf
648,2619828967.0,376,50,21.0,1224,25.8,61.8,50,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '361'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 73, 'displayName': 'MissLeft'}}]",[122],False,389158.0,,,,,,,,,,,,CornerAwarded,FirstHalf
649,2619828969.0,362,50,30.0,1232,99.7,0.7,50,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 6, 'displayName': 'CornerTaken'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.81'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '93.7'}]","[91, 138, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,40237.0,93.7,37.9,,,,,,,,,,Pass,FirstHalf
650,2619828971.0,377,50,32.0,1224,8.8,63.1,50,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.49'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.1'}]","[91, 94, 95, 216]",True,121009.0,45.1,93.3,,,,,,,,,,Clearance,FirstHalf
651,2619828973.0,378,50,37.0,1224,56.6,91.4,50,Successful,[],[93],False,389158.0,,,,,,,,,,,,BallRecovery,FirstHalf
652,2619828985.0,381,50,38.0,1224,59.9,78.7,50,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 69]",True,389158.0,,,,,,,,,,,,BallTouch,FirstHalf
653,2619828995.0,370,50,39.0,1232,37.9,21.6,50,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,443546.0,,,,,,,,,,,,BallTouch,FirstHalf
654,2619828975.0,379,50,40.0,1224,67.4,82.5,50,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '363'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 53]",True,389158.0,,,,,,,,,,,,TakeOn,FirstHalf
655,2619828977.0,363,50,40.0,1232,32.6,17.5,50,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '379'}]","[91, 143]",True,443546.0,,,,,,,,,,,,Tackle,FirstHalf
