Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
25,Keiller,BRA,GK,Internacional,,26,1996,10.0,1.5,0.1,0.1,0.0,0.0,1.66,0.35,0.16,0.16,3.3,9.9,33.3,17.5,3.3,42.9,36.6,7.9,30.4,33.0,12.2,0.7,5.7,0.5,0.5,11.0,https://fbref.com/en/players/e38fde76/Keiller,e38fde76,Brazilian Serie A
26,Maurício Kozlinski,BRA,GK,Fortaleza,,31,1991,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.2,0.23,0.0,3.0,0.0,14.0,2.0,21.4,24.1,2.0,0.0,12.0,17.0,1.0,5.9,0.0,0.0,7.8,https://fbref.com/en/players/19ad88fa/Mauricio-Kozlinski,19ad88fa,Brazilian Serie A
27,Leonardo Linck,BRA,GK,Ath Paranaense,,21,2001,5.0,1.2,0.0,0.0,0.2,0.0,1.98,0.3,0.78,0.77,4.8,15.0,32.0,20.4,4.8,55.9,43.3,6.0,60.0,48.9,14.2,0.2,1.4,0.6,0.6,17.8,https://fbref.com/en/players/bc30a70d/Leonardo-Linck,bc30a70d,Brazilian Serie A
28,Marcelo Lomba,BRA,GK,Palmeiras,,36,1986,3.0,1.0,0.33,0.0,0.0,0.0,1.83,0.31,0.83,0.84,4.67,12.7,36.8,26.0,6.0,35.9,32.7,7.67,43.5,30.9,15.3,1.67,10.9,0.0,0.0,3.7,https://fbref.com/en/players/e4835e3c/Marcelo-Lomba,e4835e3c,Brazilian Serie A
29,Lucão,BRA,GK,Bragantino,,21,2001,5.0,1.6,0.2,0.0,0.0,0.0,1.1,0.32,-0.5,-0.5,2.8,8.4,33.3,21.2,5.2,27.4,29.9,8.8,29.5,28.3,11.4,0.2,1.8,1.4,1.4,17.4,https://fbref.com/en/players/ebb5a0df/Lucao,ebb5a0df,Brazilian Serie A
30,Pedro Luccas,BRA,GK,Coritiba,,19,2004,3.0,1.33,0.33,0.0,0.33,0.0,1.47,0.16,0.13,0.14,6.0,16.7,36.0,22.3,4.33,37.3,36.8,10.7,78.1,53.0,30.7,1.67,5.4,0.0,0.0,4.5,https://fbref.com/en/players/e5c4ba1f/Pedro-Luccas,e5c4ba1f,Brazilian Serie A
31,Matheus Mendes,BRA,GK,Atlético Mineiro,,23,1999,2.0,0.5,0.0,0.0,0.0,0.0,0.75,0.2,0.25,0.26,9.0,20.5,43.9,21.5,2.0,55.8,42.0,11.5,73.9,49.7,19.0,1.0,5.3,0.0,0.0,9.5,https://fbref.com/en/players/d0d01f62/Matheus-Mendes,d0d01f62,Brazilian Serie A
32,Carlos Miguel,BRA,GK,Corinthians,,24,1998,1.2,0.0,0.0,0.0,0.0,0.0,0.92,0.18,0.92,0.86,5.83,11.7,50.0,25.8,5.83,29.0,33.0,9.17,45.5,33.7,30.0,0.83,2.8,0.0,0.0,11.8,https://fbref.com/en/players/84454067/Carlos-Miguel,84454067,Brazilian Serie A
33,Fernando Miguel,BRA,GK,Fortaleza,,37,1985,5.1,0.98,0.0,0.0,0.2,0.0,1.24,0.22,0.25,0.25,3.53,10.6,33.3,15.1,3.92,42.9,36.5,7.45,55.3,39.4,14.3,0.39,2.7,0.2,0.19,10.7,https://fbref.com/en/players/f1f06658/Fernando-Miguel,f1f06658,Brazilian Serie A
34,Mateus Pasinato,BRA,GK,América (MG),,30,1992,10.0,2.0,0.1,0.1,0.1,0.0,1.86,0.31,-0.14,-0.14,4.6,10.0,46.0,17.5,5.0,37.1,35.3,6.9,50.7,42.4,16.0,1.4,8.8,0.9,0.9,12.1,https://fbref.com/en/players/f16f9b47/Mateus-Pasinato,f16f9b47,Brazilian Serie A
35,João Paulo,BRA,GK,Santos,,27,1995,35.7,1.43,0.11,0.06,0.22,0.03,1.47,0.27,0.07,0.07,3.98,12.0,33.1,18.0,3.31,42.9,37.0,7.62,56.6,43.9,15.7,0.7,4.5,0.67,0.67,12.8,https://fbref.com/en/players/d0102ca0/Joao-Paulo,d0102ca0,Brazilian Serie A
36,Lucas Perri,BRA,GK,Botafogo (RJ),,25,1997,37.5,0.96,0.0,0.0,0.05,0.03,1.28,0.3,0.34,0.34,5.44,14.2,38.3,21.9,5.23,48.2,39.3,6.53,55.9,43.7,15.5,0.91,5.9,1.17,1.17,16.2,https://fbref.com/en/players/5dbd461a/Lucas-Perri,5dbd461a,Brazilian Serie A
37,Rafael Pires,BRA,GK,São Paulo,,33,1989,33.0,1.03,0.18,0.03,0.03,0.03,1.13,0.27,0.13,0.13,3.58,9.24,38.7,23.8,4.3,29.2,31.4,6.42,35.8,34.1,13.2,0.58,4.4,0.76,0.76,13.2,https://fbref.com/en/players/539f6761/Rafael-Pires,539f6761,Brazilian Serie A
38,Luan Polli,BRA,GK,Coritiba,,29,1993,4.3,2.09,0.23,0.23,0.23,0.0,1.6,0.2,-0.49,-0.49,5.35,13.3,40.4,18.1,3.95,48.7,39.9,6.98,63.3,48.1,14.4,0.93,6.5,1.63,1.64,16.3,https://fbref.com/en/players/96aa89c4/Luan-Polli,96aa89c4,Brazilian Serie A
