Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
394,Samuel Soares,POR,GK,Benfica,21-207,2002,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.00,100.0,https://fbref.com/en/players/244ff834/Samuel-Soares,244ff834,Primeira Liga
395,Yuki Soma,JPN,"FW,MF",Casa Pia,26-317,1997,10.9,0.09,0.00,0.00,1.47,1.56,0.18,3.39,0.00,0.73,0.00,0.00,0.00,2.57,0.46,0.55,45.5,https://fbref.com/en/players/e997f52f/Yuki-Soma,e997f52f,Primeira Liga
396,Alberto Soro,ESP,"MF,FW",Vizela,24-305,1999,2.5,0.80,0.00,0.00,2.80,2.00,0.00,2.40,0.00,1.60,0.00,0.00,0.00,8.00,1.60,2.00,44.4,https://fbref.com/en/players/452c3055/Alberto-Soro,452c3055,Primeira Liga
397,Aloísio Souza Genézio,BRA,MF,Estrela,27-250,1996,7.8,0.38,0.00,0.00,1.79,1.41,0.00,0.38,1.67,1.41,0.00,0.00,0.00,6.67,1.03,1.03,50.0,https://fbref.com/en/players/7fbc31de/Aloisio-Souza-Genezio,7fbc31de,Primeira Liga
398,Hugo Souza,BRA,GK,Chaves,24-342,1999,12.0,0.17,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.17,0.00,100.0,https://fbref.com/en/players/c02e5af1/Hugo-Souza,c02e5af1,Primeira Liga
399,Jose Souza,POR,MF,Portimonense,22-213,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,https://fbref.com/en/players/026fd257/Jose-Souza,026fd257,Primeira Liga
400,Jerry St. Juste,NED,DF,Sporting CP,27-081,1996,1.2,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,5.83,1.67,0.83,66.7,https://fbref.com/en/players/90339309/Jerry-St-Juste,90339309,Primeira Liga
401,Habib sylla,CIV,DF,Chaves,24-330,1999,2.2,0.45,0.00,0.00,1.82,0.91,0.00,7.73,0.45,0.45,0.00,0.45,0.00,3.18,1.82,0.91,66.7,https://fbref.com/en/players/0a17a7af/Habib-sylla,0a17a7af,Primeira Liga
402,Morlaye Sylla,GUI,MF,Arouca,25-165,1998,13.0,0.46,0.00,0.00,1.77,1.15,0.15,0.85,1.23,1.08,0.00,0.00,0.00,6.62,0.69,0.77,47.4,https://fbref.com/en/players/81408674/Morlaye-Sylla,81408674,Primeira Liga
403,Talocha,POR,DF,Farense,34-131,1989,15.3,0.20,0.00,0.00,0.98,0.92,0.00,3.46,1.05,0.98,0.00,0.00,0.00,3.73,1.57,1.18,57.1,https://fbref.com/en/players/99454b60/Talocha,99454b60,Primeira Liga
404,Mehdi Taremi,IRN,FW,Porto,31-174,1992,12.9,0.23,0.00,0.00,1.47,1.94,1.09,0.00,0.54,1.16,0.08,0.00,0.00,2.87,1.71,2.09,44.9,https://fbref.com/en/players/4c2a5d34/Mehdi-Taremi,4c2a5d34,Primeira Liga
405,Heriberto Tavares,POR,"FW,MF",Estoril,26-323,1997,5.9,0.51,0.00,0.00,2.03,1.69,1.19,1.53,0.34,0.34,0.00,0.17,0.00,4.58,0.17,1.36,11.1,https://fbref.com/en/players/2d9f280e/Heriberto-Tavares,2d9f280e,Primeira Liga
406,Martim Tavares,POR,"FW,MF",Boavista,20-059,2003,1.6,0.63,0.00,0.00,2.50,2.50,0.00,1.25,0.00,0.00,0.00,0.00,0.00,5.63,1.25,1.88,40.0,https://fbref.com/en/players/e5499085/Martim-Tavares,e5499085,Primeira Liga
407,Ronaldo Tavares,POR,FW,Estrela,26-170,1997,6.7,0.30,0.00,0.00,1.49,0.45,0.75,0.60,0.30,0.45,0.00,0.00,0.00,1.34,3.58,2.84,55.8,https://fbref.com/en/players/7408aba2/Ronaldo-Tavares,7408aba2,Primeira Liga
408,Duplexe Tchamba,CMR,"DF,FW",Casa Pia,25-182,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,50.0,https://fbref.com/en/players/75926036/Duplexe-Tchamba,75926036,Primeira Liga
409,Casper Tengstedt,DEN,FW,Benfica,23-221,2000,4.1,0.00,0.00,0.00,1.46,1.22,0.98,1.46,0.00,0.49,0.00,0.00,0.00,2.44,1.22,1.46,45.5,https://fbref.com/en/players/ff2fb007/Casper-Tengstedt,ff2fb007,Primeira Liga
410,Pedro Tiba,POR,MF,Gil Vicente FC,35-130,1988,11.6,0.52,0.00,0.00,1.81,1.38,0.00,1.72,0.95,1.98,0.00,0.00,0.09,7.67,0.43,0.17,71.4,https://fbref.com/en/players/2e594b84/Pedro-Tiba,2e594b84,Primeira Liga
411,Mirko Topić,SRB,MF,Famalicão,22-337,2001,10.3,0.39,0.00,0.00,1.36,0.29,0.00,0.10,1.94,1.26,0.00,0.00,0.10,7.09,2.33,0.58,80.0,https://fbref.com/en/players/3a7d547a/Mirko-Topic,3a7d547a,Primeira Liga
412,Alfonso Trezza,URU,"FW,MF",Arouca,24-200,1999,6.9,0.58,0.00,0.00,1.74,2.17,0.14,2.61,0.72,1.45,0.14,0.00,0.00,5.94,0.29,2.03,12.5,https://fbref.com/en/players/e1000218/Alfonso-Trezza,e1000218,Primeira Liga
413,Francisco Trincão,POR,"FW,MF",Sporting CP,24-010,1999,2.8,0.00,0.00,0.00,0.71,1.79,0.00,2.14,0.00,1.43,0.00,0.00,0.00,3.93,1.07,1.79,37.5,https://fbref.com/en/players/77e39b04/Francisco-Trincao,77e39b04,Primeira Liga
414,Anatolii Trubin,UKR,GK,Benfica,22-160,2001,12.0,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.08,0.00,0.00,0.00,1.50,0.25,0.00,100.0,https://fbref.com/en/players/41f0b196/Anatolii-Trubin,41f0b196,Primeira Liga
