Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
173,Fabiano,BRA,DF,Braga,22,2000,10.7,0.00,0.37,0.09,25.0,0.37,0.09,0.00,0.00,22.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,https://fbref.com/en/players/f5e7fdf9/Fabiano,f5e7fdf9,Primeira Liga
174,Fábio,BRA,"FW,MF",Paços,25,1997,3.0,0.00,2.67,0.00,0.0,2.66,0.00,0.00,,12.7,0.00,0.00,0.00,0.40,0.40,0.15,-0.40,-0.40,https://fbref.com/en/players/30f90535/Fabio,30f90535,Primeira Liga
175,Abdul Fatawu Issahaku,GHA,"DF,MF",Sporting CP,18,2004,1.3,0.00,3.08,0.77,25.0,3.05,0.76,0.00,0.00,21.6,0.00,0.00,0.00,0.31,0.31,0.10,-0.31,-0.31,https://fbref.com/en/players/bceda5ff/Abdul-Fatawu-Issahaku,bceda5ff,Primeira Liga
176,Luiz Felipe,BRA,GK,Vizela,25,1997,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/185084a1/Luiz-Felipe,185084a1,Primeira Liga
177,Volnei Feltes,BRA,DF,Estoril,22,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/b48349d9/Volnei-Feltes,b48349d9,Primeira Liga
178,Eduardo Fereira,VEN,"FW,MF",Casa Pia,21,2000,0.6,0.00,1.67,0.00,0.0,1.67,0.00,0.00,,36.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/6f2ebc13/Eduardo-Fereira,6f2ebc13,Primeira Liga
179,Erick Ferigra,ECU,DF,Paços,23,1999,12.9,0.00,0.23,0.08,33.3,0.23,0.08,0.00,0.00,8.7,0.00,0.00,0.00,0.02,0.02,0.10,-0.02,-0.02,https://fbref.com/en/players/67cddecb/Erick-Ferigra,67cddecb,Primeira Liga
180,Ivanildo Fernandes,CPV,DF,Vizela,26,1996,16.5,0.00,0.42,0.06,14.3,0.42,0.06,0.00,0.00,11.9,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,https://fbref.com/en/players/11e5e469/Ivanildo-Fernandes,11e5e469,Primeira Liga
181,Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,25,1997,2.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a17ef4d1/Jorge-Filipe-Oliveira-Fernandes,a17ef4d1,Primeira Liga
182,Mateus Fernandes,POR,MF,Sporting CP,18,2004,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,16.7,0.00,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,https://fbref.com/en/players/ef491564/Mateus-Fernandes,ef491564,Primeira Liga
183,Rafael Fernandes,POR,"DF,FW",Arouca,20,2002,1.5,0.00,1.33,0.67,50.0,1.33,0.67,0.00,0.00,6.5,0.00,0.00,0.00,0.27,0.27,0.18,-0.27,-0.27,https://fbref.com/en/players/dbc1e5d8/Rafael-Fernandes,dbc1e5d8,Primeira Liga
184,Rúben Fernandes,POR,DF,Gil Vicente FC,36,1986,24.2,0.00,0.45,0.00,0.0,0.46,0.00,0.00,,9.5,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,https://fbref.com/en/players/c6bdf383/Ruben-Fernandes,c6bdf383,Primeira Liga
185,Vasco Fernandes,POR,DF,Casa Pia,35,1986,27.5,0.00,0.18,0.04,20.0,0.18,0.04,0.00,0.00,9.2,0.00,0.00,0.00,0.02,0.02,0.11,-0.02,-0.02,https://fbref.com/en/players/4a0a3759/Vasco-Fernandes,4a0a3759,Primeira Liga
186,Enzo Fernández,ARG,MF,Benfica,21,2001,15.4,0.06,1.88,0.19,10.3,1.89,0.20,0.03,0.33,24.6,0.32,0.00,0.00,0.14,0.14,0.07,-0.07,-0.07,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez,5ff4ab71,Primeira Liga
187,Diogo Ferreira,POR,MF,Vitória,20,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/2283f38b/Diogo-Ferreira,2283f38b,Primeira Liga
188,Filipe Ferreira,POR,"DF,MF",Boavista,31,1990,3.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/12f1293b/Filipe-Ferreira,12f1293b,Primeira Liga
189,Fernando Ferreira Fonseca,POR,"DF,FW",Paços,25,1997,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/ed4fef1c/Fernando-Ferreira-Fonseca,ed4fef1c,Primeira Liga
190,João Ferreira,POR,"DF,MF",Rio Ave,21,2001,1.8,0.00,0.56,0.00,0.0,0.57,0.00,0.00,,28.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/fb37a645/Joao-Ferreira,fb37a645,Primeira Liga
191,Vitó Ferreira,POR,"MF,FW",Casa Pia,24,1997,0.8,0.00,1.25,1.25,100.0,1.29,1.29,0.00,0.00,28.6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/74e6abb9/Vito-Ferreira,74e6abb9,Primeira Liga
192,Gonçalo Filipe,POR,GK,Chaves,22,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/a4cf1b05/Goncalo-Filipe,a4cf1b05,Primeira Liga
193,Bernardo Folha,POR,"MF,FW",Porto,20,2002,0.6,0.00,3.33,0.00,0.0,3.10,0.00,0.00,,13.7,0.00,0.00,0.00,0.17,0.17,0.07,-0.17,-0.17,https://fbref.com/en/players/58c6b67c/Bernardo-Folha,58c6b67c,Primeira Liga
194,Tiago Fonseca Morais,POR,FW,Boavista,18,2003,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a951ca82/Tiago-Fonseca-Morais,a951ca82,Primeira Liga
195,Théo Fonseca,FRA,"MF,FW",Famalicão,22,2000,1.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/227e37eb/Theo-Fonseca,227e37eb,Primeira Liga
196,Rui Fonte,POR,"FW,MF",Famalicão,32,1990,5.1,0.20,1.37,0.39,28.6,1.37,0.39,0.14,0.50,9.9,0.00,0.00,0.00,0.14,0.14,0.10,0.06,0.06,https://fbref.com/en/players/6ff8ef56/Rui-Fonte,6ff8ef56,Primeira Liga
197,Hernâni Fortes,POR,"FW,MF",Rio Ave,30,1991,7.5,0.27,3.47,0.80,23.1,3.48,0.80,0.08,0.33,21.2,0.00,0.00,0.13,0.35,0.24,0.07,-0.08,0.03,https://fbref.com/en/players/2327c29e/Hernani-Fortes,2327c29e,Primeira Liga
198,André Franco,POR,"MF,FW",Porto,24,1998,7.7,0.26,1.43,0.52,36.4,1.42,0.52,0.18,0.50,16.6,0.13,0.00,0.00,0.27,0.27,0.19,-0.01,-0.01,https://fbref.com/en/players/86df4d6b/Andre-Franco,86df4d6b,Primeira Liga
199,Afonso freitas,POR,"DF,MF",Vitória,22,2000,21.4,0.05,0.42,0.19,44.4,0.42,0.19,0.11,0.25,16.5,0.00,0.00,0.00,0.02,0.02,0.06,0.02,0.02,https://fbref.com/en/players/f332f667/Afonso-freitas,f332f667,Primeira Liga
200,Kanya Fujimoto,JPN,MF,Gil Vicente FC,23,1999,29.1,0.00,0.82,0.14,16.7,0.82,0.14,0.00,0.00,20.0,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,https://fbref.com/en/players/be040b84/Kanya-Fujimoto,be040b84,Primeira Liga
201,Nicolás Gaitán,ARG,"FW,MF",Paços,34,1988,19.9,0.15,1.81,0.60,33.3,1.81,0.60,0.08,0.25,19.3,0.10,0.00,0.00,0.17,0.17,0.09,-0.02,-0.02,https://fbref.com/en/players/7ebfac0f/Nicolas-Gaitan,7ebfac0f,Primeira Liga
202,Galeno,BRA,"MF,FW",Porto,24,1997,22.2,0.36,3.20,1.35,42.3,3.20,1.35,0.10,0.23,19.6,0.00,0.05,0.05,0.41,0.38,0.12,-0.05,-0.07,https://fbref.com/en/players/5b3d1a7a/Galeno,5b3d1a7a,Primeira Liga
203,Nino Galović,CRO,DF,Arouca,30,1992,14.5,0.00,0.14,0.07,50.0,0.14,0.07,0.00,0.00,9.7,0.00,0.00,0.00,0.01,0.01,0.09,-0.01,-0.01,https://fbref.com/en/players/d280923b/Nino-Galovic,d280923b,Primeira Liga
204,João Gamboa,POR,MF,Estoril,25,1996,11.6,0.00,0.52,0.09,16.7,0.52,0.09,0.00,0.00,19.8,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,https://fbref.com/en/players/f5dfeb5d/Joao-Gamboa,f5dfeb5d,Primeira Liga
205,Pedro Ganchas,POR,DF,Paços,22,2000,3.0,0.00,0.67,0.00,0.0,0.67,0.00,0.00,,9.4,0.00,0.00,0.00,0.13,0.13,0.18,-0.13,-0.13,https://fbref.com/en/players/fe743953/Pedro-Ganchas,fe743953,Primeira Liga
206,Bruno Gaspar,ANG,"DF,MF",Vitória,29,1993,2.4,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,14.0,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,https://fbref.com/en/players/55ae91f0/Bruno-Gaspar,55ae91f0,Primeira Liga
207,Francisco Geraldes,POR,MF,Estoril,27,1995,20.3,0.20,1.72,0.59,34.3,1.72,0.59,0.06,0.17,21.4,0.10,0.10,0.15,0.27,0.15,0.09,-0.07,-0.05,https://fbref.com/en/players/dbde9724/Francisco-Geraldes,dbde9724,Primeira Liga
208,Gilberto,BRA,DF,Benfica,29,1993,8.9,0.22,0.67,0.45,66.7,0.68,0.45,0.33,0.50,14.7,0.00,0.00,0.00,0.12,0.12,0.19,0.10,0.10,https://fbref.com/en/players/1338e42b/Gilberto,1338e42b,Primeira Liga
209,Paulo Godinho,BRA,DF,Santa Clara,20,2002,5.3,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,9.7,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,https://fbref.com/en/players/29868c52/Paulo-Godinho,29868c52,Primeira Liga
210,Saviour Godwin,NGA,"FW,MF",Casa Pia,25,1996,26.7,0.15,3.00,0.82,27.5,2.99,0.82,0.04,0.14,20.1,0.00,0.04,0.04,0.26,0.23,0.08,-0.11,-0.12,https://fbref.com/en/players/f963e678/Saviour-Godwin,f963e678,Primeira Liga
