Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
91,Unai Marrero,ESP,GK,Real Sociedad,es La Liga,22-204,2001,2,1,142,1.6,1.88,1.90,3.13,1.25,60.0,0.00,0.00,0.63,0.00,0.0,0.63,0.63,0.00,0.00,0.0,https://fbref.com/en/players/f0fe87dc/Unai-Marrero,f0fe87dc,Big 5 combined
92,Emiliano Martínez,ARG,GK,Aston Villa,eng Premier League,31-241,1992,33,33,2925,32.5,1.38,1.38,4.06,2.77,66.7,0.58,0.22,0.22,0.25,24.2,0.03,0.03,0.00,0.00,0.0,https://fbref.com/en/players/7956236f/Emiliano-Martinez,7956236f,Big 5 combined
93,Josep Martinez,ESP,GK,Genoa,it Serie A,25-339,1998,32,32,2879,32.0,1.19,1.19,3.50,2.31,67.9,0.28,0.38,0.34,0.22,21.9,0.09,0.06,0.03,0.00,33.3,https://fbref.com/en/players/11d8aff0/Josep-Martinez,11d8aff0,Big 5 combined
94,Remi Matthews,ENG,GK,Crystal Palace,eng Premier League,30-080,1994,1,0,4,0.0,1,22.50,1,0,0.0,0,0,0,0,,0,0,0,0,,https://fbref.com/en/players/27f4f772/Remi-Matthews,27f4f772,Big 5 combined
95,Luís Maximiano,POR,GK,Almería,es La Liga,25-116,1999,30,30,2700,30.0,1.93,1.93,5.03,3.07,64.2,0.03,0.37,0.60,0.17,16.7,0.23,0.13,0.03,0.07,20.0,https://fbref.com/en/players/3318286e/Luis-Maximiano,3318286e,Big 5 combined
96,Alex Meret,ITA,GK,Napoli,it Serie A,27-039,1997,27,27,2413,26.8,1.31,1.31,3.47,2.09,64.5,0.37,0.37,0.26,0.15,14.8,0.15,0.07,0.07,0.00,50.0,https://fbref.com/en/players/9413b19f/Alex-Meret,9413b19f,Big 5 combined
97,Alexander Meyer,GER,GK,Dortmund,de Bundesliga,33-017,1991,7,6,605,6.7,0.90,0.89,3.13,2.39,71.4,0.60,0.15,0.15,0.45,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/b56dd813/Alexander-Meyer,b56dd813,Big 5 combined
98,Vanja Milinković-Savić,SRB,GK,Torino,it Serie A,27-070,1997,33,33,2970,33.0,0.88,0.88,3.76,2.88,80.6,0.33,0.39,0.27,0.52,51.5,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,9fa26bc2,Big 5 combined
99,Antonio Mirante,ITA,GK,Milan,it Serie A,40-297,1983,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/30223b33/Antonio-Mirante,30223b33,Big 5 combined
100,Lorenzo Montipò,ITA,GK,Hellas Verona,it Serie A,28-070,1996,34,34,3060,34.0,1.32,1.32,4.29,3.00,70.5,0.21,0.29,0.50,0.24,23.5,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,c1d95617,Big 5 combined
101,Kevin Müller,GER,GK,Heidenheim,de Bundesliga,33-046,1991,31,31,2790,31.0,1.68,1.68,5.10,3.48,71.5,0.29,0.32,0.39,0.19,19.4,0.32,0.23,0.03,0.06,12.5,https://fbref.com/en/players/f256f213/Kevin-Muller,f256f213,Big 5 combined
102,Arijanet Muric,KVX,GK,Burnley,eng Premier League,25-175,1998,7,7,630,7.0,1.14,1.14,7.43,6.43,86.5,0.29,0.57,0.14,0.00,0.0,0.14,0.14,0.00,0.00,0.0,https://fbref.com/en/players/99aa1a84/Arijanet-Muric,99aa1a84,Big 5 combined
103,Juan Musso,ARG,GK,Atalanta,it Serie A,29-360,1994,10,10,900,10.0,1.20,1.20,3.10,2.00,67.7,0.50,0.10,0.40,0.50,50.0,0.20,0.20,0.00,0.00,0.0,https://fbref.com/en/players/a111cf41/Juan-Musso,a111cf41,Big 5 combined
104,Yvon Mvogo,SUI,GK,Lorient,fr Ligue 1,29-329,1994,31,31,2790,31.0,1.97,1.97,6.23,4.29,72.0,0.19,0.26,0.55,0.10,9.7,0.23,0.23,0.00,0.00,0.0,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,dc29b608,Big 5 combined
105,Keylor Navas,CRC,GK,Paris S-G,fr Ligue 1,37-137,1986,3,3,270,3.0,2.00,2.00,3.33,1.33,50.0,0.33,0.67,0.00,0.00,0.0,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/ecada4fc/Keylor-Navas,ecada4fc,Big 5 combined
106,Massamba Ndiaye,SEN,GK,Clermont Foot,fr Ligue 1,22-205,2001,4,4,360,4.0,1.50,1.50,6.00,4.50,79.2,0.25,0.50,0.25,0.00,0.0,0.25,0.25,0.00,0.00,0.0,https://fbref.com/en/players/315fe681/Massamba-Ndiaye,315fe681,Big 5 combined
107,Neto,BRA,GK,Bournemouth,eng Premier League,34-286,1989,31,31,2790,31.0,1.71,1.71,5.13,3.42,69.8,0.32,0.29,0.39,0.23,22.6,0.19,0.16,0.03,0.00,16.7,https://fbref.com/en/players/a9dc785c/Neto,a9dc785c,Big 5 combined
108,Manuel Neuer,GER,GK,Bayern Munich,de Bundesliga,38-034,1986,20,20,1800,20.0,1.30,1.30,3.65,2.30,67.1,0.75,0.05,0.20,0.30,30.0,0.15,0.10,0.05,0.00,33.3,https://fbref.com/en/players/8778c910/Manuel-Neuer,8778c910,Big 5 combined
109,Moritz Nicolas,GER,GK,M'Gladbach,de Bundesliga,26-192,1997,26,26,2340,26.0,1.81,1.81,5.92,4.12,72.1,0.23,0.38,0.38,0.15,15.4,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/226ddf9d/Moritz-Nicolas,226ddf9d,Big 5 combined
110,Alexander Nübel,GER,GK,Stuttgart,de Bundesliga,27-213,1996,27,27,2430,27.0,1.30,1.30,3.63,2.44,66.3,0.63,0.11,0.26,0.33,33.3,0.07,0.07,0.00,0.00,0.0,https://fbref.com/en/players/afb0c500/Alexander-Nubel,afb0c500,Big 5 combined
111,Ørjan Nyland,NOR,GK,Sevilla,es La Liga,33-233,1990,19,19,1710,19.0,1.00,1.00,3.95,3.00,78.7,0.37,0.47,0.16,0.26,26.3,0.16,0.16,0.00,0.00,0.0,https://fbref.com/en/players/bdedffac/Orjan-Nyland,bdedffac,Big 5 combined
112,Jan Oblak,SVN,GK,Atlético Madrid,es La Liga,31-114,1993,33,33,2970,33.0,1.18,1.18,3.85,2.67,70.1,0.61,0.12,0.27,0.27,27.3,0.06,0.03,0.00,0.03,0.0,https://fbref.com/en/players/ee8508c0/Jan-Oblak,ee8508c0,Big 5 combined
113,Guillermo Ochoa,MEX,GK,Salernitana,it Serie A,38-292,1985,21,21,1890,21.0,2.10,2.10,5.48,3.43,67.8,0.00,0.29,0.71,0.05,4.8,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa,1e9bde92,Big 5 combined
114,Maduka Okoye,NGA,GK,Udinese,it Serie A,24-246,1999,17,17,1530,17.0,1.35,1.35,4.53,3.24,72.7,0.18,0.35,0.47,0.18,17.6,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/ab5c36dd/Maduka-Okoye,ab5c36dd,Big 5 combined
115,Robin Olsen,SWE,GK,Aston Villa,eng Premier League,34-113,1990,3,2,225,2.5,2.80,2.80,6.80,4.00,58.8,0.40,0.00,0.40,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,e7ee38c3,Big 5 combined
116,Jonas Omlin,SUI,GK,M'Gladbach,de Bundesliga,30-111,1994,5,5,450,5.0,2.60,2.60,6.80,4.20,67.6,0.20,0.20,0.60,0.00,0.0,0.40,0.40,0.00,0.00,0.0,https://fbref.com/en/players/c631f952/Jonas-Omlin,c631f952,Big 5 combined
117,André Onana,CMR,GK,Manchester Utd,eng Premier League,28-028,1996,34,34,3060,34.0,1.50,1.50,5.26,3.79,75.4,0.47,0.18,0.35,0.24,23.5,0.21,0.21,0.00,0.00,0.0,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,e9c0c1b2,Big 5 combined
118,Stefan Ortega,GER,GK,Manchester City,eng Premier League,31-176,1992,7,4,523,5.8,1.03,1.03,3.79,2.76,72.7,0.52,0.17,0.00,0.34,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Big 5 combined
119,Alexandre Oukidja,ALG,GK,Metz,fr Ligue 1,35-286,1988,31,31,2717,30.2,1.66,1.66,5.53,3.87,73.1,0.26,0.17,0.60,0.20,19.4,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja,ae7d0ecd,Big 5 combined
120,Rui Patrício,POR,GK,Roma,it Serie A,36-075,1988,23,23,2070,23.0,1.17,1.17,3.22,2.13,66.2,0.48,0.22,0.30,0.26,26.1,0.13,0.09,0.00,0.04,0.0,https://fbref.com/en/players/79b0d6a0/Rui-Patricio,79b0d6a0,Big 5 combined
121,Jiří Pavlenka,CZE,GK,Werder Bremen,de Bundesliga,32-016,1992,7,7,630,7.0,2.43,2.43,5.43,3.00,60.5,0.29,0.00,0.71,0.14,14.3,0.29,0.29,0.00,0.00,0.0,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,0a1cb833,Big 5 combined
122,Iñaki Peña,ESP,GK,Barcelona,es La Liga,25-059,1999,10,10,900,10.0,1.70,1.70,3.90,2.20,56.4,0.60,0.20,0.20,0.20,20.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/cc1c5035/Inaki-Pena,cc1c5035,Big 5 combined
123,Mattia Perin,ITA,GK,Juventus,it Serie A,31-172,1992,2,2,180,2.0,0.50,0.50,2.00,1.50,75.0,0.50,0.50,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/4c62d0c8/Mattia-Perin,4c62d0c8,Big 5 combined
124,Samuele Perisan,ITA,GK,Empoli,it Serie A,26-253,1997,1,1,90,1.0,2.00,2.00,5.00,3.00,60.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/00a17eba/Samuele-Perisan,00a17eba,Big 5 combined
125,Pavao Pervan,AUT,GK,Wolfsburg,de Bundesliga,36-169,1987,9,9,810,9.0,1.89,1.89,4.00,2.22,52.8,0.22,0.11,0.67,0.22,22.2,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/c89e8aae/Pavao-Pervan,c89e8aae,Big 5 combined
126,Denis Petrić,SRB,GK,Nantes,fr Ligue 1,35-342,1988,1,0,24,0.3,3.33,3.75,3.33,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/dab1b8dc/Denis-Petric,dab1b8dc,Big 5 combined
127,Đorđe Petrović,SRB,GK,Chelsea,eng Premier League,24-205,1999,18,17,1537,17.1,1.99,1.99,5.38,3.51,64.1,0.47,0.29,0.23,0.18,17.6,0.12,0.06,0.00,0.06,0.0,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic,0cf321c8,Big 5 combined
128,Jordan Pickford,ENG,GK,Everton,eng Premier League,30-054,1994,35,35,3150,35.0,1.37,1.37,4.40,3.11,74.0,0.34,0.23,0.43,0.34,34.3,0.23,0.23,0.00,0.00,0.0,https://fbref.com/en/players/4806ec67/Jordan-Pickford,4806ec67,Big 5 combined
129,Nick Pope,ENG,GK,Newcastle Utd,eng Premier League,32-011,1992,14,14,1255,13.9,1.01,1.00,3.81,2.81,73.6,0.58,0.14,0.29,0.36,35.7,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/4b40d9ca/Nick-Pope,4b40d9ca,Big 5 combined
130,Ivan Provedel,ITA,GK,Lazio,it Serie A,30-044,1994,28,28,2519,28.0,1.11,1.11,3.89,2.79,73.4,0.43,0.14,0.43,0.32,32.1,0.11,0.07,0.00,0.04,0.0,https://fbref.com/en/players/277da414/Ivan-Provedel,277da414,Big 5 combined
131,Ionuț Radu,ROU,GK,Bournemouth,eng Premier League,26-338,1997,2,2,180,2.0,3.50,3.50,5.50,2.00,36.4,0.50,0.00,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/67f649be/Ionut-Radu,67f649be,Big 5 combined
132,Boris Radunović,SRB,GK,Cagliari,it Serie A,27-340,1996,7,7,630,7.0,1.71,1.71,3.86,2.29,55.6,0.00,0.29,0.71,0.29,28.6,0.14,0.00,0.00,0.14,,https://fbref.com/en/players/0dfce079/Boris-Radunovic,0dfce079,Big 5 combined
133,Predrag Rajković,SRB,GK,Mallorca,es La Liga,28-182,1995,32,32,2880,32.0,1.22,1.22,3.94,2.72,72.2,0.19,0.41,0.41,0.25,25.0,0.16,0.13,0.03,0.00,20.0,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,58ad9383,Big 5 combined
134,Aaron Ramsdale,ENG,GK,Arsenal,eng Premier League,25-352,1998,6,6,540,6.0,0.83,0.83,2.33,1.50,64.3,0.83,0.17,0.00,0.33,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,466fb2c5,Big 5 combined
135,Federico Ravaglia,ITA,GK,Bologna,it Serie A,24-171,1999,4,4,360,4.0,0.25,0.25,2.25,2.00,88.9,0.75,0.25,0.00,0.75,75.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/6662d731/Federico-Ravaglia,6662d731,Big 5 combined
136,David Raya,ESP,GK,Arsenal,eng Premier League,28-228,1995,29,29,2610,29.0,0.79,0.79,2.17,1.38,66.7,0.69,0.14,0.17,0.48,48.3,0.10,0.07,0.03,0.00,33.3,https://fbref.com/en/players/98ea5115/David-Raya,98ea5115,Big 5 combined
137,Pepe Reina,ESP,GK,Villarreal,es La Liga,41-243,1982,1,1,90,1.0,1.00,1.00,3.00,2.00,66.7,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/e358587b/Pepe-Reina,e358587b,Big 5 combined
138,Álex Remiro,ESP,GK,Real Sociedad,es La Liga,29-037,1995,32,32,2825,31.4,1.02,1.02,3.44,2.45,74.1,0.41,0.38,0.22,0.38,37.5,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/374ee424/Alex-Remiro,374ee424,Big 5 combined
139,Guillaume Restes,FRA,GK,Toulouse,fr Ligue 1,19-050,2005,31,31,2790,31.0,1.29,1.29,4.10,2.81,71.7,0.32,0.32,0.35,0.19,19.4,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/6b91b999/Guillaume-Restes,6b91b999,Big 5 combined
140,Manuel Riemann,GER,GK,Bochum,de Bundesliga,35-234,1988,30,30,2700,30.0,1.93,1.93,5.23,3.33,68.2,0.20,0.40,0.40,0.13,13.3,0.33,0.27,0.07,0.00,20.0,https://fbref.com/en/players/9f941969/Manuel-Riemann,9f941969,Big 5 combined
141,Rémy Riou,FRA,GK,Lyon,fr Ligue 1,36-268,1987,3,3,270,3.0,2.00,2.00,4.67,2.67,57.1,0.00,0.33,0.67,0.33,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/7f41ee30/Remy-Riou,7f41ee30,Big 5 combined
142,Frederik Rønnow,DEN,GK,Union Berlin,de Bundesliga,31-270,1992,30,30,2700,30.0,1.60,1.60,4.93,3.30,70.3,0.27,0.20,0.53,0.23,23.3,0.20,0.13,0.07,0.00,33.3,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,a70b8345,Big 5 combined
143,José Sá,POR,GK,Wolves,eng Premier League,31-104,1993,33,33,2857,31.7,1.61,1.61,5.14,3.56,72.4,0.38,0.22,0.44,0.13,12.1,0.19,0.19,0.00,0.00,0.0,https://fbref.com/en/players/903b6e8b/Jose-Sa,903b6e8b,Big 5 combined
144,Brice Samba,FRA,GK,Lens,fr Ligue 1,30-005,1994,31,31,2790,31.0,1.10,1.10,4.03,2.94,77.6,0.42,0.23,0.35,0.42,41.9,0.26,0.19,0.03,0.03,14.3,https://fbref.com/en/players/60d90c55/Brice-Samba,60d90c55,Big 5 combined
145,Robert Sánchez,ESP,GK,Chelsea,eng Premier League,26-164,1997,16,16,1433,15.9,1.57,1.57,4.91,3.27,70.5,0.31,0.25,0.44,0.19,18.8,0.19,0.13,0.06,0.00,33.3,https://fbref.com/en/players/6a713852/Robert-Sanchez,6a713852,Big 5 combined
146,Marcel Schuhen,GER,GK,Darmstadt 98,de Bundesliga,31-108,1993,30,30,2700,30.0,2.40,2.40,6.30,3.93,62.4,0.10,0.23,0.67,0.10,10.0,0.07,0.03,0.03,0.00,50.0,https://fbref.com/en/players/5fa2e0cf/Marcel-Schuhen,5fa2e0cf,Big 5 combined
147,Marvin Schwäbe,GER,GK,Köln,de Bundesliga,29-005,1995,31,31,2790,31.0,1.74,1.74,5.00,3.26,66.5,0.13,0.35,0.52,0.10,9.7,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/87436846/Marvin-Schwabe,87436846,Big 5 combined
148,Alexander Schwolow,GER,GK,Union Berlin,de Bundesliga,31-333,1992,1,1,90,1.0,2.00,2.00,6.00,4.00,66.7,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/0d55d942/Alexander-Schwolow,0d55d942,Big 5 combined
149,Simone Scuffet,ITA,GK,Cagliari,it Serie A,27-335,1996,26,26,2340,26.0,1.69,1.69,4.12,2.50,61.7,0.27,0.35,0.38,0.08,7.7,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/41bd99ea/Simone-Scuffet,41bd99ea,Big 5 combined
150,Matz Sels,BEL,GK,Nott'ham Forest,eng Premier League,32-064,1992,13,13,1170,13.0,1.69,1.69,3.69,2.15,54.2,0.15,0.31,0.54,0.08,7.7,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/834b5c4c/Matz-Sels,834b5c4c,Big 5 combined
151,Matz Sels,BEL,GK,Strasbourg,fr Ligue 1,32-064,1992,19,19,1710,19.0,1.26,1.26,3.26,2.11,62.9,0.32,0.37,0.32,0.16,15.8,0.05,0.05,0.00,0.00,0.0,https://fbref.com/en/players/834b5c4c/Matz-Sels,834b5c4c,Big 5 combined
152,Rui Silva,POR,GK,Betis,es La Liga,30-083,1994,24,24,2115,23.5,1.28,1.28,4.26,3.02,77.0,0.34,0.34,0.34,0.34,33.3,0.34,0.30,0.04,0.00,12.5,https://fbref.com/en/players/ea83bfa6/Rui-Silva,ea83bfa6,Big 5 combined
153,Marco Silvestri,ITA,GK,Udinese,it Serie A,33-059,1991,17,17,1530,17.0,1.65,1.65,4.00,2.35,67.6,0.06,0.65,0.29,0.24,23.5,0.35,0.35,0.00,0.00,0.0,https://fbref.com/en/players/0d422df7/Marco-Silvestri,0d422df7,Big 5 combined
154,Unai Simón,ESP,GK,Athletic Club,es La Liga,26-324,1997,32,32,2880,32.0,0.97,0.97,3.31,2.41,71.7,0.50,0.31,0.19,0.47,46.9,0.13,0.03,0.06,0.03,66.7,https://fbref.com/en/players/5dcf3e90/Unai-Simon,5dcf3e90,Big 5 combined
155,Antonio Sivera,ESP,GK,Alavés,es La Liga,27-263,1996,33,33,2970,33.0,1.15,1.15,3.70,2.61,75.4,0.30,0.24,0.45,0.27,27.3,0.24,0.24,0.00,0.00,0.0,https://fbref.com/en/players/9970da54/Antonio-Sivera,9970da54,Big 5 combined
156,Łukasz Skorupski,POL,GK,Bologna,it Serie A,32-361,1991,30,30,2700,30.0,0.87,0.87,3.37,2.50,77.2,0.47,0.37,0.17,0.40,40.0,0.20,0.10,0.03,0.07,25.0,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,ab4449d6,Big 5 combined
157,Yann Sommer,SUI,GK,Inter,it Serie A,35-135,1988,32,32,2880,32.0,0.56,0.56,2.78,2.19,82.0,0.81,0.16,0.03,0.56,56.3,0.13,0.06,0.03,0.03,33.3,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,Big 5 combined
158,David Soria,ESP,GK,Getafe,es La Liga,31-026,1993,33,33,2970,33.0,1.36,1.36,4.73,3.33,73.7,0.30,0.39,0.30,0.30,30.3,0.18,0.12,0.03,0.03,20.0,https://fbref.com/en/players/8f8c6934/David-Soria,8f8c6934,Big 5 combined
159,Alessandro Sorrentino,ITA,GK,Monza,it Serie A,22-027,2002,5,3,368,4.1,3.17,3.18,5.61,2.44,60.9,0.00,0.24,0.49,0.00,0.0,0.98,0.98,0.00,0.00,0.0,https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino,8ef2452a,Big 5 combined
160,Marco Sportiello,ITA,GK,Milan,it Serie A,31-356,1992,4,4,360,4.0,1.00,1.00,4.75,3.75,78.9,0.50,0.50,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,Big 5 combined
161,Jason Steele,ENG,GK,Brighton,eng Premier League,33-256,1990,16,16,1440,16.0,2.00,2.00,4.38,2.50,58.6,0.31,0.25,0.44,0.13,12.5,0.19,0.19,0.00,0.00,0.0,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16,Big 5 combined
162,Thomas Strakosha,ALB,GK,Brentford,eng Premier League,29-042,1995,2,1,135,1.5,1.33,1.33,5.33,4.00,75.0,0.00,0.00,0.67,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,339fe0e8,Big 5 combined
163,Mile Svilar,SRB,GK,Roma,it Serie A,24-247,1999,11,11,990,11.0,1.27,1.27,4.73,3.45,75.0,0.55,0.27,0.18,0.36,36.4,0.18,0.09,0.09,0.00,50.0,https://fbref.com/en/players/bcf5058a/Mile-Svilar,bcf5058a,Big 5 combined
164,Wojciech Szczęsny,POL,GK,Juventus,it Serie A,34-012,1990,32,32,2880,32.0,0.78,0.78,3.00,2.25,76.0,0.53,0.31,0.16,0.47,46.9,0.09,0.06,0.03,0.00,33.3,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,Big 5 combined
165,Arnau Tenas,ESP,GK,Paris S-G,fr Ligue 1,22-336,2001,4,3,349,3.9,0.77,0.77,4.10,3.33,81.3,0.26,0.51,0.00,0.26,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/30670b0e/Arnau-Tenas,30670b0e,Big 5 combined
166,Marc-André ter Stegen,GER,GK,Barcelona,es La Liga,32-000,1992,22,22,1980,22.0,0.91,0.91,3.50,2.59,75.3,0.68,0.23,0.09,0.55,54.5,0.05,0.05,0.00,0.00,0.0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,6f51e382,Big 5 combined
167,Pietro Terracciano,ITA,GK,Fiorentina,it Serie A,34-053,1990,30,30,2700,30.0,1.00,1.00,3.83,2.80,79.1,0.43,0.23,0.33,0.27,26.7,0.23,0.20,0.03,0.00,14.3,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,Big 5 combined
168,James Trafford,ENG,GK,Burnley,eng Premier League,21-203,2002,28,28,2520,28.0,2.21,2.21,5.93,3.79,65.7,0.11,0.18,0.71,0.07,7.1,0.18,0.18,0.00,0.00,0.0,https://fbref.com/en/players/259fea27/James-Trafford,259fea27,Big 5 combined
169,Kevin Trapp,GER,GK,Eint Frankfurt,de Bundesliga,33-297,1990,29,29,2610,29.0,1.38,1.38,4.24,2.79,72.4,0.34,0.38,0.28,0.24,24.1,0.28,0.21,0.07,0.00,25.0,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,ce17b5eb,Big 5 combined
170,Mark Travers,IRL,GK,Bournemouth,eng Premier League,24-348,1999,2,2,180,2.0,0.00,0.00,2.50,2.50,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/fe558029/Mark-Travers,fe558029,Big 5 combined
171,Stefano Turati,ITA,GK,Frosinone,it Serie A,22-238,2001,31,31,2745,30.5,1.90,1.90,4.98,3.08,65.1,0.20,0.30,0.52,0.13,12.9,0.23,0.16,0.03,0.03,16.7,https://fbref.com/en/players/bf168004/Stefano-Turati,bf168004,Big 5 combined
172,Matt Turner,USA,GK,Nott'ham Forest,eng Premier League,29-311,1994,17,17,1530,17.0,1.65,1.65,4.71,3.06,67.5,0.24,0.29,0.47,0.12,11.8,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/4a51ba65/Matt-Turner,4a51ba65,Big 5 combined
173,Sven Ulreich,GER,GK,Bayern Munich,de Bundesliga,35-271,1988,11,11,990,11.0,1.09,1.09,2.82,1.73,64.5,0.64,0.18,0.18,0.36,36.4,0.09,0.09,0.00,0.00,0.0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,Big 5 combined
174,Álvaro Vallés,ESP,GK,Las Palmas,es La Liga,26-280,1997,32,32,2813,31.3,1.21,1.22,4.31,3.07,75.6,0.32,0.22,0.48,0.22,21.9,0.26,0.16,0.06,0.03,28.6,https://fbref.com/en/players/0166a73e/Alvaro-Valles,0166a73e,Big 5 combined
175,Bart Verbruggen,NED,GK,Brighton,eng Premier League,21-256,2002,18,18,1620,18.0,1.39,1.39,4.28,2.89,71.4,0.33,0.39,0.28,0.17,16.7,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/cf134113/Bart-Verbruggen,cf134113,Big 5 combined
176,Guglielmo Vicario,ITA,GK,Tottenham,eng Premier League,27-206,1996,33,33,2970,33.0,1.58,1.58,4.30,2.82,67.6,0.55,0.18,0.27,0.18,18.2,0.18,0.18,0.00,0.00,0.0,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,Big 5 combined
177,Iván Villar,ESP,GK,Celta Vigo,es La Liga,26-296,1997,10,10,834,9.3,1.61,1.62,4.41,2.69,65.9,0.11,0.32,0.65,0.00,0.0,0.22,0.11,0.11,0.00,50.0,https://fbref.com/en/players/cde52ef5/Ivan-Villar,cde52ef5,Big 5 combined
178,Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,eng Premier League,30-004,1994,5,5,450,5.0,2.40,2.40,4.40,2.00,50.0,0.20,0.00,0.80,0.20,20.0,0.20,0.20,0.00,0.00,0.0,https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos,03df04ff,Big 5 combined
179,Robin Zentner,GER,GK,Mainz 05,de Bundesliga,29-185,1994,27,27,2430,27.0,1.70,1.70,4.37,2.67,63.6,0.19,0.41,0.41,0.22,22.2,0.15,0.11,0.00,0.04,0.0,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,5c4bf6ba,Big 5 combined
180,Michael Zetterer,GER,GK,Werder Bremen,de Bundesliga,28-293,1995,24,24,2160,24.0,1.38,1.37,4.58,3.25,72.7,0.33,0.29,0.38,0.25,25.0,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/9b688ae1/Michael-Zetterer,9b688ae1,Big 5 combined
