Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
369,Thomas Cannon,IRL,FW,Everton,eng Premier League,21-011,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4506aec5/Thomas-Cannon,4506aec5,Big 5 combined
370,Sergi Canós,ESP,"MF,FW",Valencia,es La Liga,26-340,1997,5.5,2.18,1.09,0.91,0.55,0.73,0.36,1.82,20.0,1.45,1.27,0.18,1.09,1.27,3.45,0.55,0.00,https://fbref.com/en/players/1137759d/Sergi-Canos,1137759d,Big 5 combined
371,Luigi Canotto,ITA,FW,Frosinone,it Serie A,29-234,1994,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/911080b1/Luigi-Canotto,911080b1,Big 5 combined
372,Étienne Capoue,FRA,MF,Villarreal,es La Liga,35-181,1988,12.7,1.73,1.18,0.87,0.63,0.24,0.94,1.50,63.2,0.55,1.26,0.24,1.02,1.18,2.91,1.57,0.08,https://fbref.com/en/players/5acc4a10/Etienne-Capoue,5acc4a10,Big 5 combined
373,Gianluca Caprari,ITA,"MF,FW",Monza,it Serie A,30-162,1993,2.8,0.71,0.36,0.36,0.36,0.00,0.00,0.36,0.0,0.36,0.00,0.00,0.00,0.71,1.43,0.00,0.00,https://fbref.com/en/players/54e53b7e/Gianluca-Caprari,54e53b7e,Big 5 combined
374,Elia Caprile,ITA,GK,Empoli,it Serie A,22-136,2001,4.0,0.25,0.00,0.25,0.00,0.00,0.25,0.25,100.0,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.25,https://fbref.com/en/players/97d7afbd/Elia-Caprile,97d7afbd,Big 5 combined
375,Francesco Caputo,ITA,FW,Empoli,it Serie A,36-155,1987,12.2,0.16,0.00,0.00,0.00,0.16,0.00,0.08,0.0,0.08,0.33,0.00,0.33,0.08,0.25,0.16,0.00,https://fbref.com/en/players/5bd72174/Francesco-Caputo,5bd72174,Big 5 combined
376,Maxence Caqueret,FRA,MF,Lyon,fr Ligue 1,23-327,2000,16.7,2.40,1.68,0.90,1.02,0.48,1.02,3.17,32.1,2.16,0.78,0.12,0.66,1.80,4.19,0.90,0.06,https://fbref.com/en/players/f81ef10d/Maxence-Caqueret,f81ef10d,Big 5 combined
377,Andrea Carboni,ITA,DF,Monza,it Serie A,22-338,2001,8.7,2.76,1.15,1.84,0.92,0.00,0.92,1.49,61.5,0.57,1.61,0.92,0.69,0.57,3.33,3.56,0.11,https://fbref.com/en/players/f7e2af2c/Andrea-Carboni,f7e2af2c,Big 5 combined
378,Valentin Carboni,ARG,MF,Monza,it Serie A,18-309,2005,3.9,1.28,0.77,0.26,1.03,0.00,0.51,2.05,25.0,1.54,0.77,0.00,0.77,0.77,2.05,0.77,0.00,https://fbref.com/en/players/707b98f1/Valentin-Carboni,707b98f1,Big 5 combined
379,Isaac Carcelen,ESP,DF,Cádiz,es La Liga,30-260,1993,16.6,1.75,1.02,1.14,0.60,0.00,0.78,1.45,54.2,0.66,0.96,0.18,0.78,0.84,2.59,3.92,0.12,https://fbref.com/en/players/c4b888df/Isaac-Carcelen,c4b888df,Big 5 combined
380,Irvin Cardona,FRA,"MF,DF",Augsburg,de Bundesliga,26-153,1997,0.6,1.67,1.67,0.00,0.00,1.67,1.67,5.00,33.3,3.33,1.67,0.00,1.67,0.00,1.67,1.67,0.00,https://fbref.com/en/players/5e080f73/Irvin-Cardona,5e080f73,Big 5 combined
381,Marc Cardona,ESP,FW,Las Palmas,es La Liga,28-184,1995,4.4,1.14,0.91,0.45,0.23,0.45,0.00,1.36,0.0,1.36,0.91,0.00,0.91,0.23,1.36,0.68,0.00,https://fbref.com/en/players/b92b456a/Marc-Cardona,b92b456a,Big 5 combined
382,Sergi Cardona,ESP,DF,Las Palmas,es La Liga,24-184,1999,16.3,3.31,1.90,1.72,1.29,0.31,2.27,3.68,61.7,1.41,1.47,0.31,1.17,1.78,5.09,3.74,0.00,https://fbref.com/en/players/74e90475/Sergi-Cardona,74e90475,Big 5 combined
383,Igor Carioca,BRA,DF,Lorient,fr Ligue 1,27-140,1996,1.9,2.63,2.11,1.58,0.53,0.53,1.05,2.11,50.0,1.05,0.00,0.00,0.00,1.58,4.21,1.05,0.00,https://fbref.com/en/players/e3e32fbb/Igor-Carioca,e3e32fbb,Big 5 combined
384,Carlos,BRA,DF,Inter,it Serie A,25-001,1999,8.0,1.25,1.00,0.88,0.38,0.00,0.38,0.88,42.9,0.50,1.25,0.50,0.75,1.00,2.25,2.88,0.00,https://fbref.com/en/players/8d3cd59d/Carlos,8d3cd59d,Big 5 combined
385,Diego Carlos,BRA,DF,Aston Villa,eng Premier League,30-299,1993,10.1,1.58,1.09,1.19,0.30,0.10,0.69,1.09,63.6,0.40,0.79,0.59,0.20,0.59,2.18,4.26,0.10,https://fbref.com/en/players/b4a014b1/Diego-Carlos,b4a014b1,Big 5 combined
386,Carmona,ESP,"MF,FW",Getafe,es La Liga,21-344,2002,5.7,1.58,1.23,0.35,1.23,0.00,0.35,1.75,20.0,1.40,1.40,0.00,1.40,0.70,2.28,0.88,0.00,https://fbref.com/en/players/2dce876a/Carmona,2dce876a,Big 5 combined
387,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23-191,2000,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.11,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,Big 5 combined
388,Yannick Carrasco,BEL,DF,Atlético Madrid,es La Liga,30-126,1993,2.5,1.60,1.60,1.20,0.40,0.00,0.80,2.80,28.6,2.00,0.80,0.00,0.80,0.40,2.00,2.40,0.00,https://fbref.com/en/players/de39485a/Yannick-Carrasco,de39485a,Big 5 combined
389,Rasmus Carstensen,DEN,"DF,FW",Köln,de Bundesliga,23-089,2000,11.7,2.48,1.11,1.11,1.11,0.26,1.62,2.99,54.3,1.37,2.31,0.51,1.79,1.11,3.59,2.56,0.09,https://fbref.com/en/players/64d7f629/Rasmus-Carstensen,64d7f629,Big 5 combined
390,Dani Carvajal,ESP,DF,Real Madrid,es La Liga,31-362,1992,13.1,2.14,1.22,1.07,0.84,0.23,1.15,1.98,57.7,0.84,0.84,0.23,0.61,1.30,3.44,1.83,0.08,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,4958bfb2,Big 5 combined
391,Fabio Carvalho,POR,MF,RB Leipzig,de Bundesliga,21-131,2002,1.8,1.67,0.56,0.00,1.11,0.56,0.56,1.67,33.3,1.11,4.44,0.00,4.44,0.00,1.67,0.56,0.00,https://fbref.com/en/players/966e28d0/Fabio-Carvalho,966e28d0,Big 5 combined
392,William Carvalho,POR,MF,Betis,es La Liga,31-276,1992,3.6,3.33,1.94,1.11,1.94,0.28,1.67,1.94,85.7,0.28,0.56,0.00,0.56,0.83,4.17,0.83,0.00,https://fbref.com/en/players/dee86451/William-Carvalho,dee86451,Big 5 combined
393,Nicolò Casale,ITA,DF,Lazio,it Serie A,25-328,1998,8.0,1.00,0.38,1.00,0.00,0.00,0.75,1.50,50.0,0.75,0.63,0.63,0.00,0.50,1.50,3.50,0.00,https://fbref.com/en/players/3f5f38fb/Nicolo-Casale,3f5f38fb,Big 5 combined
394,Casemiro,BRA,MF,Manchester Utd,eng Premier League,31-319,1992,7.2,2.92,1.67,0.69,1.81,0.42,1.67,3.75,44.4,2.08,2.92,0.69,2.22,0.69,3.61,2.22,0.00,https://fbref.com/en/players/4d224fe8/Casemiro,4d224fe8,Big 5 combined
395,Matty Cash,POL,"DF,MF",Aston Villa,eng Premier League,26-154,1997,14.0,2.57,1.43,1.21,1.21,0.14,1.36,2.57,52.8,1.21,1.21,0.43,0.79,1.00,3.57,2.21,0.00,https://fbref.com/en/players/2389cdc2/Matty-Cash,2389cdc2,Big 5 combined
396,Josué Casimir,FRA,"DF,FW",Le Havre,fr Ligue 1,22-106,2001,11.9,1.68,0.76,0.84,0.76,0.08,0.42,0.67,62.5,0.25,1.26,0.17,1.09,0.50,2.18,1.60,0.00,https://fbref.com/en/players/481f76cf/Josue-Casimir,481f76cf,Big 5 combined
397,Giuseppe Caso,ITA,"FW,MF",Frosinone,it Serie A,25-030,1998,4.4,0.91,0.68,0.45,0.00,0.45,0.45,0.68,66.7,0.23,0.00,0.00,0.00,0.00,0.91,0.00,0.00,https://fbref.com/en/players/099a2de5/Giuseppe-Caso,099a2de5,Big 5 combined
398,Cristian Cásseres Jr.,VEN,MF,Toulouse,fr Ligue 1,23-353,2000,11.5,2.87,1.57,1.39,1.30,0.17,1.04,2.43,42.9,1.39,1.65,0.17,1.48,1.48,4.35,1.22,0.09,https://fbref.com/en/players/f86fe8c1/Cristian-Casseres-Jr,f86fe8c1,Big 5 combined
399,Timothy Castagne,BEL,DF,Fulham,eng Premier League,28-034,1995,14.2,1.76,0.70,0.92,0.49,0.35,0.92,1.55,59.1,0.63,1.13,0.21,0.92,1.69,3.45,1.97,0.07,https://fbref.com/en/players/197640fd/Timothy-Castagne,197640fd,Big 5 combined
400,Koen Casteels,BEL,GK,Wolfsburg,de Bundesliga,31-197,1992,13.0,0.15,0.08,0.15,0.00,0.00,0.15,0.23,66.7,0.08,0.00,0.00,0.00,0.00,0.15,0.54,0.15,https://fbref.com/en/players/db401046/Koen-Casteels,db401046,Big 5 combined
401,Valentín Castellanos,ARG,FW,Lazio,it Serie A,25-097,1998,8.4,1.43,0.83,0.00,0.48,0.95,0.12,0.60,20.0,0.48,1.55,0.24,1.31,0.12,1.55,0.83,0.00,https://fbref.com/en/players/da76bab4/Valentin-Castellanos,da76bab4,Big 5 combined
402,Jean-Charles Castelletto,CMR,DF,Nantes,fr Ligue 1,28-347,1995,14.6,1.23,0.89,0.62,0.48,0.14,0.75,1.16,64.7,0.41,0.62,0.48,0.14,1.10,2.33,3.36,0.00,https://fbref.com/en/players/e0f3a1f6/Jean-Charles-Castelletto,e0f3a1f6,Big 5 combined
403,Samu Castillejo,ESP,"FW,MF",Sassuolo,it Serie A,28-355,1995,4.7,2.34,1.91,0.85,1.06,0.43,1.49,3.62,41.2,2.13,2.55,0.21,2.34,0.00,2.34,0.64,0.00,https://fbref.com/en/players/130a7a3f/Samu-Castillejo,130a7a3f,Big 5 combined
404,Jonny Castro,ESP,MF,Wolves,eng Premier League,29-311,1994,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e28868f3/Jonny-Castro,e28868f3,Big 5 combined
405,Danilo Cataldi,ITA,MF,Lazio,it Serie A,29-155,1994,7.5,1.33,0.13,0.53,0.67,0.13,0.27,0.80,33.3,0.53,1.20,0.67,0.53,1.47,2.80,1.60,0.13,https://fbref.com/en/players/ba3d3bea/Danilo-Cataldi,ba3d3bea,Big 5 combined
406,Catena,ESP,DF,Osasuna,es La Liga,29-072,1994,14.9,1.01,0.60,0.87,0.07,0.07,0.54,1.14,47.1,0.60,1.01,0.67,0.34,0.60,1.61,4.56,0.13,https://fbref.com/en/players/274ab13c/Catena,274ab13c,Big 5 combined
407,Maximiliano Caufriez,BEL,DF,Clermont Foot,fr Ligue 1,26-326,1997,10.4,2.02,1.54,1.54,0.38,0.10,1.15,1.73,66.7,0.58,0.77,0.38,0.38,0.87,2.88,4.71,0.19,https://fbref.com/en/players/c92c24f0/Maximiliano-Caufriez,c92c24f0,Big 5 combined
408,Ivan Cavaleiro,POR,FW,Lille,fr Ligue 1,30-082,1993,8.1,1.11,0.62,0.25,0.49,0.37,0.74,2.22,33.3,1.48,0.99,0.25,0.74,0.62,1.73,0.62,0.00,https://fbref.com/en/players/979b811d/Ivan-Cavaleiro,979b811d,Big 5 combined
409,Dani Ceballos,ESP,"MF,FW",Real Madrid,es La Liga,27-154,1996,1.7,1.76,1.18,0.00,1.76,0.00,0.00,1.18,0.0,1.18,1.18,0.59,0.59,0.00,1.76,1.18,0.00,https://fbref.com/en/players/c0617e2b/Dani-Ceballos,c0617e2b,Big 5 combined
410,Emil Ceide,NOR,"MF,FW",Sassuolo,it Serie A,22-127,2001,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2.50,0.00,2.50,0.00,0.00,0.00,0.00,https://fbref.com/en/players/98a84572/Emil-Ceide,98a84572,Big 5 combined
411,Zeki Çelik,TUR,DF,Roma,it Serie A,26-325,1997,1.7,5.29,3.53,1.76,2.94,0.59,2.35,2.94,80.0,0.59,0.00,0.00,0.00,0.59,5.88,2.35,0.00,https://fbref.com/en/players/31a62dc7/Zeki-Celik,31a62dc7,Big 5 combined
412,Álex Centelles,ESP,DF,Almería,es La Liga,26-061,1997,2.5,1.20,0.40,1.20,0.00,0.00,0.80,2.40,33.3,1.60,0.80,0.40,0.40,1.60,2.80,2.40,0.00,https://fbref.com/en/players/ae852b7d/Alex-Centelles,ae852b7d,Big 5 combined
413,Fabien Centonze,FRA,DF,Nantes,fr Ligue 1,27-357,1996,0.9,2.22,1.11,2.22,0.00,0.00,2.22,3.33,66.7,1.11,1.11,0.00,1.11,0.00,2.22,1.11,0.00,https://fbref.com/en/players/3c6bbbab/Fabien-Centonze,3c6bbbab,Big 5 combined
414,Václav Černý,CZE,"FW,MF",Wolfsburg,de Bundesliga,26-083,1997,6.1,0.82,0.33,0.33,0.49,0.00,0.16,1.48,11.1,1.31,1.48,0.00,1.48,0.98,1.80,0.66,0.00,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,bb1cf301,Big 5 combined
415,Michele Cerofolini,ITA,GK,Frosinone,it Serie A,25-004,1999,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,Big 5 combined
416,Franco Cervi,ARG,"MF,DF",Celta Vigo,es La Liga,29-227,1994,4.8,3.54,2.50,1.88,1.46,0.21,1.88,3.96,47.4,2.08,2.92,0.00,2.92,1.46,5.00,0.83,0.00,https://fbref.com/en/players/5e1028e5/Franco-Cervi,5e1028e5,Big 5 combined
417,Julio César Enciso,PAR,MF,Brighton,eng Premier League,19-350,2004,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.0,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9cfbad36/Julio-Cesar-Enciso,9cfbad36,Big 5 combined
418,Julian Chabot,GER,DF,Köln,de Bundesliga,25-330,1998,13.4,2.16,1.42,1.34,0.82,0.00,1.12,1.64,68.2,0.52,2.31,1.34,0.97,1.87,4.03,4.70,0.00,https://fbref.com/en/players/ae7058f9/Julian-Chabot,ae7058f9,Big 5 combined
419,Fares Chaïbi,ALG,"FW,MF",Toulouse,fr Ligue 1,21-041,2002,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,https://fbref.com/en/players/357103bd/Fares-Chaibi,357103bd,Big 5 combined
420,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21-041,2002,10.4,1.63,0.96,0.38,0.67,0.58,0.38,0.67,57.1,0.29,1.92,0.00,1.92,0.19,1.83,0.38,0.00,https://fbref.com/en/players/357103bd/Fares-Chaibi,357103bd,Big 5 combined
421,Muhammed Cham,AUT,"MF,FW",Clermont Foot,fr Ligue 1,23-104,2000,15.4,1.04,0.58,0.39,0.52,0.13,0.45,1.10,41.2,0.65,0.78,0.13,0.65,0.32,1.36,0.13,0.06,https://fbref.com/en/players/f527a32c/Muhammed-Cham,f527a32c,Big 5 combined
422,Brendan Chardonnet,FRA,DF,Brest,fr Ligue 1,29-017,1994,16.0,1.63,1.06,1.06,0.44,0.13,1.06,1.88,56.7,0.81,1.69,0.94,0.75,1.13,2.75,4.19,0.06,https://fbref.com/en/players/16aa7d4c/Brendan-Chardonnet,16aa7d4c,Big 5 combined
423,Charlys,BRA,MF,Hellas Verona,it Serie A,19-323,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/eff9c9ea/Charlys,eff9c9ea,Big 5 combined
424,Pep Chavarría,ESP,DF,Rayo Vallecano,es La Liga,25-273,1998,2.7,2.22,1.48,1.48,0.74,0.00,1.48,1.48,100.0,0.00,1.11,0.00,1.11,0.74,2.96,2.22,0.00,https://fbref.com/en/players/63c5e56b/Pep-Chavarria,63c5e56b,Big 5 combined
425,Walid Cheddira,MAR,FW,Frosinone,it Serie A,25-351,1998,9.4,0.43,0.11,0.11,0.11,0.21,0.11,0.21,50.0,0.11,0.32,0.11,0.21,0.00,0.43,0.74,0.00,https://fbref.com/en/players/0545a08e/Walid-Cheddira,0545a08e,Big 5 combined
426,Rayan Cherki,FRA,"MF,FW",Lyon,fr Ligue 1,20-144,2003,11.9,1.18,0.50,0.08,0.76,0.34,0.76,2.27,33.3,1.51,1.01,0.25,0.76,0.42,1.60,0.00,0.00,https://fbref.com/en/players/b34c63a5/Rayan-Cherki,b34c63a5,Big 5 combined
427,Youssef Chermiti,POR,FW,Everton,eng Premier League,19-229,2004,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.0,1.67,1.67,0.00,1.67,0.00,0.00,0.00,0.00,https://fbref.com/en/players/890f108d/Youssef-Chermiti,890f108d,Big 5 combined
428,Lucas Chevalier,FRA,GK,Lille,fr Ligue 1,22-063,2001,17.0,0.06,0.00,0.06,0.00,0.00,0.06,0.12,50.0,0.06,0.06,0.00,0.06,0.00,0.06,0.35,0.12,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Big 5 combined
429,Fabio Chiarodia,ITA,"DF,MF",M'Gladbach,de Bundesliga,18-217,2005,0.7,5.71,2.86,5.71,0.00,0.00,2.86,2.86,100.0,0.00,1.43,1.43,0.00,1.43,7.14,8.57,0.00,https://fbref.com/en/players/48780156/Fabio-Chiarodia,48780156,Big 5 combined
430,Federico Chiesa,ITA,FW,Juventus,it Serie A,26-075,1997,12.5,0.72,0.24,0.16,0.24,0.32,0.24,0.40,60.0,0.16,0.64,0.08,0.56,0.40,1.12,0.32,0.00,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,b0f7e36c,Big 5 combined
431,Ben Chilwell,ENG,"DF,MF",Chelsea,eng Premier League,27-018,1996,3.7,1.35,1.08,0.00,1.08,0.27,0.27,0.81,33.3,0.54,0.27,0.00,0.27,0.81,2.16,1.08,0.00,https://fbref.com/en/players/d2424d1b/Ben-Chilwell,d2424d1b,Big 5 combined
432,Pedro Chirivella,ESP,MF,Nantes,fr Ligue 1,26-230,1997,15.6,1.54,0.90,0.51,0.96,0.06,0.96,2.69,35.7,1.73,0.90,0.13,0.77,1.15,2.69,1.03,0.00,https://fbref.com/en/players/68a26d51/Pedro-Chirivella,68a26d51,Big 5 combined
433,Tahith Chong,NED,MF,Luton Town,eng Premier League,24-035,1999,8.1,2.10,0.99,1.36,0.49,0.25,0.86,1.48,58.3,0.62,1.23,0.25,0.99,0.37,2.47,0.25,0.00,https://fbref.com/en/players/2696b6a9/Tahith-Chong,2696b6a9,Big 5 combined
434,Joris Chotard,FRA,MF,Montpellier,fr Ligue 1,22-106,2001,15.6,3.33,2.18,1.92,0.96,0.45,1.92,3.72,51.7,1.79,1.99,0.90,1.09,1.60,4.94,2.18,0.00,https://fbref.com/en/players/7909ffa4/Joris-Chotard,7909ffa4,Big 5 combined
435,Andreas Christensen,DEN,DF,Barcelona,es La Liga,27-273,1996,12.1,0.74,0.58,0.50,0.25,0.00,0.58,1.07,53.8,0.50,0.74,0.33,0.41,0.99,1.74,2.07,0.00,https://fbref.com/en/players/1cb49278/Andreas-Christensen,1cb49278,Big 5 combined
436,Oliver Christensen,DEN,GK,Fiorentina,it Serie A,24-292,1999,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,Big 5 combined
437,Ryan Christie,SCO,MF,Bournemouth,eng Premier League,28-320,1995,16.5,2.61,1.27,1.03,0.91,0.67,1.21,2.67,45.5,1.45,1.39,0.24,1.15,1.27,3.88,0.91,0.00,https://fbref.com/en/players/26ce2263/Ryan-Christie,26ce2263,Big 5 combined
438,Carney Chukwuemeka,ENG,MF,Chelsea,eng Premier League,20-080,2003,1.4,0.71,0.71,0.71,0.00,0.00,0.71,1.43,50.0,0.71,0.00,0.00,0.00,0.00,0.71,0.00,0.00,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka,b2f9c73e,Big 5 combined
439,Samuel Chukwueze,NGA,FW,Milan,it Serie A,24-231,1999,6.1,2.30,0.66,1.15,0.82,0.33,1.15,2.30,50.0,1.15,0.33,0.16,0.16,0.66,2.95,0.00,0.00,https://fbref.com/en/players/b8a642fc/Samuel-Chukwueze,b8a642fc,Big 5 combined
440,Víctor Chust,ESP,DF,Cádiz,es La Liga,23-309,2000,4.0,2.00,0.75,1.25,0.75,0.00,1.25,2.00,62.5,0.75,1.25,0.75,0.50,0.75,2.75,3.75,0.00,https://fbref.com/en/players/ec1a731e/Victor-Chust,ec1a731e,Big 5 combined
441,Pathé Ciss,SEN,MF,Rayo Vallecano,es La Liga,29-298,1994,11.2,2.14,0.98,0.80,1.34,0.00,0.98,1.70,57.9,0.71,1.52,0.63,0.89,1.88,4.02,2.86,0.00,https://fbref.com/en/players/9a0408b6/Pathe-Ciss,9a0408b6,Big 5 combined
442,Ibrahim Cissoko,NED,"FW,MF",Toulouse,fr Ligue 1,20-288,2003,2.3,1.30,0.87,0.87,0.43,0.00,0.43,1.30,33.3,0.87,0.87,0.00,0.87,0.43,1.74,0.00,0.00,https://fbref.com/en/players/abddf25d/Ibrahim-Cissoko,abddf25d,Big 5 combined
443,Giorgio Cittadini,ITA,DF,Monza,it Serie A,21-265,2002,0.2,5.00,5.00,5.00,0.00,0.00,5.00,5.00,100.0,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,https://fbref.com/en/players/e4ba67f2/Giorgio-Cittadini,e4ba67f2,Big 5 combined
444,Patrick Ciurria,ITA,"DF,MF",Monza,it Serie A,28-333,1995,14.8,1.76,1.08,0.74,0.81,0.20,0.81,1.28,63.2,0.47,1.01,0.34,0.68,0.54,2.30,1.62,0.00,https://fbref.com/en/players/5de3866c/Patrick-Ciurria,5de3866c,Big 5 combined
445,Jordan Clark,ENG,"MF,DF",Luton Town,eng Premier League,30-108,1993,0.9,3.33,0.00,2.22,1.11,0.00,0.00,2.22,0.0,2.22,2.22,1.11,1.11,0.00,3.33,3.33,0.00,https://fbref.com/en/players/7c5fa6cf/Jordan-Clark,7c5fa6cf,Big 5 combined
446,Alexis Claude-Maurice,FRA,MF,Nice,fr Ligue 1,25-216,1998,1.2,5.83,2.50,2.50,2.50,0.83,0.83,1.67,50.0,0.83,0.00,0.00,0.00,1.67,7.50,2.50,0.00,https://fbref.com/en/players/741418c3/Alexis-Claude-Maurice,741418c3,Big 5 combined
447,Jonathan Clauss,FRA,DF,Marseille,fr Ligue 1,31-105,1992,13.9,2.23,1.08,1.08,0.94,0.22,1.29,2.37,54.5,1.08,1.01,0.14,0.86,1.37,3.60,2.45,0.00,https://fbref.com/en/players/5219ab4a/Jonathan-Clauss,5219ab4a,Big 5 combined
448,Silvi Clúa,ESP,MF,Girona,es La Liga,18-344,2005,0.0,2,0,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,https://fbref.com/en/players/b793dea2/Silvi-Clua,b793dea2,Big 5 combined
449,Nathaniel Clyne,ENG,DF,Crystal Palace,eng Premier League,32-278,1991,7.1,1.97,1.13,0.99,0.70,0.28,1.27,1.55,81.8,0.28,1.13,0.14,0.99,0.56,2.54,2.54,0.00,https://fbref.com/en/players/0442183b/Nathaniel-Clyne,0442183b,Big 5 combined
450,Marcus Coco,FRA,DF,Nantes,fr Ligue 1,27-198,1996,8.7,2.07,1.49,1.61,0.34,0.11,1.03,3.10,33.3,2.07,1.26,0.11,1.15,1.26,3.33,1.72,0.00,https://fbref.com/en/players/3010aefb/Marcus-Coco,3010aefb,Big 5 combined
451,Saúl Coco,EQG,DF,Las Palmas,es La Liga,24-333,1999,13.4,1.42,0.82,1.12,0.30,0.00,0.52,0.90,58.3,0.37,1.04,0.90,0.15,0.82,2.24,5.67,0.07,https://fbref.com/en/players/d0ee1652/Saul-Coco,d0ee1652,Big 5 combined
452,Séamus Coleman,IRL,DF,Everton,eng Premier League,35-089,1988,1.0,2.00,2.00,1.00,0.00,1.00,1.00,1.00,100.0,0.00,0.00,0.00,0.00,1.00,3.00,4.00,0.00,https://fbref.com/en/players/0420d84f/Seamus-Coleman,0420d84f,Big 5 combined
453,Maxime Colin,FRA,DF,Metz,fr Ligue 1,32-054,1991,8.1,1.98,0.99,1.11,0.49,0.37,0.86,1.60,53.8,0.74,1.23,0.49,0.74,0.86,2.84,3.95,0.00,https://fbref.com/en/players/2f71c116/Maxime-Colin,2f71c116,Big 5 combined
454,Nathan Collins,IRL,DF,Brentford,eng Premier League,22-253,2001,13.3,1.13,0.60,0.75,0.30,0.08,0.53,0.90,58.3,0.38,1.28,0.68,0.60,1.50,2.63,4.96,0.23,https://fbref.com/en/players/a8c19eb8/Nathan-Collins,a8c19eb8,Big 5 combined
455,Lorenzo Colombo,ITA,FW,Monza,it Serie A,21-306,2002,12.2,1.31,0.98,0.25,0.74,0.33,0.66,0.98,66.7,0.33,0.98,0.33,0.66,0.00,1.31,1.07,0.00,https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,04df29a5,Big 5 combined
456,Andrea Colpani,ITA,"MF,FW",Monza,it Serie A,24-242,1999,14.8,0.68,0.34,0.07,0.41,0.20,0.14,0.34,40.0,0.20,0.14,0.07,0.07,0.34,1.01,0.61,0.00,https://fbref.com/en/players/6499048c/Andrea-Colpani,6499048c,Big 5 combined
457,Levi Colwill,ENG,DF,Chelsea,eng Premier League,20-316,2003,16.8,2.20,1.43,1.01,1.01,0.18,1.19,1.61,74.1,0.42,1.37,0.42,0.95,1.31,3.51,2.62,0.00,https://fbref.com/en/players/700783e7/Levi-Colwill,700783e7,Big 5 combined
458,Kingsley Coman,FRA,FW,Bayern Munich,de Bundesliga,27-209,1996,9.3,1.18,0.65,0.54,0.32,0.32,0.86,1.40,61.5,0.54,1.29,0.11,1.18,0.22,1.40,0.54,0.00,https://fbref.com/en/players/042e8a49/Kingsley-Coman,042e8a49,Big 5 combined
459,Eray Cömert,SUI,DF,Nantes,fr Ligue 1,25-338,1998,13.3,1.50,0.98,1.05,0.45,0.00,0.90,1.35,66.7,0.45,1.35,0.68,0.68,1.65,3.16,3.91,0.00,https://fbref.com/en/players/15937e17/Eray-Comert,15937e17,Big 5 combined
460,Santi Comesaña,ESP,MF,Villarreal,es La Liga,27-095,1996,5.3,3.21,1.70,0.57,1.89,0.75,1.51,3.02,50.0,1.51,1.51,0.19,1.32,1.32,4.53,1.51,0.19,https://fbref.com/en/players/5ae499d0/Santi-Comesana,5ae499d0,Big 5 combined
