Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
73,Steve Mandanda,FRA,GK,Rennes,fr Ligue 1,38-286,1985,17.0,1.29,0.06,0.00,0.18,0.12,1.05,0.25,-0.12,-0.12,3.65,12.9,28.2,32.0,4.41,29.8,31.7,6.12,55.8,42.0,12.7,0.71,5.6,1.47,1.47,18.5,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,1d2d5cc8,Big 5 combined
74,Diego Mariño,ESP,GK,Almería,es La Liga,33-244,1990,1.0,2.00,2.00,0.00,0.00,0.00,2.10,0.02,0.10,+0.05,1.00,5.00,20.0,25.0,6.00,20.0,24.1,2.00,0.0,16.5,6.00,0.00,0.0,2.00,2.00,22.7,https://fbref.com/en/players/d9235a45/Diego-Marino,d9235a45,Big 5 combined
75,Unai Marrero,ESP,GK,Real Sociedad,es La Liga,22-091,2001,0.6,1.67,1.67,0.00,0.00,0.00,1.83,0.05,0.17,+0.16,6.67,20.0,33.3,18.3,3.33,72.7,49.2,6.67,100.0,60.8,18.3,1.67,9.1,0.00,0.00,8.0,https://fbref.com/en/players/f0fe87dc/Unai-Marrero,f0fe87dc,Big 5 combined
76,Emiliano Martínez,ARG,GK,Aston Villa,eng Premier League,31-128,1992,19.0,1.37,0.00,0.00,0.26,0.11,1.38,0.34,0.12,+0.12,3.95,9.74,40.5,34.6,4.74,22.8,28.3,4.63,39.8,35.4,10.1,1.16,11.5,2.53,2.53,19.0,https://fbref.com/en/players/7956236f/Emiliano-Martinez,7956236f,Big 5 combined
77,Josep Martinez,ESP,GK,Genoa,it Serie A,25-226,1998,18.0,1.22,0.06,0.00,0.11,0.06,1.03,0.30,-0.13,-0.13,6.17,15.8,38.9,34.3,3.06,35.3,35.7,5.17,72.0,52.0,15.2,1.33,8.8,0.78,0.78,11.7,https://fbref.com/en/players/11d8aff0/Josep-Martinez,11d8aff0,Big 5 combined
78,Remi Matthews,ENG,GK,Crystal Palace,eng Premier League,29-332,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.20,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.00,3.5,https://fbref.com/en/players/27f4f772/Remi-Matthews,27f4f772,Big 5 combined
79,Luís Maximiano,POR,GK,Almería,es La Liga,25-003,1999,16.0,2.13,0.13,0.00,0.38,0.00,2.04,0.36,-0.09,-0.09,4.69,16.2,29.0,27.2,4.69,38.4,35.0,9.44,60.9,45.4,16.2,0.75,4.6,1.25,1.25,14.7,https://fbref.com/en/players/3318286e/Luis-Maximiano,3318286e,Big 5 combined
80,Alex Meret,ITA,GK,Napoli,it Serie A,26-292,1997,15.8,1.20,0.06,0.00,0.13,0.00,1.19,0.32,-0.01,-0.01,1.77,5.76,30.8,23.9,3.35,18.6,28.1,5.06,26.3,30.7,11.6,0.13,1.1,1.08,1.08,16.7,https://fbref.com/en/players/9413b19f/Alex-Meret,9413b19f,Big 5 combined
81,Alexander Meyer,GER,GK,Dortmund,de Bundesliga,32-270,1991,0.7,1.43,0.00,0.00,0.00,0.00,1.43,0.52,0.00,+0.05,1.43,4.29,33.3,30.0,7.14,14.3,22.5,10.0,0.0,20.7,12.9,2.86,22.2,0.00,0.00,6.8,https://fbref.com/en/players/b56dd813/Alexander-Meyer,b56dd813,Big 5 combined
82,Vanja Milinković-Savić,SRB,GK,Torino,it Serie A,26-322,1997,18.0,0.89,0.17,0.00,0.22,0.00,0.84,0.19,-0.04,-0.05,5.83,19.3,30.3,33.1,4.72,42.4,37.1,6.39,81.7,64.3,9.94,0.94,9.5,1.06,1.06,15.0,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,9fa26bc2,Big 5 combined
83,Antonio Mirante,ITA,GK,Milan,it Serie A,40-184,1983,1.0,1.00,0.00,0.00,0.00,0.00,1.10,0.33,0.10,+0.12,4.00,12.0,33.3,25.0,2.00,40.0,34.4,4.00,50.0,36.0,12.0,0.00,0.0,0.00,0.00,5.5,https://fbref.com/en/players/30223b33/Antonio-Mirante,30223b33,Big 5 combined
84,Lorenzo Montipò,ITA,GK,Hellas Verona,it Serie A,27-322,1996,19.0,1.37,0.05,0.00,0.11,0.00,1.22,0.26,-0.15,-0.15,9.00,20.7,43.4,25.9,3.11,54.2,41.4,9.05,73.8,53.8,12.3,0.26,2.1,1.42,1.42,17.8,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,c1d95617,Big 5 combined
85,Kevin Müller,GER,GK,Heidenheim,de Bundesliga,32-299,1991,16.0,2.00,0.38,0.00,0.31,0.13,1.86,0.25,-0.01,-0.01,8.50,19.4,43.7,34.9,4.44,40.0,37.4,8.94,61.5,45.9,15.1,0.94,6.2,0.75,0.75,13.9,https://fbref.com/en/players/f256f213/Kevin-Muller,f256f213,Big 5 combined
86,Juan Musso,ARG,GK,Atalanta,it Serie A,29-247,1994,10.0,1.20,0.20,0.00,0.20,0.10,0.89,0.22,-0.21,-0.21,3.80,11.0,34.5,28.1,6.40,24.2,29.5,6.00,70.0,50.2,9.80,1.00,10.2,1.60,1.60,16.8,https://fbref.com/en/players/a111cf41/Juan-Musso,a111cf41,Big 5 combined
87,Yvon Mvogo,SUI,GK,Lorient,fr Ligue 1,29-216,1994,17.0,2.06,0.29,0.06,0.29,0.00,1.89,0.24,-0.16,-0.16,3.88,10.4,37.3,28.6,5.12,28.4,31.9,5.71,40.2,35.5,16.5,0.76,4.6,0.35,0.35,8.2,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,dc29b608,Big 5 combined
88,Neto,BRA,GK,Bournemouth,eng Premier League,34-173,1989,17.0,1.65,0.12,0.06,0.12,0.06,1.60,0.29,0.01,+0.01,5.12,15.0,34.1,25.8,4.53,43.5,36.5,7.12,52.9,42.6,12.8,0.94,7.4,1.06,1.06,12.8,https://fbref.com/en/players/a9dc785c/Neto,a9dc785c,Big 5 combined
89,Manuel Neuer,GER,GK,Bayern Munich,de Bundesliga,37-287,1986,7.0,1.14,0.00,0.00,0.00,0.00,0.84,0.29,-0.30,-0.30,3.43,7.57,45.3,39.4,4.57,17.4,28.1,4.57,15.6,24.9,7.71,0.14,1.9,0.71,0.71,20.9,https://fbref.com/en/players/8778c910/Manuel-Neuer,8778c910,Big 5 combined
90,Moritz Nicolas,GER,GK,M'Gladbach,de Bundesliga,26-079,1997,14.0,2.00,0.29,0.00,0.29,0.00,2.02,0.27,0.02,+0.02,3.57,11.2,31.8,33.1,5.64,25.7,29.3,5.93,45.8,41.2,17.0,0.86,5.0,0.86,0.86,13.3,https://fbref.com/en/players/226ddf9d/Moritz-Nicolas,226ddf9d,Big 5 combined
91,Alexander Nübel,GER,GK,Stuttgart,de Bundesliga,27-100,1996,16.0,1.19,0.06,0.00,0.19,0.13,1.04,0.26,-0.03,-0.02,4.81,10.1,47.8,35.6,4.94,23.5,28.8,4.44,38.0,33.5,12.1,1.31,10.9,2.31,2.31,17.7,https://fbref.com/en/players/afb0c500/Alexander-Nubel,afb0c500,Big 5 combined
92,Ørjan Nyland,NOR,GK,Sevilla,es La Liga,33-120,1990,7.0,1.14,0.14,0.00,0.00,0.14,0.90,0.23,-0.10,-0.11,5.57,14.6,38.2,21.6,4.57,43.7,35.4,7.43,69.2,52.3,13.3,0.57,4.3,1.14,1.14,16.9,https://fbref.com/en/players/bdedffac/Orjan-Nyland,bdedffac,Big 5 combined
93,Jan Oblak,SVN,GK,Atlético Madrid,es La Liga,31-001,1993,19.0,1.21,0.05,0.00,0.11,0.00,1.06,0.25,-0.15,-0.15,3.00,9.11,32.9,19.8,4.74,25.3,30.8,8.05,51.0,40.1,16.2,0.74,4.6,0.68,0.68,13.1,https://fbref.com/en/players/ee8508c0/Jan-Oblak,ee8508c0,Big 5 combined
94,Guillermo Ochoa,MEX,GK,Salernitana,it Serie A,38-179,1985,11.0,2.00,0.27,0.00,0.27,0.00,1.46,0.22,-0.54,-0.53,3.18,15.2,21.0,24.4,3.55,44.8,37.1,8.00,53.4,42.0,14.8,0.64,4.3,0.36,0.36,10.7,https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa,1e9bde92,Big 5 combined
95,Maduka Okoye,NGA,GK,Udinese,it Serie A,24-133,1999,2.0,1.00,0.00,0.50,0.00,0.00,0.85,0.25,-0.15,-0.14,4.50,11.5,39.1,12.5,1.00,68.0,45.5,5.00,60.0,41.1,9.50,0.00,0.0,0.00,0.00,5.3,https://fbref.com/en/players/ab5c36dd/Maduka-Okoye,ab5c36dd,Big 5 combined
96,Robin Olsen,SWE,GK,Aston Villa,eng Premier League,34-000,1990,1.0,1.00,0.00,0.00,0.00,0.00,0.50,0.23,-0.50,-0.54,5.00,12.0,41.7,37.0,3.00,29.7,28.0,2.00,50.0,35.0,11.0,0.00,0.0,1.00,1.00,23.0,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,e7ee38c3,Big 5 combined
97,Jonas Omlin,SUI,GK,M'Gladbach,de Bundesliga,29-363,1994,2.0,3.50,0.50,0.00,0.50,0.00,3.00,0.28,-0.50,-0.51,5.50,16.0,34.4,33.5,6.50,40.3,37.0,5.00,50.0,40.4,13.5,0.50,3.7,1.00,1.00,13.3,https://fbref.com/en/players/c631f952/Jonas-Omlin,c631f952,Big 5 combined
98,André Onana,CMR,GK,Manchester Utd,eng Premier League,27-281,1996,20.0,1.35,0.10,0.05,0.15,0.05,1.44,0.29,0.14,+0.14,3.65,12.1,30.2,34.5,3.40,28.7,30.2,4.55,48.4,40.1,13.6,0.60,4.4,0.95,0.95,14.9,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,e9c0c1b2,Big 5 combined
99,Stefan Ortega,GER,GK,Manchester City,eng Premier League,31-063,1992,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.32,0.00,-0.04,5.00,19.0,26.3,57.0,2.00,31.6,30.9,1.00,100.0,63.0,7.00,1.00,14.3,1.00,1.00,11.3,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Big 5 combined
100,Alexandre Oukidja,ALG,GK,Metz,fr Ligue 1,35-173,1988,16.2,1.60,0.06,0.06,0.12,0.00,1.42,0.25,-0.19,-0.19,7.41,19.6,37.9,21.0,3.89,56.2,42.0,8.46,92.0,60.8,16.3,1.17,7.2,0.49,0.49,9.6,https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja,ae7d0ecd,Big 5 combined
101,Rui Patrício,POR,GK,Roma,it Serie A,35-327,1988,19.0,1.11,0.11,0.00,0.05,0.05,0.99,0.31,-0.06,-0.06,4.21,9.05,46.5,19.9,3.74,31.4,31.6,6.11,45.7,37.0,12.3,0.74,6.0,0.37,0.37,11.8,https://fbref.com/en/players/79b0d6a0/Rui-Patricio,79b0d6a0,Big 5 combined
102,Jiří Pavlenka,CZE,GK,Werder Bremen,de Bundesliga,31-269,1992,7.0,2.43,0.29,0.00,0.14,0.00,1.87,0.30,-0.56,-0.56,4.43,12.1,36.5,25.3,5.29,37.9,34.2,9.86,26.1,32.5,15.6,1.00,6.4,1.29,1.29,14.4,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,0a1cb833,Big 5 combined
103,Iñaki Peña,ESP,GK,Barcelona,es La Liga,24-312,1999,6.0,1.50,0.00,0.00,0.00,0.00,1.50,0.35,0.00,+0.01,1.00,3.33,30.0,23.8,5.17,10.5,22.8,4.33,19.2,28.2,8.67,0.17,1.9,0.50,0.50,11.4,https://fbref.com/en/players/cc1c5035/Inaki-Pena,cc1c5035,Big 5 combined
104,Mattia Perin,ITA,GK,Juventus,it Serie A,31-059,1992,2.0,0.50,0.00,0.00,0.00,0.00,0.60,0.30,0.10,+0.09,2.50,6.50,38.5,21.0,4.50,28.6,29.1,5.50,9.1,18.9,13.0,1.00,7.7,1.00,1.00,15.0,https://fbref.com/en/players/4c62d0c8/Mattia-Perin,4c62d0c8,Big 5 combined
105,Samuele Perisan,ITA,GK,Empoli,it Serie A,26-140,1997,1.0,2.00,0.00,0.00,0.00,0.00,0.70,0.14,-1.30,-1.32,1.00,8.00,12.5,22.0,8.00,27.3,26.3,12.0,16.7,29.6,18.0,0.00,0.0,1.00,1.00,21.0,https://fbref.com/en/players/00a17eba/Samuele-Perisan,00a17eba,Big 5 combined
106,Pavao Pervan,AUT,GK,Wolfsburg,de Bundesliga,36-056,1987,3.0,2.33,0.00,0.33,0.00,0.33,2.03,0.38,0.03,+0.05,3.00,13.7,22.0,35.3,7.67,32.1,31.9,3.67,63.6,49.2,12.3,0.00,0.0,0.67,0.67,13.3,https://fbref.com/en/players/c89e8aae/Pavao-Pervan,c89e8aae,Big 5 combined
107,Denis Petrić,SRB,GK,Nantes,fr Ligue 1,35-229,1988,0.3,3.33,0.00,0.00,3.33,0.00,1.00,0.28,-2.33,-2.71,3.33,6.67,50.0,23.3,6.67,28.6,30.7,0.00,,,13.3,0.00,0.0,0.00,0.00,,https://fbref.com/en/players/dab1b8dc/Denis-Petric,dab1b8dc,Big 5 combined
108,Đorđe Petrović,SRB,GK,Chelsea,eng Premier League,24-092,1999,4.1,1.46,0.00,0.00,0.73,0.00,1.32,0.31,-0.15,-0.15,4.39,12.4,35.3,32.2,3.41,27.3,30.2,6.10,60.0,45.1,15.1,0.98,6.5,1.95,1.96,18.8,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic,0cf321c8,Big 5 combined
109,Jordan Pickford,ENG,GK,Everton,eng Premier League,29-307,1994,20.0,1.40,0.25,0.00,0.30,0.10,1.28,0.27,-0.01,-0.01,9.40,22.8,41.3,31.3,3.40,57.7,41.9,7.30,64.4,49.7,13.3,0.60,4.5,1.25,1.25,16.7,https://fbref.com/en/players/4806ec67/Jordan-Pickford,4806ec67,Big 5 combined
110,Nick Pope,ENG,GK,Newcastle Utd,eng Premier League,31-264,1992,13.9,1.01,0.00,0.07,0.14,0.00,1.09,0.30,0.08,+0.08,2.52,7.19,35.0,20.3,6.12,18.8,27.8,6.12,55.3,42.3,9.21,0.43,4.7,2.01,2.01,19.8,https://fbref.com/en/players/4b40d9ca/Nick-Pope,4b40d9ca,Big 5 combined
111,Ivan Provedel,ITA,GK,Lazio,it Serie A,29-297,1994,19.0,1.05,0.05,0.00,0.05,0.00,0.87,0.22,-0.18,-0.18,2.68,7.00,38.3,29.0,3.74,19.1,29.4,4.63,31.8,33.6,10.8,0.63,5.9,0.63,0.63,12.8,https://fbref.com/en/players/277da414/Ivan-Provedel,277da414,Big 5 combined
112,Ionuț Radu,ROU,GK,Bournemouth,eng Premier League,26-225,1997,2.0,3.50,0.00,0.00,1.50,0.00,1.45,0.27,-2.05,-2.04,2.50,7.50,33.3,28.5,5.00,19.3,26.9,5.50,36.4,29.2,9.50,1.00,10.5,0.00,0.00,9.6,https://fbref.com/en/players/67f649be/Ionut-Radu,67f649be,Big 5 combined
113,Boris Radunović,SRB,GK,Cagliari,it Serie A,27-227,1996,7.0,1.71,0.00,0.00,0.14,0.14,1.44,0.38,-0.13,-0.13,5.86,13.0,45.1,22.3,4.43,35.9,37.0,9.43,53.0,43.8,14.0,0.86,6.1,0.57,0.57,11.2,https://fbref.com/en/players/0dfce079/Boris-Radunovic,0dfce079,Big 5 combined
114,Predrag Rajković,SRB,GK,Mallorca,es La Liga,28-069,1995,19.0,1.21,0.21,0.05,0.11,0.00,1.35,0.29,0.14,+0.14,9.21,22.4,41.2,24.3,2.37,64.2,46.2,9.32,72.9,54.2,15.0,1.16,7.7,0.63,0.63,12.0,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,58ad9383,Big 5 combined
115,Aaron Ramsdale,ENG,GK,Arsenal,eng Premier League,25-239,1998,5.0,0.80,0.00,0.00,0.20,0.00,0.46,0.23,-0.34,-0.34,2.60,9.00,28.9,26.6,5.00,26.3,29.5,3.60,55.6,43.3,7.00,0.60,8.6,1.80,1.80,18.3,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,466fb2c5,Big 5 combined
116,Federico Ravaglia,ITA,GK,Bologna,it Serie A,24-058,1999,2.0,0.50,0.00,0.50,0.00,0.00,0.65,0.32,0.15,+0.13,0.50,3.50,14.3,25.5,4.00,13.7,24.2,3.00,0.0,17.3,11.0,0.00,0.0,1.50,1.50,28.7,https://fbref.com/en/players/6662d731/Federico-Ravaglia,6662d731,Big 5 combined
117,David Raya,ESP,GK,Arsenal,eng Premier League,28-115,1995,15.0,1.07,0.07,0.00,0.27,0.00,0.87,0.30,-0.20,-0.20,3.93,10.9,36.0,30.5,5.53,29.7,30.0,3.33,56.0,44.7,8.47,1.40,16.5,1.73,1.73,18.7,https://fbref.com/en/players/98ea5115/David-Raya,98ea5115,Big 5 combined
118,Álex Remiro,ESP,GK,Real Sociedad,es La Liga,28-290,1995,18.4,0.98,0.11,0.00,0.05,0.05,1.08,0.25,0.16,+0.16,5.87,13.6,43.2,32.3,3.48,31.1,32.1,4.95,71.4,53.9,12.7,0.71,5.6,1.74,1.74,16.9,https://fbref.com/en/players/374ee424/Alex-Remiro,374ee424,Big 5 combined
119,Guillaume Restes,FRA,GK,Toulouse,fr Ligue 1,18-303,2005,17.0,1.35,0.24,0.00,0.18,0.00,1.42,0.28,0.06,+0.06,2.82,9.24,30.6,22.7,2.65,29.0,29.8,5.35,49.5,39.2,15.9,0.12,0.7,0.59,0.59,10.9,https://fbref.com/en/players/6b91b999/Guillaume-Restes,6b91b999,Big 5 combined
120,Manuel Riemann,GER,GK,Bochum,de Bundesliga,35-121,1988,16.0,2.06,0.19,0.00,0.25,0.13,1.82,0.27,-0.11,-0.11,11.6,30.4,38.1,45.5,2.56,59.6,41.7,6.13,53.1,42.6,14.3,1.00,7.0,3.13,3.13,20.1,https://fbref.com/en/players/9f941969/Manuel-Riemann,9f941969,Big 5 combined
121,Rémy Riou,FRA,GK,Lyon,fr Ligue 1,36-155,1987,3.0,2.00,0.00,0.33,0.00,0.00,1.57,0.33,-0.43,-0.44,1.67,8.00,20.8,27.0,4.33,16.0,26.1,7.67,47.8,39.0,10.7,1.00,9.4,1.00,1.00,13.4,https://fbref.com/en/players/7f41ee30/Remy-Riou,7f41ee30,Big 5 combined
122,Frederik Rønnow,DEN,GK,Union Berlin,de Bundesliga,31-157,1992,15.0,2.07,0.20,0.07,0.33,0.07,1.76,0.29,-0.24,-0.24,4.40,14.9,29.5,31.3,4.60,35.2,33.2,6.40,61.5,47.3,14.7,1.33,9.1,1.60,1.60,14.8,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,a70b8345,Big 5 combined
123,José Sá,POR,GK,Wolves,eng Premier League,30-356,1993,17.2,1.63,0.29,0.06,0.00,0.06,1.76,0.32,0.19,+0.19,2.67,12.5,21.4,24.9,5.87,33.9,34.5,7.27,56.0,43.2,15.9,2.03,12.8,0.70,0.70,11.4,https://fbref.com/en/players/903b6e8b/Jose-Sa,903b6e8b,Big 5 combined
124,Brice Samba,FRA,GK,Lens,fr Ligue 1,29-258,1994,17.0,1.00,0.24,0.00,0.35,0.00,1.25,0.27,0.25,+0.25,4.71,10.4,45.5,25.7,4.35,33.9,32.3,4.82,34.1,31.1,11.5,1.06,9.2,0.76,0.76,13.8,https://fbref.com/en/players/60d90c55/Brice-Samba,60d90c55,Big 5 combined
125,Robert Sánchez,ESP,GK,Chelsea,eng Premier League,26-051,1997,15.9,1.57,0.13,0.00,0.19,0.00,1.52,0.28,-0.05,-0.05,3.84,9.25,41.5,32.5,5.47,21.3,28.1,5.72,40.7,33.7,12.7,1.19,9.4,1.70,1.70,15.8,https://fbref.com/en/players/6a713852/Robert-Sanchez,6a713852,Big 5 combined
126,Marcel Schuhen,GER,GK,Darmstadt 98,de Bundesliga,30-360,1993,15.0,2.67,0.07,0.07,0.33,0.00,2.29,0.33,-0.37,-0.37,7.60,19.5,39.0,43.6,5.20,34.9,34.2,8.40,50.8,42.4,14.6,0.73,5.0,1.93,1.93,16.7,https://fbref.com/en/players/5fa2e0cf/Marcel-Schuhen,5fa2e0cf,Big 5 combined
127,Marvin Schwäbe,GER,GK,Köln,de Bundesliga,28-258,1995,16.0,1.75,0.06,0.00,0.19,0.00,2.09,0.39,0.34,+0.34,4.31,10.1,42.9,36.4,3.44,24.2,29.5,4.63,27.0,31.5,12.6,0.31,2.5,0.88,0.88,14.8,https://fbref.com/en/players/87436846/Marvin-Schwabe,87436846,Big 5 combined
128,Simone Scuffet,ITA,GK,Cagliari,it Serie A,27-222,1996,12.0,1.67,0.08,0.00,0.33,0.00,1.51,0.40,-0.16,-0.16,6.17,14.2,43.5,24.1,4.17,36.7,35.2,8.00,66.7,47.3,15.3,0.83,5.5,0.67,0.67,11.7,https://fbref.com/en/players/41bd99ea/Simone-Scuffet,41bd99ea,Big 5 combined
129,Matz Sels,BEL,GK,Strasbourg,fr Ligue 1,31-316,1992,17.0,1.29,0.06,0.00,0.06,0.12,1.02,0.29,-0.16,-0.16,4.88,12.2,39.9,25.9,3.35,39.5,35.4,6.12,32.7,34.0,13.5,0.29,2.2,0.94,0.94,13.8,https://fbref.com/en/players/834b5c4c/Matz-Sels,834b5c4c,Big 5 combined
130,Rui Silva,POR,GK,Betis,es La Liga,29-335,1994,9.5,1.16,0.42,0.00,0.00,0.00,1.47,0.22,0.32,+0.32,5.16,14.9,34.5,30.6,4.53,36.1,33.2,7.47,52.1,41.3,14.0,1.47,10.5,1.05,1.05,12.4,https://fbref.com/en/players/ea83bfa6/Rui-Silva,ea83bfa6,Big 5 combined
131,Marco Silvestri,ITA,GK,Udinese,it Serie A,32-312,1991,17.0,1.65,0.35,0.00,0.12,0.00,1.51,0.29,-0.14,-0.14,3.35,9.88,33.9,20.3,4.00,33.6,32.3,6.18,49.5,42.1,16.6,0.29,1.8,0.41,0.41,13.1,https://fbref.com/en/players/0d422df7/Marco-Silvestri,0d422df7,Big 5 combined
132,Unai Simón,ESP,GK,Athletic Club,es La Liga,26-211,1997,19.0,1.00,0.00,0.00,0.11,0.05,1.22,0.30,0.27,+0.27,6.21,19.7,31.6,29.3,4.26,48.5,39.1,6.79,80.6,59.6,13.1,0.84,6.5,1.74,1.74,17.6,https://fbref.com/en/players/5dcf3e90/Unai-Simon,5dcf3e90,Big 5 combined
133,Antonio Sivera,ESP,GK,Alavés,es La Liga,27-150,1996,19.0,1.32,0.32,0.00,0.05,0.11,1.25,0.25,0.04,+0.04,7.32,18.2,40.2,23.3,3.16,57.8,43.0,8.32,57.0,42.0,13.7,0.63,4.6,1.11,1.11,15.7,https://fbref.com/en/players/9970da54/Antonio-Sivera,9970da54,Big 5 combined
134,Łukasz Skorupski,POL,GK,Bologna,it Serie A,32-248,1991,17.0,0.88,0.18,0.00,0.12,0.00,0.87,0.20,-0.01,-0.01,3.94,10.5,37.4,27.5,4.06,29.1,30.5,6.06,41.7,39.3,14.6,0.47,3.2,0.18,0.18,8.8,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,ab4449d6,Big 5 combined
135,Yann Sommer,SUI,GK,Inter,it Serie A,35-022,1988,19.0,0.47,0.05,0.00,0.05,0.00,0.65,0.21,0.17,+0.17,3.53,7.32,48.2,29.3,3.89,20.1,27.1,5.63,25.2,28.5,12.0,0.53,4.4,0.58,0.58,12.4,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,Big 5 combined
136,David Soria,ESP,GK,Getafe,es La Liga,30-279,1993,19.0,1.32,0.16,0.00,0.16,0.00,1.48,0.30,0.16,+0.16,10.4,25.9,40.0,26.4,3.00,70.5,46.8,8.37,87.4,58.7,12.1,0.53,4.3,1.58,1.58,17.0,https://fbref.com/en/players/8f8c6934/David-Soria,8f8c6934,Big 5 combined
137,Alessandro Sorrentino,ITA,GK,Monza,it Serie A,21-280,2002,1.6,1.88,1.25,0.00,0.00,0.00,1.81,0.13,-0.06,-0.07,1.88,12.5,15.0,27.5,7.50,31.8,31.0,5.00,75.0,51.8,13.8,0.63,4.5,0.00,0.00,9.0,https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino,8ef2452a,Big 5 combined
138,Marco Sportiello,ITA,GK,Milan,it Serie A,31-243,1992,2.0,0.50,0.00,0.00,0.00,0.00,0.65,0.16,0.15,+0.14,2.50,7.50,33.3,34.5,6.50,21.7,28.0,1.00,0.0,28.5,14.0,1.00,7.1,1.00,1.00,13.2,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,Big 5 combined
139,Jason Steele,ENG,GK,Brighton,eng Premier League,33-143,1990,11.0,1.73,0.27,0.00,0.36,0.18,1.27,0.28,-0.27,-0.28,3.09,7.73,40.0,36.5,3.64,19.2,26.2,3.36,21.6,22.4,10.4,0.55,5.3,1.64,1.64,18.0,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16,Big 5 combined
140,Thomas Strakosha,ALB,GK,Brentford,eng Premier League,28-295,1995,1.5,1.33,0.00,0.00,0.00,0.00,1.00,0.20,-0.33,-0.30,8.00,20.0,40.0,37.3,3.33,41.1,35.8,10.0,46.7,39.9,24.7,1.33,5.4,0.67,0.67,10.0,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,339fe0e8,Big 5 combined
141,Wojciech Szczęsny,POL,GK,Juventus,it Serie A,33-265,1990,17.0,0.65,0.00,0.00,0.06,0.06,0.59,0.23,0.00,0.00,5.18,11.9,43.6,25.7,3.47,36.2,34.2,4.82,53.7,46.2,16.8,1.06,6.3,0.71,0.71,11.4,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,Big 5 combined
142,Arnau Tenas,ESP,GK,Paris S-G,fr Ligue 1,22-223,2001,2.9,0.69,0.00,0.00,0.34,0.00,0.79,0.18,0.10,+0.12,1.03,5.86,17.6,29.0,4.14,15.5,26.8,7.24,19.0,28.3,14.5,0.34,2.4,1.03,1.04,15.1,https://fbref.com/en/players/30670b0e/Arnau-Tenas,30670b0e,Big 5 combined
143,Marc-André ter Stegen,GER,GK,Barcelona,es La Liga,31-253,1992,13.0,1.00,0.00,0.00,0.08,0.00,1.09,0.32,0.09,+0.09,3.15,4.92,64.1,27.8,3.46,13.5,25.5,5.08,22.7,29.4,11.8,0.62,5.2,1.31,1.31,15.8,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,6f51e382,Big 5 combined
144,Pietro Terracciano,ITA,GK,Fiorentina,it Serie A,33-306,1990,17.0,0.76,0.24,0.00,0.06,0.00,1.14,0.25,0.38,+0.37,5.35,12.1,44.2,32.5,3.18,29.9,33.0,4.82,50.0,40.0,9.24,0.29,3.2,0.71,0.71,14.1,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,Big 5 combined
145,James Trafford,ENG,GK,Burnley,eng Premier League,21-090,2002,20.0,2.05,0.15,0.00,0.30,0.10,2.06,0.32,0.11,+0.12,4.95,18.8,26.3,46.3,6.30,29.4,29.4,7.00,74.3,52.4,13.9,0.95,6.8,1.60,1.60,16.0,https://fbref.com/en/players/259fea27/James-Trafford,259fea27,Big 5 combined
