Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
615,Danilo,BRA,DF,Juventus,it Serie A,32-290,1991,26,24,2182,24.2,0.04,0.04,0.08,0.04,0.00,0.00,0.25,0.00,0.05,0.05,0.03,0.09,0.62,6.20,0.74,0.04,0.04,0.08,0.04,0.08,0.05,0.03,0.09,0.05,0.09,https://fbref.com/en/players/94b2001f/Danilo,94b2001f,Big 5 combined
616,Arnaut Danjuma,NED,"MF,FW",Everton,eng Premier League,27-090,1997,14,5,595,6.6,0.15,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.39,0.39,0.17,0.56,3.64,1.36,6.67,0.15,0.00,0.15,0.15,0.15,0.40,0.17,0.57,0.40,0.57,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma,f08490a6,Big 5 combined
617,Jayden Danns,ENG,FW,Liverpool,eng Premier League,18-105,2006,2,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/003cf4d1/Jayden-Danns,003cf4d1,Big 5 combined
618,Kevin Danso,AUT,DF,Lens,fr Ligue 1,25-224,1998,29,29,2610,29.0,0.03,0.00,0.03,0.03,0.00,0.00,0.21,0.00,0.06,0.06,0.01,0.07,0.93,4.55,0.10,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,https://fbref.com/en/players/6e33125f/Kevin-Danso,6e33125f,Big 5 combined
619,Dante,BRA,DF,Nice,fr Ligue 1,40-195,1983,30,30,2663,29.6,0.03,0.03,0.07,0.03,0.00,0.00,0.17,0.03,0.03,0.03,0.03,0.06,0.41,5.91,0.20,0.03,0.03,0.07,0.03,0.07,0.03,0.03,0.06,0.03,0.06,https://fbref.com/en/players/fd2bc67d/Dante,fd2bc67d,Big 5 combined
620,Raimane Daou,COM,"DF,MF",Marseille,fr Ligue 1,19-162,2004,1,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a2c9af28/Raimane-Daou,a2c9af28,Big 5 combined
621,Mohammed Daramy,DEN,"FW,MF",Reims,fr Ligue 1,22-114,2002,25,19,1648,18.3,0.22,0.27,0.49,0.16,0.05,0.05,0.00,0.00,0.25,0.21,0.13,0.34,3.93,3.77,8.85,0.22,0.27,0.49,0.16,0.44,0.25,0.13,0.38,0.21,0.34,https://fbref.com/en/players/06a1d642/Mohammed-Daramy,06a1d642,Big 5 combined
622,Sergi Darder,ESP,MF,Mallorca,es La Liga,30-130,1993,31,17,1800,20.0,0.00,0.25,0.25,0.00,0.00,0.00,0.20,0.00,0.08,0.08,0.28,0.35,2.25,5.45,3.15,0.00,0.25,0.25,0.00,0.25,0.08,0.28,0.36,0.08,0.36,https://fbref.com/en/players/070a3904/Sergi-Darder,070a3904,Big 5 combined
623,Achraf Dari,MAR,"DF,FW",Brest,fr Ligue 1,24-360,1999,4,1,121,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/en/players/5069b796/Achraf-Dari,5069b796,Big 5 combined
624,Matteo Darmian,ITA,DF,Inter,it Serie A,34-150,1989,31,25,2296,25.5,0.08,0.04,0.12,0.08,0.00,0.00,0.08,0.00,0.05,0.05,0.07,0.11,0.63,2.71,2.90,0.08,0.04,0.12,0.08,0.12,0.05,0.07,0.11,0.05,0.11,https://fbref.com/en/players/96e0490d/Matteo-Darmian,96e0490d,Big 5 combined
625,Lukas Daschner,GER,"MF,FW",Bochum,de Bundesliga,25-212,1998,18,3,494,5.5,0.18,0.18,0.36,0.18,0.00,0.00,0.36,0.00,0.42,0.42,0.16,0.58,1.82,3.09,6.36,0.18,0.18,0.36,0.18,0.36,0.42,0.16,0.58,0.42,0.58,https://fbref.com/en/players/93a8c4f9/Lukas-Daschner,93a8c4f9,Big 5 combined
626,Josh Dasilva,ENG,"DF,FW",Brentford,eng Premier League,25-190,1998,3,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,6.67,6.67,16.7,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.72,0.00,0.72,https://fbref.com/en/players/60344e4f/Josh-Dasilva,60344e4f,Big 5 combined
627,David Datro Fofana,CIV,FW,Burnley,eng Premier League,21-130,2002,13,10,869,9.7,0.41,0.10,0.52,0.41,0.00,0.00,0.10,0.00,0.46,0.46,0.19,0.65,2.16,1.44,3.81,0.41,0.10,0.52,0.41,0.52,0.47,0.19,0.66,0.47,0.66,https://fbref.com/en/players/e82900ef/David-Datro-Fofana,e82900ef,Big 5 combined
628,David Datro Fofana,CIV,"FW,MF",Union Berlin,de Bundesliga,21-130,2002,12,8,682,7.6,0.13,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.37,0.37,0.04,0.41,2.63,1.84,8.68,0.13,0.00,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41,https://fbref.com/en/players/e82900ef/David-Datro-Fofana,e82900ef,Big 5 combined
629,Juan David Cabal,COL,DF,Hellas Verona,it Serie A,23-113,2001,19,14,1285,14.3,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.03,0.03,0.03,0.06,1.75,4.69,3.29,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,https://fbref.com/en/players/ef6eef89/Juan-David-Cabal,ef6eef89,Big 5 combined
630,Jonathan David,CAN,FW,Lille,fr Ligue 1,24-107,2000,31,27,2359,26.2,0.65,0.11,0.76,0.57,0.08,0.11,0.15,0.00,0.61,0.52,0.12,0.64,1.76,2.67,7.06,0.65,0.11,0.76,0.57,0.69,0.61,0.12,0.73,0.51,0.64,https://fbref.com/en/players/ce50fd99/Jonathan-David,ce50fd99,Big 5 combined
631,Alphonso Davies,CAN,DF,Bayern Munich,de Bundesliga,23-180,2000,26,21,1795,19.9,0.05,0.20,0.25,0.05,0.00,0.00,0.00,0.00,0.02,0.02,0.14,0.16,5.38,5.43,6.18,0.05,0.20,0.25,0.05,0.25,0.02,0.13,0.15,0.02,0.15,https://fbref.com/en/players/d781d855/Alphonso-Davies,d781d855,Big 5 combined
632,Ben Davies,WAL,DF,Tottenham,eng Premier League,31-006,1993,17,12,1090,12.1,0.08,0.00,0.08,0.08,0.00,0.00,0.17,0.00,0.19,0.19,0.03,0.22,1.07,5.87,1.65,0.08,0.00,0.08,0.08,0.08,0.19,0.03,0.22,0.19,0.22,https://fbref.com/en/players/44781702/Ben-Davies,44781702,Big 5 combined
633,Tom Davies,ENG,MF,Sheffield Utd,eng Premier League,25-305,1998,9,2,221,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.16,0.16,0.04,0.16,1.20,3.20,1.20,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17,https://fbref.com/en/players/9228b07c/Tom-Davies,9228b07c,Big 5 combined
634,Keinan Davis,ENG,FW,Udinese,it Serie A,26-077,1998,4,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.20,0.20,0.00,0.20,2.00,2.00,10.0,0.00,0.00,0.00,0.00,0.00,0.21,0.08,0.29,0.21,0.29,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,9deaf2c8,Big 5 combined
635,Paweł Dawidowicz,POL,DF,Hellas Verona,it Serie A,28-346,1995,25,23,1957,21.7,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.02,0.02,0.00,0.03,0.46,3.73,0.23,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,16bb656a,Big 5 combined
636,Craig Dawson,ENG,DF,Wolves,eng Premier League,33-360,1990,25,25,2209,24.5,0.04,0.04,0.08,0.04,0.00,0.00,0.29,0.00,0.06,0.06,0.06,0.12,0.04,2.00,0.16,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,https://fbref.com/en/players/3e9e06cb/Craig-Dawson,3e9e06cb,Big 5 combined
637,Kevin De Bruyne,BEL,MF,Manchester City,eng Premier League,32-307,1991,14,11,911,10.1,0.40,0.79,1.19,0.40,0.00,0.00,0.20,0.00,0.17,0.17,0.83,1.00,3.56,8.81,9.90,0.40,0.79,1.19,0.40,1.19,0.17,0.83,1.00,0.17,1.00,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,e46012d4,Big 5 combined
638,Charles De Ketelaere,BEL,"FW,MF",Atalanta,it Serie A,23-051,2001,30,22,1734,19.3,0.36,0.31,0.67,0.31,0.05,0.05,0.05,0.00,0.27,0.23,0.25,0.49,3.52,5.54,9.22,0.36,0.31,0.67,0.31,0.62,0.27,0.26,0.53,0.23,0.49,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,2ef7c612,Big 5 combined
639,Rodrigo De Paul,ARG,MF,Atlético Madrid,es La Liga,29-342,1994,29,22,1780,19.8,0.10,0.20,0.30,0.10,0.00,0.00,0.30,0.00,0.08,0.08,0.24,0.32,3.03,8.99,2.37,0.10,0.20,0.30,0.10,0.30,0.08,0.24,0.32,0.08,0.32,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,162efffd,Big 5 combined
640,Mattia De Sciglio,ITA,DF,Juventus,it Serie A,31-193,1992,1,1,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ae4e2852/Mattia-De-Sciglio,ae4e2852,Big 5 combined
641,Lorenzo De Silvestri,ITA,DF,Bologna,it Serie A,35-343,1988,14,6,589,6.5,0.31,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,1.23,4.15,1.23,0.31,0.00,0.31,0.31,0.31,0.03,0.00,0.03,0.03,0.03,https://fbref.com/en/players/e74f0e59/Lorenzo-De-Silvestri,e74f0e59,Big 5 combined
642,Thibault De Smet,BEL,DF,Reims,fr Ligue 1,25-330,1998,27,22,1831,20.3,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.05,0.01,0.01,0.04,0.05,1.13,5.07,3.25,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/5fdcb075/Thibault-De-Smet,5fdcb075,Big 5 combined
643,Koni De Winter,BEL,DF,Genoa,it Serie A,21-323,2002,25,22,2020,22.4,0.00,0.04,0.04,0.00,0.00,0.00,0.36,0.04,0.03,0.03,0.04,0.08,0.94,2.50,0.67,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.07,0.03,0.07,https://fbref.com/en/players/f4797849/Koni-De-Winter,f4797849,Big 5 combined
644,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,it Serie A,32-318,1991,19,7,712,7.9,0.13,0.25,0.38,0.13,0.00,0.00,0.00,0.00,0.13,0.13,0.15,0.28,0.89,2.15,4.94,0.13,0.25,0.38,0.13,0.38,0.12,0.15,0.27,0.12,0.27,https://fbref.com/en/players/854ee61a/Gregoire-Defrel,854ee61a,Big 5 combined
645,Alessandro Deiola,ITA,MF,Cagliari,it Serie A,28-273,1995,22,14,1210,13.4,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.10,0.10,0.04,0.13,0.45,3.73,1.12,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,https://fbref.com/en/players/7f267d66/Alessandro-Deiola,7f267d66,Big 5 combined
646,Romain Del Castillo,FRA,FW,Brest,fr Ligue 1,28-032,1996,31,29,2448,27.2,0.29,0.29,0.59,0.18,0.11,0.11,0.15,0.00,0.19,0.11,0.35,0.46,3.68,5.48,10.2,0.29,0.29,0.59,0.18,0.48,0.19,0.35,0.54,0.11,0.46,https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,0be95d34,Big 5 combined
647,Thomas Delaine,FRA,"DF,MF",Strasbourg,fr Ligue 1,32-037,1992,25,22,1889,21.0,0.05,0.05,0.10,0.05,0.00,0.00,0.24,0.00,0.08,0.08,0.17,0.25,2.71,2.33,6.33,0.05,0.05,0.10,0.05,0.10,0.08,0.17,0.25,0.08,0.25,https://fbref.com/en/players/8332db56/Thomas-Delaine,8332db56,Big 5 combined
648,Sacha Delaye,FRA,"FW,MF",Montpellier,fr Ligue 1,22-007,2002,7,0,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.27,0.27,0.09,0.36,1.82,2.73,6.36,0.00,0.00,0.00,0.00,0.00,0.27,0.09,0.36,0.27,0.36,https://fbref.com/en/players/e4448c8c/Sacha-Delaye,e4448c8c,Big 5 combined
649,Hannes Delcroix,BEL,DF,Burnley,eng Premier League,25-062,1999,12,5,589,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.06,0.06,0.03,0.09,0.31,2.77,0.92,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,https://fbref.com/en/players/b737f944/Hannes-Delcroix,b737f944,Big 5 combined
650,Olivier Deman,BEL,DF,Werder Bremen,de Bundesliga,24-024,2000,26,14,1329,14.8,0.14,0.07,0.20,0.14,0.00,0.00,0.34,0.00,0.07,0.07,0.05,0.11,1.69,2.64,3.45,0.14,0.07,0.20,0.14,0.20,0.07,0.05,0.12,0.07,0.12,https://fbref.com/en/players/13210854/Olivier-Deman,13210854,Big 5 combined
651,Karamoko Dembele,SCO,"MF,FW",Brest,fr Ligue 1,21-068,2003,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7304f3b1/Karamoko-Dembele,7304f3b1,Big 5 combined
652,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,fr Ligue 1,26-351,1997,25,17,1477,16.4,0.18,0.49,0.67,0.18,0.00,0.00,0.00,0.00,0.27,0.27,0.39,0.66,9.45,8.05,14.9,0.18,0.49,0.67,0.18,0.67,0.27,0.39,0.66,0.27,0.66,https://fbref.com/en/players/b19db005/Ousmane-Dembele,b19db005,Big 5 combined
653,Jessy Deminguet,FRA,"MF,FW",Strasbourg,fr Ligue 1,26-114,1998,18,9,690,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.04,0.04,0.05,0.09,0.91,3.12,1.69,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,https://fbref.com/en/players/a6138e4a/Jessy-Deminguet,a6138e4a,Big 5 combined
654,Ermedin Demirović,BIH,"FW,MF",Augsburg,de Bundesliga,26-036,1998,30,30,2604,28.9,0.52,0.31,0.83,0.42,0.10,0.14,0.21,0.00,0.43,0.31,0.12,0.44,0.76,1.80,5.05,0.52,0.31,0.83,0.41,0.73,0.42,0.12,0.55,0.32,0.44,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,ed79b7d3,Big 5 combined
655,Diego Demme,GER,MF,Napoli,it Serie A,32-161,1991,2,1,73,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,3.75,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/dc3fa3b5/Diego-Demme,dc3fa3b5,Big 5 combined
656,Sepp van den Berg,NED,DF,Mainz 05,de Bundesliga,22-132,2001,30,28,2569,28.5,0.07,0.00,0.07,0.07,0.00,0.00,0.32,0.00,0.07,0.07,0.01,0.08,0.25,3.05,0.21,0.07,0.00,0.07,0.07,0.07,0.07,0.01,0.08,0.07,0.08,https://fbref.com/en/players/7bf9400b/Sepp-van-den-Berg,7bf9400b,Big 5 combined
657,Leander Dendoncker,BEL,MF,Aston Villa,eng Premier League,29-015,1995,8,1,119,1.3,0.77,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.54,0.54,0.00,0.54,0.00,2.31,1.54,0.76,0.00,0.76,0.76,0.76,0.56,0.00,0.56,0.56,0.56,https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,5a7301ae,Big 5 combined
658,Leander Dendoncker,BEL,MF,Napoli,it Serie A,29-015,1995,3,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,5a7301ae,Big 5 combined
659,Rémy Descamps,FRA,GK,Nantes,fr Ligue 1,27-310,1996,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,Big 5 combined
660,Mikkel Desler,DEN,DF,Toulouse,fr Ligue 1,29-071,1995,21,16,1353,15.0,0.00,0.07,0.07,0.00,0.00,0.00,0.13,0.00,0.07,0.07,0.05,0.11,1.67,4.60,5.27,0.00,0.07,0.07,0.00,0.07,0.07,0.04,0.11,0.06,0.11,https://fbref.com/en/players/1d5c96f8/Mikkel-Desler,1d5c96f8,Big 5 combined
661,Arthur Desmas,FRA,GK,Le Havre,fr Ligue 1,30-023,1994,30,30,2700,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas,e8c5dd4d,Big 5 combined
662,Mattia Destro,ITA,"FW,MF",Empoli,it Serie A,33-041,1991,13,2,297,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.21,0.21,0.09,0.30,0.91,0.91,4.85,0.00,0.00,0.00,0.00,0.00,0.21,0.10,0.31,0.21,0.31,https://fbref.com/en/players/d7d32194/Mattia-Destro,d7d32194,Big 5 combined
663,Samuele Di Benedetto,GER,MF,Stuttgart,de Bundesliga,18-289,2005,1,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,https://fbref.com/en/players/7c254c75/Samuele-Di-Benedetto,7c254c75,Big 5 combined
664,Federico Di Francesco,ITA,"FW,MF",Lecce,it Serie A,29-321,1994,2,0,15,0.2,5.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,5.00,5.00,15.0,6.00,0.00,6.00,6.00,6.00,0.53,0.00,0.53,0.53,0.53,https://fbref.com/en/players/1fca9171/Federico-Di-Francesco,1fca9171,Big 5 combined
665,Michele Di Gregorio,ITA,GK,Monza,it Serie A,26-278,1997,31,31,2692,29.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,Big 5 combined
666,Giovanni Di Lorenzo,ITA,DF,Napoli,it Serie A,30-270,1993,33,33,2970,33.0,0.03,0.18,0.21,0.03,0.00,0.00,0.18,0.00,0.09,0.09,0.14,0.23,2.45,8.33,6.91,0.03,0.18,0.21,0.03,0.21,0.09,0.14,0.23,0.09,0.23,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,230a2fac,Big 5 combined
667,Alessandro Di Pardo,ITA,"DF,MF",Cagliari,it Serie A,24-287,1999,12,1,311,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.06,1.71,2.57,5.14,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,https://fbref.com/en/players/e0ce7038/Alessandro-Di-Pardo,e0ce7038,Big 5 combined
668,Boulaye Dia,SEN,"FW,MF",Salernitana,it Serie A,27-166,1996,17,12,1143,12.7,0.31,0.00,0.31,0.24,0.08,0.08,0.08,0.00,0.31,0.24,0.04,0.28,1.42,1.73,4.49,0.31,0.00,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,244bc2c8,Big 5 combined
669,Moussa Diaby,FRA,"FW,MF",Aston Villa,eng Premier League,24-298,1999,35,22,1926,21.4,0.28,0.33,0.61,0.28,0.00,0.00,0.05,0.00,0.29,0.29,0.27,0.55,3.88,3.04,7.90,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.55,0.28,0.55,https://fbref.com/en/players/aeed5c06/Moussa-Diaby,aeed5c06,Big 5 combined
670,Lamine Diack,SEN,MF,Nantes,fr Ligue 1,23-167,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f4547573/Lamine-Diack,f4547573,Big 5 combined
671,Mouctar Diakhaby,GUI,"DF,MF",Valencia,es La Liga,27-133,1996,14,12,1073,11.9,0.08,0.00,0.08,0.08,0.00,0.00,0.50,0.00,0.06,0.06,0.00,0.07,0.59,2.44,0.08,0.08,0.00,0.08,0.08,0.08,0.06,0.00,0.06,0.06,0.06,https://fbref.com/en/players/d2110326/Mouctar-Diakhaby,d2110326,Big 5 combined
672,Mamadou Diakhon,FRA,"FW,MF",Reims,fr Ligue 1,18-221,2005,10,1,206,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.13,4.35,0.43,6.96,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.11,0.01,0.11,https://fbref.com/en/players/331c5a98/Mamadou-Diakhon,331c5a98,Big 5 combined
673,Bafodé Diakité,FRA,DF,Lille,fr Ligue 1,23-115,2001,18,16,1426,15.8,0.19,0.06,0.25,0.19,0.00,0.00,0.25,0.00,0.09,0.09,0.05,0.14,1.08,5.38,0.70,0.19,0.06,0.25,0.19,0.25,0.09,0.05,0.14,0.09,0.14,https://fbref.com/en/players/1bfb6fef/Bafode-Diakite,1bfb6fef,Big 5 combined
674,Ibrahim Diakité,GUI,DF,Reims,fr Ligue 1,20-182,2003,5,1,109,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,5.83,5.83,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,https://fbref.com/en/players/d8c19a60/Ibrahim-Diakite,d8c19a60,Big 5 combined
675,Moussa Diakité,MLI,MF,Cádiz,es La Liga,20-178,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d925b04e/Moussa-Diakite,d925b04e,Big 5 combined
676,Oumar Diakité,CIV,FW,Reims,fr Ligue 1,20-132,2003,25,15,1364,15.2,0.33,0.07,0.39,0.33,0.00,0.07,0.20,0.00,0.44,0.39,0.08,0.47,1.51,1.64,6.12,0.33,0.07,0.40,0.33,0.40,0.44,0.08,0.53,0.39,0.47,https://fbref.com/en/players/44435c8f/Oumar-Diakite,44435c8f,Big 5 combined
677,Amad Diallo,CIV,FW,Manchester Utd,eng Premier League,21-294,2002,5,0,155,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.12,0.29,2.94,2.94,10.6,0.00,0.00,0.00,0.00,0.00,0.16,0.14,0.30,0.16,0.30,https://fbref.com/en/players/9dc96f10/Amad-Diallo,9dc96f10,Big 5 combined
678,Amadou Diallo,ENG,MF,Newcastle Utd,eng Premier League,21-075,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e31708b2/Amadou-Diallo,e31708b2,Big 5 combined
679,Assane Diao,ESP,FW,Betis,es La Liga,18-236,2005,18,13,1048,11.6,0.17,0.00,0.17,0.17,0.00,0.00,0.34,0.00,0.22,0.22,0.06,0.28,2.84,1.72,8.71,0.17,0.00,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,https://fbref.com/en/players/8ae7d0ec/Assane-Diao,8ae7d0ec,Big 5 combined
680,Habib Diarra,SEN,"MF,FW",Strasbourg,fr Ligue 1,20-118,2004,29,26,2147,23.9,0.08,0.04,0.13,0.04,0.04,0.04,0.13,0.00,0.14,0.10,0.05,0.15,2.22,3.97,3.05,0.08,0.04,0.13,0.04,0.08,0.14,0.05,0.19,0.10,0.16,https://fbref.com/en/players/6d0fe035/Habib-Diarra,6d0fe035,Big 5 combined
681,Moussa Diarra,MLI,DF,Toulouse,fr Ligue 1,23-172,2000,20,13,1238,13.8,0.07,0.07,0.14,0.07,0.00,0.00,0.29,0.00,0.04,0.04,0.05,0.08,1.16,4.20,0.58,0.07,0.07,0.15,0.07,0.15,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/698f11e3/Moussa-Diarra,698f11e3,Big 5 combined
682,Rúben Dias,POR,DF,Manchester City,eng Premier League,26-352,1997,27,25,2289,25.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.06,1.34,6.54,0.59,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,https://fbref.com/en/players/31c69ef1/Ruben-Dias,31c69ef1,Big 5 combined
683,Krépin Diatta,SEN,"DF,FW",Monaco,fr Ligue 1,25-065,1999,23,9,969,10.8,0.00,0.09,0.09,0.00,0.00,0.00,0.19,0.00,0.05,0.05,0.12,0.17,3.24,5.93,6.94,0.00,0.09,0.09,0.00,0.09,0.05,0.12,0.17,0.05,0.17,https://fbref.com/en/players/8104e41e/Krepin-Diatta,8104e41e,Big 5 combined
684,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-313,1993,27,27,2430,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined
