Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
428,Lucas Chevalier,FRA,GK,Lille,fr Ligue 1,22-063,2001,17.0,27.6,36.4,76.1,620.7,396.8,8.06,8.18,98.6,13.8,13.9,99.6,5.53,13.9,39.8,0.00,0.01,0.00,-0.01,0.06,0.24,0.00,0.00,0.00,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Big 5 combined
429,Fabio Chiarodia,ITA,"DF,MF",M'Gladbach,de Bundesliga,18-217,2005,0.7,32.9,44.3,74.2,555.7,275.7,15.7,20.0,78.6,14.3,17.1,83.3,2.86,7.14,40.0,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,2.86,https://fbref.com/en/players/48780156/Fabio-Chiarodia,48780156,Big 5 combined
430,Federico Chiesa,ITA,FW,Juventus,it Serie A,26-075,1997,12.5,19.0,27.2,69.7,291.1,96.9,10.5,13.3,78.9,6.00,8.08,74.3,1.60,3.28,48.8,0.08,0.17,0.21,-0.09,1.92,1.68,1.76,0.56,2.80,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,b0f7e36c,Big 5 combined
431,Ben Chilwell,ENG,"DF,MF",Chelsea,eng Premier League,27-018,1996,3.7,39.2,53.2,73.6,576.5,173.2,21.9,26.2,83.5,11.9,14.3,83.0,3.24,6.76,48.0,0.27,0.49,0.38,-0.22,2.43,2.43,0.54,0.54,2.70,https://fbref.com/en/players/d2424d1b/Ben-Chilwell,d2424d1b,Big 5 combined
432,Pedro Chirivella,ESP,MF,Nantes,fr Ligue 1,26-230,1997,15.6,60.6,69.1,87.7,1020.6,286.6,27.9,29.8,93.5,25.2,27.1,92.9,5.13,8.46,60.6,0.00,0.02,0.10,-0.02,0.38,6.67,0.64,0.13,7.05,https://fbref.com/en/players/68a26d51/Pedro-Chirivella,68a26d51,Big 5 combined
433,Tahith Chong,NED,MF,Luton Town,eng Premier League,24-035,1999,8.1,17.9,22.6,79.2,326.5,79.5,7.41,9.01,82.2,7.28,8.64,84.3,2.35,3.33,70.4,0.00,0.00,0.06,0.00,0.25,1.73,0.99,0.74,3.95,https://fbref.com/en/players/2696b6a9/Tahith-Chong,2696b6a9,Big 5 combined
434,Joris Chotard,FRA,MF,Montpellier,fr Ligue 1,22-106,2001,15.6,30.8,39.6,77.8,581.3,223.9,11.8,14.3,82.5,13.7,16.3,83.9,4.17,6.22,67.0,0.13,0.07,0.09,0.06,0.45,3.33,0.71,0.13,3.59,https://fbref.com/en/players/7909ffa4/Joris-Chotard,7909ffa4,Big 5 combined
435,Andreas Christensen,DEN,DF,Barcelona,es La Liga,27-273,1996,12.1,80.0,83.4,95.9,1393.1,527.3,34.5,35.5,97.2,39.7,40.2,98.6,4.96,6.03,82.2,0.08,0.05,0.02,0.03,0.33,5.70,0.00,0.00,6.12,https://fbref.com/en/players/1cb49278/Andreas-Christensen,1cb49278,Big 5 combined
436,Oliver Christensen,DEN,GK,Fiorentina,it Serie A,24-292,1999,2.0,33.0,43.0,76.7,964.0,664.5,4.00,4.00,100.0,14.0,15.0,93.3,14.5,23.5,61.7,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,Big 5 combined
437,Ryan Christie,SCO,MF,Bournemouth,eng Premier League,28-320,1995,16.5,28.7,37.1,77.3,537.3,134.8,12.2,13.3,91.8,11.8,14.6,80.9,4.06,7.03,57.8,0.12,0.18,0.14,-0.05,1.27,2.97,1.03,0.18,4.06,https://fbref.com/en/players/26ce2263/Ryan-Christie,26ce2263,Big 5 combined
438,Carney Chukwuemeka,ENG,MF,Chelsea,eng Premier League,20-080,2003,1.4,38.6,44.3,87.1,487.9,50.7,28.6,31.4,90.9,5.71,7.14,80.0,2.86,2.86,100.0,0.00,0.07,0.14,-0.07,0.71,2.14,1.43,0.00,2.86,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka,b2f9c73e,Big 5 combined
439,Samuel Chukwueze,NGA,FW,Milan,it Serie A,24-231,1999,6.1,27.9,35.4,78.7,445.9,90.3,14.3,17.0,83.7,10.8,13.1,82.5,1.64,2.79,58.8,0.16,0.07,0.18,0.10,0.66,1.48,1.64,0.00,3.77,https://fbref.com/en/players/b8a642fc/Samuel-Chukwueze,b8a642fc,Big 5 combined
440,Víctor Chust,ESP,DF,Cádiz,es La Liga,23-309,2000,4.0,29.8,40.0,74.4,693.5,262.5,9.50,11.5,82.6,13.5,15.5,87.1,6.75,12.0,56.3,0.00,0.00,0.03,0.00,0.25,3.25,0.50,0.00,3.25,https://fbref.com/en/players/ec1a731e/Victor-Chust,ec1a731e,Big 5 combined
441,Pathé Ciss,SEN,MF,Rayo Vallecano,es La Liga,29-298,1994,11.2,36.2,45.1,80.2,686.8,197.7,15.0,18.2,82.4,16.4,18.8,87.6,4.20,5.89,71.2,0.00,0.04,0.03,-0.04,0.63,4.20,0.27,0.00,4.11,https://fbref.com/en/players/9a0408b6/Pathe-Ciss,9a0408b6,Big 5 combined
442,Ibrahim Cissoko,NED,"FW,MF",Toulouse,fr Ligue 1,20-288,2003,2.3,31.3,40.4,77.4,473.9,123.0,19.1,20.9,91.7,7.83,12.6,62.1,2.61,3.48,75.0,0.00,0.09,0.17,-0.09,1.74,3.04,2.61,1.74,4.35,https://fbref.com/en/players/abddf25d/Ibrahim-Cissoko,abddf25d,Big 5 combined
443,Giorgio Cittadini,ITA,DF,Monza,it Serie A,21-265,2002,0.2,25.0,30.0,83.3,470.0,195.0,5.00,10.0,50.0,15.0,15.0,100.0,5.00,5.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,https://fbref.com/en/players/e4ba67f2/Giorgio-Cittadini,e4ba67f2,Big 5 combined
444,Patrick Ciurria,ITA,"DF,MF",Monza,it Serie A,28-333,1995,14.8,38.0,48.2,79.0,614.4,195.3,19.1,21.6,88.7,15.5,19.7,78.4,2.43,4.12,59.0,0.07,0.18,0.14,-0.11,1.96,2.77,1.69,0.61,4.26,https://fbref.com/en/players/5de3866c/Patrick-Ciurria,5de3866c,Big 5 combined
445,Jordan Clark,ENG,"MF,DF",Luton Town,eng Premier League,30-108,1993,0.9,31.1,43.3,71.8,521.1,163.3,12.2,15.6,78.6,13.3,17.8,75.0,2.22,5.56,40.0,0.00,0.00,0.11,0.00,1.11,1.11,2.22,0.00,5.56,https://fbref.com/en/players/7c5fa6cf/Jordan-Clark,7c5fa6cf,Big 5 combined
446,Alexis Claude-Maurice,FRA,MF,Nice,fr Ligue 1,25-216,1998,1.2,32.5,39.2,83.0,461.7,65.0,19.2,22.5,85.2,11.7,13.3,87.5,0.83,0.83,100.0,0.00,0.08,0.08,-0.08,0.83,0.83,0.83,0.83,0.00,https://fbref.com/en/players/741418c3/Alexis-Claude-Maurice,741418c3,Big 5 combined
447,Jonathan Clauss,FRA,DF,Marseille,fr Ligue 1,31-105,1992,13.9,51.2,68.4,74.9,868.8,328.3,25.5,29.4,86.6,20.4,26.3,77.8,4.17,9.21,45.3,0.14,0.19,0.24,-0.04,1.87,4.39,2.09,0.72,6.12,https://fbref.com/en/players/5219ab4a/Jonathan-Clauss,5219ab4a,Big 5 combined
448,Silvi Clúa,ESP,MF,Girona,es La Liga,18-344,2005,0.0,5,5,100.0,85,41,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,https://fbref.com/en/players/b793dea2/Silvi-Clua,b793dea2,Big 5 combined
449,Nathaniel Clyne,ENG,DF,Crystal Palace,eng Premier League,32-278,1991,7.1,33.5,41.8,80.1,511.8,214.6,18.6,20.1,92.3,12.0,14.4,83.3,2.39,3.94,60.7,0.00,0.00,0.01,0.00,0.00,2.82,0.28,0.14,2.54,https://fbref.com/en/players/0442183b/Nathaniel-Clyne,0442183b,Big 5 combined
450,Marcus Coco,FRA,DF,Nantes,fr Ligue 1,27-198,1996,8.7,31.7,39.7,80.0,504.3,165.3,14.8,16.8,88.4,13.1,15.7,83.2,1.95,4.71,41.5,0.00,0.09,0.07,-0.09,0.69,2.30,1.03,0.46,3.10,https://fbref.com/en/players/3010aefb/Marcus-Coco,3010aefb,Big 5 combined
451,Saúl Coco,EQG,DF,Las Palmas,es La Liga,24-333,1999,13.4,46.0,52.0,88.4,756.4,327.5,21.9,23.1,94.5,21.8,23.7,91.8,1.87,3.81,49.0,0.00,0.00,0.01,0.00,0.07,1.57,0.00,0.00,2.91,https://fbref.com/en/players/d0ee1652/Saul-Coco,d0ee1652,Big 5 combined
452,Séamus Coleman,IRL,DF,Everton,eng Premier League,35-089,1988,1.0,31.0,42.0,73.8,517.0,267.0,17.0,20.0,85.0,11.0,14.0,78.6,3.00,8.00,37.5,0.00,0.00,0.10,0.00,0.00,5.00,1.00,0.00,9.00,https://fbref.com/en/players/0420d84f/Seamus-Coleman,0420d84f,Big 5 combined
453,Maxime Colin,FRA,DF,Metz,fr Ligue 1,32-054,1991,8.1,34.3,47.8,71.8,627.0,315.1,14.1,17.2,82.0,15.8,20.5,77.1,3.83,8.52,44.9,0.00,0.00,0.04,0.00,0.25,3.21,0.62,0.37,3.70,https://fbref.com/en/players/2f71c116/Maxime-Colin,2f71c116,Big 5 combined
454,Nathan Collins,IRL,DF,Brentford,eng Premier League,22-253,2001,13.3,55.6,65.9,84.4,1032.3,356.2,19.1,21.4,89.1,31.5,35.0,90.1,4.29,7.74,55.3,0.08,0.08,0.05,0.00,0.23,3.01,0.15,0.00,3.91,https://fbref.com/en/players/a8c19eb8/Nathan-Collins,a8c19eb8,Big 5 combined
455,Lorenzo Colombo,ITA,FW,Monza,it Serie A,21-306,2002,12.2,11.9,17.0,70.0,171.1,37.8,6.89,9.34,73.7,3.11,4.10,76.0,0.90,1.31,68.8,0.08,0.05,0.03,0.03,0.57,0.49,0.25,0.00,1.64,https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,04df29a5,Big 5 combined
456,Andrea Colpani,ITA,"MF,FW",Monza,it Serie A,24-242,1999,14.8,27.2,35.9,75.6,467.3,119.3,12.8,14.7,87.6,10.8,13.5,80.0,2.77,5.47,50.6,0.07,0.15,0.16,-0.08,1.76,1.82,1.69,0.20,4.93,https://fbref.com/en/players/6499048c/Andrea-Colpani,6499048c,Big 5 combined
457,Levi Colwill,ENG,DF,Chelsea,eng Premier League,20-316,2003,16.8,47.6,57.0,83.4,795.1,275.0,22.4,24.6,90.8,21.8,24.3,90.0,2.56,5.89,43.4,0.06,0.07,0.02,-0.01,0.36,3.75,0.24,0.00,3.39,https://fbref.com/en/players/700783e7/Levi-Colwill,700783e7,Big 5 combined
458,Kingsley Coman,FRA,FW,Bayern Munich,de Bundesliga,27-209,1996,9.3,38.1,47.1,80.8,598.4,114.5,19.9,23.4,84.9,15.3,17.0,89.9,1.94,3.44,56.3,0.32,0.39,0.40,-0.06,2.58,1.18,2.80,0.75,4.62,https://fbref.com/en/players/042e8a49/Kingsley-Coman,042e8a49,Big 5 combined
459,Eray Cömert,SUI,DF,Nantes,fr Ligue 1,25-338,1998,13.3,47.3,52.5,90.1,946.5,309.8,16.0,16.8,95.5,24.1,25.0,96.4,6.24,9.32,66.9,0.00,0.01,0.02,-0.01,0.08,3.16,0.23,0.08,2.93,https://fbref.com/en/players/15937e17/Eray-Comert,15937e17,Big 5 combined
460,Santi Comesaña,ESP,MF,Villarreal,es La Liga,27-095,1996,5.3,46.2,51.5,89.7,728.3,176.4,23.6,25.8,91.2,18.3,20.0,91.5,2.45,3.21,76.5,0.00,0.04,0.08,-0.04,0.38,4.15,0.19,0.00,4.53,https://fbref.com/en/players/5ae499d0/Santi-Comesana,5ae499d0,Big 5 combined
461,Pietro Comuzzo,ITA,"DF,FW",Fiorentina,it Serie A,18-322,2005,0.1,50.0,60.0,83.3,990.0,230.0,10.0,10.0,100.0,40.0,40.0,100.0,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,https://fbref.com/en/players/5e3ecc35/Pietro-Comuzzo,5e3ecc35,Big 5 combined
462,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,36-346,1987,17.0,27.1,37.1,73.0,771.4,536.8,4.35,4.35,100.0,12.1,12.3,98.6,10.3,20.1,51.2,0.00,0.00,0.00,0.00,0.00,0.53,0.06,0.00,0.00,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,8cabdc1e,Big 5 combined
463,Bambasé Conté,GER,"FW,MF",Hoffenheim,de Bundesliga,20-185,2003,0.0,8,10,80.0,98,18,5,5,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,https://fbref.com/en/players/33b38f49/Bambase-Conte,33b38f49,Big 5 combined
464,Nikita Contini Baranovsky,ITA,GK,Napoli,it Serie A,27-232,1996,0.2,20.0,20.0,100.0,330.0,190.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky,e95069bb,Big 5 combined
465,Lewis Cook,ENG,MF,Bournemouth,eng Premier League,26-339,1997,12.1,37.9,48.1,78.9,670.0,210.0,15.6,18.2,85.9,17.7,20.0,88.4,3.55,7.36,48.3,0.08,0.12,0.11,-0.04,1.57,3.64,0.58,0.08,3.97,https://fbref.com/en/players/2afc7272/Lewis-Cook,2afc7272,Big 5 combined
466,Copete,ESP,DF,Mallorca,es La Liga,24-090,1999,6.1,24.1,30.5,79.0,463.4,142.1,9.34,9.84,95.0,11.3,13.3,85.2,2.62,6.23,42.1,0.00,0.02,0.02,-0.02,0.33,1.48,0.49,0.33,2.13,https://fbref.com/en/players/0f26ffd7/Copete,0f26ffd7,Big 5 combined
467,Diego Coppola,ITA,DF,Hellas Verona,it Serie A,20-011,2003,6.1,33.9,44.1,77.0,658.7,237.0,9.84,12.8,76.9,21.1,23.6,89.6,2.62,6.23,42.1,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,1.48,https://fbref.com/en/players/22ae86f9/Diego-Coppola,22ae86f9,Big 5 combined
468,Francis Coquelin,FRA,MF,Villarreal,es La Liga,32-240,1991,0.4,47.5,55.0,86.4,1022.5,235.0,17.5,20.0,87.5,20.0,22.5,88.9,7.50,7.50,100.0,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,https://fbref.com/en/players/a6951bf8/Francis-Coquelin,a6951bf8,Big 5 combined
469,Tommaso Corazza,ITA,DF,Bologna,it Serie A,19-193,2004,1.6,50.6,61.3,82.7,696.3,237.5,30.6,33.1,92.5,15.6,16.9,92.6,1.88,5.00,37.5,0.00,0.00,0.06,0.00,0.00,1.88,1.25,0.63,5.63,https://fbref.com/en/players/c1b9b13c/Tommaso-Corazza,c1b9b13c,Big 5 combined
470,Jeppe Corfitzen,DEN,FW,Lecce,it Serie A,19-010,2004,0.1,20.0,30.0,66.7,330.0,0.00,0.00,0.00,,20.0,30.0,66.7,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3f7e5a98/Jeppe-Corfitzen,3f7e5a98,Big 5 combined
471,Jack Cork,ENG,MF,Burnley,eng Premier League,34-197,1989,0.2,45.0,80.0,56.3,750.0,145.0,20.0,35.0,57.1,20.0,20.0,100.0,5.00,15.0,33.3,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,https://fbref.com/en/players/74e12f1e/Jack-Cork,74e12f1e,Big 5 combined
472,Maxwel Cornet,CIV,MF,West Ham,eng Premier League,27-103,1996,0.0,1,1,100.0,16,11,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/beb391dd/Maxwel-Cornet,beb391dd,Big 5 combined
473,Jesús Corona,MEX,"MF,DF",Sevilla,es La Liga,31-002,1993,0.2,45.0,70.0,64.3,530.0,70.0,30.0,35.0,85.7,15.0,30.0,50.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fb938d24/Jesus-Corona,fb938d24,Big 5 combined
474,Ángel Correa,ARG,"FW,MF",Atlético Madrid,es La Liga,28-305,1995,6.2,28.1,37.6,74.7,376.6,87.1,17.7,21.9,80.9,5.97,7.42,80.4,2.10,3.71,56.5,0.16,0.18,0.24,-0.02,2.26,2.42,1.61,0.16,4.68,https://fbref.com/en/players/01eb744d/Angel-Correa,01eb744d,Big 5 combined
475,Joaquín Correa,ARG,"FW,MF",Marseille,fr Ligue 1,29-148,1994,3.8,28.4,34.7,81.8,453.4,125.3,13.2,16.6,79.4,13.2,13.4,98.0,1.58,2.11,75.0,0.00,0.18,0.13,-0.18,1.05,2.11,2.37,0.00,5.26,https://fbref.com/en/players/45b9b619/Joaquin-Correa,45b9b619,Big 5 combined
476,Thierry Correia,POR,DF,Valencia,es La Liga,24-305,1999,15.3,44.3,58.3,76.0,725.1,294.3,24.1,26.9,89.6,15.6,19.2,81.0,3.86,9.48,40.7,0.13,0.02,0.05,0.11,0.33,3.27,0.92,0.33,3.27,https://fbref.com/en/players/c78b352d/Thierry-Correia,c78b352d,Big 5 combined
477,Oscar Cortés,COL,"FW,MF",Lens,fr Ligue 1,20-036,2003,0.5,36.0,52.0,69.2,434.0,72.0,26.0,38.0,68.4,6.00,8.00,75.0,0.00,2.00,0.0,2.00,1.40,0.20,0.60,2.00,2.00,2.00,2.00,4.00,https://fbref.com/en/players/d2c12fe0/Oscar-Cortes,d2c12fe0,Big 5 combined
478,Danny da Costa,GER,DF,Mainz 05,de Bundesliga,30-179,1993,8.1,33.6,50.4,66.7,580.5,260.0,15.7,19.3,81.4,13.2,20.2,65.2,3.70,7.41,50.0,0.12,0.09,0.12,0.04,0.99,2.84,1.48,0.74,4.69,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa,5ddb8f9f,Big 5 combined
479,David Pereira da Costa,POR,MF,Lens,fr Ligue 1,23-003,2001,3.1,45.8,58.7,78.0,685.8,224.8,21.6,24.2,89.3,16.8,21.6,77.6,2.58,5.81,44.4,0.00,0.06,0.10,-0.06,0.97,3.23,2.26,0.65,5.48,https://fbref.com/en/players/59948ef7/David-Pereira-da-Costa,59948ef7,Big 5 combined
480,Jaume Costa,ESP,DF,Mallorca,es La Liga,35-296,1988,10.6,32.4,45.1,71.8,514.9,239.1,17.5,20.0,87.7,11.6,15.9,72.8,2.45,7.08,34.7,0.00,0.04,0.07,-0.04,0.75,1.98,0.94,0.57,2.64,https://fbref.com/en/players/808d48f3/Jaume-Costa,808d48f3,Big 5 combined
481,Logan Costa,CPV,DF,Toulouse,fr Ligue 1,22-282,2001,16.1,51.5,61.5,83.7,978.3,389.9,18.0,19.7,91.2,27.3,30.8,88.7,5.16,9.07,56.8,0.06,0.02,0.02,0.04,0.12,4.10,0.00,0.00,4.22,https://fbref.com/en/players/bfb2056e/Logan-Costa,bfb2056e,Big 5 combined
482,Samu Costa,POR,MF,Mallorca,es La Liga,23-042,2000,16.6,32.2,42.5,75.8,602.3,169.6,13.9,16.9,82.2,13.9,17.0,81.9,4.04,6.14,65.7,0.06,0.03,0.04,0.03,0.60,3.19,0.48,0.18,3.73,https://fbref.com/en/players/76c2a023/Samu-Costa,76c2a023,Big 5 combined
483,Benoît Costil,FRA,GK,Salernitana,it Serie A,36-189,1987,8.0,18.1,32.9,55.1,560.3,449.8,3.13,3.25,96.2,7.38,7.63,96.7,7.63,21.9,34.9,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,https://fbref.com/en/players/2434f24a/Benoit-Costil,2434f24a,Big 5 combined
484,Vladimír Coufal,CZE,DF,West Ham,eng Premier League,31-139,1992,18.9,33.6,49.0,68.5,544.0,275.8,17.5,19.3,90.9,13.2,18.8,70.4,2.12,7.88,26.8,0.26,0.12,0.08,0.15,1.06,2.91,1.16,0.58,3.86,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,fdf3cb77,Big 5 combined
485,Lassana Coulibaly,MLI,MF,Salernitana,it Serie A,27-273,1996,12.2,27.8,33.1,83.9,426.1,116.8,15.1,16.7,90.2,10.7,12.0,88.4,1.31,2.05,64.0,0.08,0.02,0.02,0.06,0.57,3.36,0.25,0.00,2.95,https://fbref.com/en/players/85a44ecc/Lassana-Coulibaly,85a44ecc,Big 5 combined
486,Mamadou Coulibaly,SEN,DF,Salernitana,it Serie A,24-339,1999,0.0,1,3,33.3,6,1,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/c976160c/Mamadou-Coulibaly,c976160c,Big 5 combined
487,Tanguy Coulibaly,FRA,FW,Montpellier,fr Ligue 1,22-324,2001,0.5,16.0,22.0,72.7,110.0,2.00,14.0,14.0,100.0,0.00,4.00,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,05ba9d7c,Big 5 combined
488,Philippe Coutinho,BRA,"MF,FW",Aston Villa,eng Premier League,31-210,1992,0.3,66.7,80.0,83.3,883.3,210.0,36.7,46.7,78.6,26.7,30.0,88.9,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,13.3,0.00,0.00,16.7,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,0ef89a37,Big 5 combined
489,Yan Couto,BRA,"DF,MF",Girona,es La Liga,21-219,2002,12.2,38.9,50.0,77.7,613.8,145.9,21.7,24.4,88.9,13.9,18.0,77.2,2.54,4.51,56.4,0.41,0.20,0.20,0.20,1.56,2.46,1.64,0.90,3.52,https://fbref.com/en/players/1944818c/Yan-Couto,1944818c,Big 5 combined
490,Nicolas Cozza,FRA,DF,Wolfsburg,de Bundesliga,25-000,1999,2.4,52.9,68.3,77.4,838.8,287.1,28.3,32.1,88.3,21.7,27.9,77.6,2.50,6.25,40.0,0.00,0.04,0.08,-0.04,0.83,6.25,0.83,0.83,5.83,https://fbref.com/en/players/8f325097/Nicolas-Cozza,8f325097,Big 5 combined
491,Alessio Cragno,ITA,GK,Sassuolo,it Serie A,29-194,1994,2.0,20.5,33.0,62.1,552.5,393.5,6.00,6.00,100.0,7.00,7.00,100.0,7.50,20.0,37.5,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,Big 5 combined
492,Aaron Cresswell,ENG,DF,West Ham,eng Premier League,34-024,1989,1.4,57.1,66.4,86.0,986.4,380.0,32.1,36.4,88.2,17.1,22.1,77.4,6.43,6.43,100.0,0.00,0.07,0.14,-0.07,0.71,5.00,0.00,0.00,6.43,https://fbref.com/en/players/4f974391/Aaron-Cresswell,4f974391,Big 5 combined
493,Bryan Cristante,ITA,"MF,DF",Roma,it Serie A,28-311,1995,19.0,46.7,57.3,81.5,843.2,272.8,18.8,21.9,86.1,21.7,24.3,89.4,4.68,7.42,63.1,0.11,0.12,0.09,-0.01,1.00,5.84,1.00,0.11,6.32,https://fbref.com/en/players/16657b95/Bryan-Cristante,16657b95,Big 5 combined
494,Juan Cruz Armada,ESP,DF,Osasuna,es La Liga,31-164,1992,11.2,35.8,47.9,74.7,644.2,285.1,17.2,19.5,88.5,13.7,18.5,73.9,4.64,8.66,53.6,0.09,0.04,0.04,0.05,0.45,3.66,0.71,0.27,4.02,https://fbref.com/en/players/a56da3ba/Juan-Cruz-Armada,a56da3ba,Big 5 combined
495,Juan Cruz,ARG,"FW,MF",Hellas Verona,it Serie A,24-173,1999,0.9,11.1,17.8,62.5,103.3,23.3,11.1,15.6,71.4,0.00,0.00,,0.00,1.11,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,https://fbref.com/en/players/72f5b81f/Juan-Cruz,72f5b81f,Big 5 combined
496,Juan Cruz,ESP,FW,Betis,es La Liga,23-258,2000,0.8,17.5,21.3,82.4,225.0,57.5,15.0,16.3,92.3,2.50,5.00,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,1.25,0.00,3.75,0.00,3.75,https://fbref.com/en/players/cc2dd8a5/Juan-Cruz,cc2dd8a5,Big 5 combined
497,Juan Cuadrado,COL,DF,Inter,it Serie A,35-227,1988,1.7,52.4,62.9,83.2,954.1,224.1,24.7,25.9,95.5,18.2,24.1,75.6,7.06,10.0,70.6,1.18,0.76,0.41,0.41,3.53,2.94,2.35,1.18,3.53,https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,0ab1f153,Big 5 combined
498,Marc Cucurella,ESP,DF,Chelsea,eng Premier League,25-170,1998,7.8,56.4,65.0,86.8,851.2,220.6,30.1,32.9,91.4,22.8,25.0,91.3,2.05,4.23,48.5,0.00,0.03,0.04,-0.03,0.77,3.08,0.26,0.00,3.33,https://fbref.com/en/players/1daec722/Marc-Cucurella,1daec722,Big 5 combined
499,Jorge Cuenca,ESP,DF,Villarreal,es La Liga,24-052,1999,10.9,50.5,56.7,89.0,934.0,337.3,17.9,18.1,99.0,28.8,31.2,92.4,3.30,6.24,52.9,0.00,0.00,0.01,0.00,0.00,2.29,0.00,0.00,3.49,https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,0abc51f2,Big 5 combined
500,Josh Cullen,IRL,MF,Burnley,eng Premier League,27-276,1996,9.4,49.3,57.7,85.4,787.2,168.2,26.5,28.7,92.2,19.5,21.3,91.5,2.45,5.21,46.9,0.11,0.06,0.10,0.04,0.64,3.30,0.85,0.11,4.15,https://fbref.com/en/players/f6d7d690/Josh-Cullen,f6d7d690,Big 5 combined
501,Matheus Cunha,BRA,FW,Wolves,eng Premier League,24-226,1999,18.6,22.7,28.7,79.4,306.4,76.8,14.2,16.4,86.9,6.24,7.90,78.9,1.13,1.99,56.8,0.27,0.15,0.11,0.12,1.13,1.83,1.02,0.05,2.63,https://fbref.com/en/players/dc62b55d/Matheus-Cunha,dc62b55d,Big 5 combined
502,Marvin Cuni,ALB,FW,Frosinone,it Serie A,22-182,2001,5.2,13.3,19.0,69.7,159.8,16.3,7.88,10.0,78.8,3.08,4.62,66.7,0.58,0.77,75.0,0.00,0.04,0.04,-0.04,0.77,0.38,0.19,0.00,1.15,https://fbref.com/en/players/1d45fd81/Marvin-Cuni,1d45fd81,Big 5 combined
503,Eric Curbelo,ESP,DF,Las Palmas,es La Liga,29-359,1994,1.0,51.0,53.0,96.2,785.0,302.0,27.0,27.0,100.0,22.0,24.0,91.7,2.00,2.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,https://fbref.com/en/players/34e39a18/Eric-Curbelo,34e39a18,Big 5 combined
504,Tomáš Čvančara,CZE,FW,M'Gladbach,de Bundesliga,23-148,2000,7.1,13.9,20.3,68.8,175.8,41.5,9.30,12.7,73.3,4.08,5.07,80.6,0.28,0.28,100.0,0.14,0.10,0.10,0.04,0.70,0.70,0.28,0.00,1.41,https://fbref.com/en/players/298c8aa1/Tomas-Cvancara,298c8aa1,Big 5 combined
505,Danilo D'Ambrosio,ITA,DF,Monza,it Serie A,35-121,1988,11.9,53.9,60.3,89.4,932.7,291.5,21.3,22.3,95.5,28.7,30.4,94.5,3.19,6.05,52.8,0.00,0.02,0.03,-0.02,0.34,3.19,0.34,0.08,3.45,https://fbref.com/en/players/44eb9093/Danilo-DAmbrosio,44eb9093,Big 5 combined
