Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
288,Isaac Bernal,ESP,FW,Sevilla,es La Liga,23-348,2000,11.5,,,,,,,,,,,,,,,,,https://fbref.com/en/players/be719093/Isaac-Bernal,be719093,Big 5 combined
289,Bernardo,BRA,DF,Bochum,de Bundesliga,28-352,1995,30.0,1.33,1.33,0.97,0.07,0.00,0.13,0.10,0.07,0.13,0.13,0.07,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/17370b95/Bernardo,17370b95,Big 5 combined
290,Victor Bernth Kristiansen,DEN,DF,Bologna,it Serie A,21-136,2002,22.6,1.81,1.81,1.55,0.04,0.09,0.09,0.04,0.00,0.31,0.31,0.22,0.00,0.00,0.04,0.04,0.00,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,505486d6,Big 5 combined
291,Matúš Bero,SVK,"MF,FW",Bochum,de Bundesliga,28-237,1995,16.8,1.55,1.55,1.13,0.00,0.00,0.18,0.12,0.12,0.12,0.12,0.06,0.00,0.00,0.00,0.06,0.00,https://fbref.com/en/players/b5e0af76/Matus-Bero,b5e0af76,Big 5 combined
292,Luke Berry,ENG,"MF,DF",Luton Town,eng Premier League,31-293,1992,3.5,1.14,1.14,0.57,0.29,0.29,0.00,0.00,0.00,0.29,0.28,0.00,0.00,0.29,0.00,0.00,0.00,https://fbref.com/en/players/2aaadf33/Luke-Berry,2aaadf33,Big 5 combined
293,Dimitry Bertaud,COD,GK,Montpellier,fr Ligue 1,25-329,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,380a15e2,Big 5 combined
294,Jan-Niklas Beste,GER,"FW,MF",Heidenheim,de Bundesliga,25-117,1999,26.0,4.31,4.32,1.46,2.15,0.08,0.27,0.31,0.04,0.69,0.69,0.27,0.31,0.00,0.04,0.08,0.00,https://fbref.com/en/players/57382429/Jan-Niklas-Beste,57382429,Big 5 combined
295,Beto,GNB,FW,Everton,eng Premier League,26-090,1998,10.4,3.08,3.07,1.83,0.00,0.58,0.29,0.19,0.19,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ed5c0319/Beto,ed5c0319,Big 5 combined
296,Beto,GNB,FW,Udinese,it Serie A,26-090,1998,0.8,7.50,7.30,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ed5c0319/Beto,ed5c0319,Big 5 combined
297,Davide Bettella,ITA,MF,Monza,it Serie A,24-023,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,https://fbref.com/en/players/2edcd048/Davide-Bettella,2edcd048,Big 5 combined
298,Sam Beukema,NED,DF,Bologna,it Serie A,25-165,1998,27.1,0.66,0.66,0.59,0.00,0.00,0.07,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/de13cee5/Sam-Beukema,de13cee5,Big 5 combined
299,Jordan Beyer,GER,DF,Burnley,eng Premier League,23-347,2000,13.7,0.73,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9af1f9ff/Jordan-Beyer,9af1f9ff,Big 5 combined
300,Pep Biel,ESP,"MF,FW",Augsburg,de Bundesliga,27-238,1996,3.0,3.33,3.37,2.33,0.67,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1c59240b/Pep-Biel,1c59240b,Big 5 combined
301,Jaka Bijol,SVN,DF,Udinese,it Serie A,25-085,1999,19.2,0.31,0.31,0.26,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6fdac234/Jaka-Bijol,6fdac234,Big 5 combined
302,El Bilal Touré,MLI,FW,Atalanta,it Serie A,22-210,2001,3.0,2.33,2.30,1.67,0.00,0.00,0.33,0.33,0.00,1.00,0.99,0.67,0.00,0.00,0.00,0.33,0.00,https://fbref.com/en/players/47c609d5/El-Bilal-Toure,47c609d5,Big 5 combined
303,Philip Billing,DEN,MF,Bournemouth,eng Premier League,27-324,1996,15.1,2.98,2.98,2.58,0.13,0.07,0.13,0.07,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d328a254/Philip-Billing,d328a254,Big 5 combined
304,Cristiano Biraghi,ITA,DF,Fiorentina,it Serie A,31-242,1992,23.2,2.89,2.89,1.38,1.29,0.13,0.00,0.04,0.04,0.39,0.39,0.09,0.22,0.09,0.00,0.00,0.00,https://fbref.com/en/players/9e1577aa/Cristiano-Biraghi,9e1577aa,Big 5 combined
305,Davide Biraschi,ITA,DF,Genoa,it Serie A,29-303,1994,1.0,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,https://fbref.com/en/players/64cd167d/Davide-Biraschi,64cd167d,Big 5 combined
306,Samuele Birindelli,ITA,DF,Monza,it Serie A,24-286,1999,19.3,1.97,1.97,1.55,0.00,0.05,0.21,0.16,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/204ac005/Samuele-Birindelli,204ac005,Big 5 combined
307,Tom Bischof,GER,"MF,FW",Hoffenheim,de Bundesliga,18-307,2005,1.7,3.53,3.40,1.76,1.18,0.00,0.59,0.00,0.00,0.59,0.57,0.59,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/07d3bfec/Tom-Bischof,07d3bfec,Big 5 combined
308,Yves Bissouma,MLI,MF,Tottenham,eng Premier League,27-244,1996,20.5,1.90,1.91,1.51,0.05,0.15,0.00,0.00,0.20,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6c203af0/Yves-Bissouma,6c203af0,Big 5 combined
309,Leonardo Bittencourt,GER,MF,Werder Bremen,de Bundesliga,30-133,1993,14.8,2.36,2.36,2.16,0.00,0.00,0.14,0.07,0.00,0.14,0.13,0.07,0.00,0.00,0.00,0.07,0.00,https://fbref.com/en/players/dc62fbee/Leonardo-Bittencourt,dc62fbee,Big 5 combined
310,Marco Bizot,NED,GK,Brest,fr Ligue 1,33-051,1991,29.0,0.14,0.14,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,Big 5 combined
311,Antonio Blanco,ESP,MF,Alavés,es La Liga,23-282,2000,24.2,1.61,1.61,1.40,0.00,0.00,0.08,0.12,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/506daeac/Antonio-Blanco,506daeac,Big 5 combined
312,Rubén Blanco,ESP,GK,Marseille,fr Ligue 1,28-280,1995,1.3,0.77,0.74,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,Big 5 combined
313,Hendry Blank,GER,DF,Dortmund,de Bundesliga,19-253,2004,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/76abb354/Hendry-Blank,76abb354,Big 5 combined
314,Ludovic Blas,FRA,"FW,MF",Rennes,fr Ligue 1,26-121,1997,16.9,2.49,2.49,1.60,0.30,0.36,0.24,0.00,0.00,0.24,0.24,0.18,0.00,0.00,0.06,0.00,0.00,https://fbref.com/en/players/6191093d/Ludovic-Blas,6191093d,Big 5 combined
315,Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32-364,1991,20.0,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,Big 5 combined
316,Alexis Blin,FRA,MF,Lecce,it Serie A,27-227,1996,15.4,1.62,1.63,1.36,0.06,0.00,0.06,0.06,0.06,0.19,0.20,0.06,0.00,0.00,0.06,0.06,0.00,https://fbref.com/en/players/c69ef855/Alexis-Blin,c69ef855,Big 5 combined
317,Daley Blind,NED,DF,Girona,es La Liga,34-052,1990,28.0,1.46,1.46,1.25,0.07,0.11,0.00,0.00,0.04,0.18,0.18,0.14,0.00,0.00,0.00,0.00,0.04,https://fbref.com/en/players/691bef82/Daley-Blind,691bef82,Big 5 combined
318,Myron Boadu,NED,FW,Monaco,fr Ligue 1,23-107,2001,0.9,1.11,1.06,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5b479568/Myron-Boadu,5b479568,Big 5 combined
319,Benicio Boaitey,ENG,"DF,FW",Brighton,eng Premier League,20-112,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4c5835e6/Benicio-Boaitey,4c5835e6,Big 5 combined
320,Jérôme Boateng,GER,DF,Salernitana,it Serie A,35-240,1988,2.6,1.15,1.13,0.77,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng,2db2fd7b,Big 5 combined
321,Oscar Bobb,NOR,"FW,MF",Manchester City,eng Premier League,20-293,2003,3.3,6.36,6.45,4.55,0.00,1.21,0.30,0.30,0.00,1.52,1.54,0.61,0.00,0.61,0.00,0.30,0.00,https://fbref.com/en/players/eed2427e/Oscar-Bobb,eed2427e,Big 5 combined
322,Sacha Boey,FRA,DF,Bayern Munich,de Bundesliga,23-230,2000,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6c8ddd52/Sacha-Boey,6c8ddd52,Big 5 combined
323,Jeremie Boga,CIV,FW,Nice,fr Ligue 1,27-118,1997,19.4,3.61,3.61,1.96,0.67,0.62,0.31,0.05,0.00,0.41,0.41,0.21,0.10,0.10,0.00,0.00,0.00,https://fbref.com/en/players/fe012aca/Jeremie-Boga,fe012aca,Big 5 combined
324,Jayden Bogle,ENG,DF,Sheffield Utd,eng Premier League,23-278,2000,28.0,1.00,1.00,0.82,0.04,0.04,0.04,0.07,0.00,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.00,https://fbref.com/en/players/ae5019e6/Jayden-Bogle,ae5019e6,Big 5 combined
325,Emil Bohinen,NOR,"MF,FW",Genoa,it Serie A,25-049,1999,0.4,2.50,2.81,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c83c203f/Emil-Bohinen,c83c203f,Big 5 combined
326,Emil Bohinen,NOR,MF,Salernitana,it Serie A,25-049,1999,5.9,2.03,2.02,1.69,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c83c203f/Emil-Bohinen,c83c203f,Big 5 combined
327,Adama Bojang,GAM,FW,Reims,fr Ligue 1,19-338,2004,0.7,2.86,2.73,1.43,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e606b6c0/Adama-Bojang,e606b6c0,Big 5 combined
328,Daniel Boloca,ROU,MF,Sassuolo,it Serie A,25-130,1998,21.7,2.35,2.35,2.07,0.00,0.28,0.00,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/85f7ed25/Daniel-Boloca,85f7ed25,Big 5 combined
329,Willy Boly,CIV,DF,Nott'ham Forest,eng Premier League,33-087,1991,13.0,0.85,0.85,0.69,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a4ac4b8f/Willy-Boly,a4ac4b8f,Big 5 combined
330,Giacomo Bonaventura,ITA,MF,Fiorentina,it Serie A,34-252,1989,23.2,3.32,3.33,2.76,0.13,0.04,0.17,0.22,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d995ed27/Giacomo-Bonaventura,d995ed27,Big 5 combined
331,Federico Bonazzoli,ITA,"FW,MF",Hellas Verona,it Serie A,26-345,1997,10.1,2.57,2.57,2.18,0.00,0.00,0.40,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bf57eaab/Federico-Bonazzoli,bf57eaab,Big 5 combined
332,Warren Bondo,FRA,MF,Monza,it Serie A,20-228,2003,13.4,1.94,1.94,1.34,0.00,0.15,0.30,0.07,0.07,0.30,0.30,0.22,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/0def2376/Warren-Bondo,0def2376,Big 5 combined
333,Giovanni Bonfanti,ITA,DF,Atalanta,it Serie A,21-104,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/938d8a55/Giovanni-Bonfanti,938d8a55,Big 5 combined
334,Victor Boniface,NGA,FW,Leverkusen,de Bundesliga,23-129,2000,15.4,3.57,3.57,1.75,0.00,1.36,0.19,0.19,0.06,0.91,0.91,0.52,0.00,0.26,0.06,0.06,0.00,https://fbref.com/en/players/b146275b/Victor-Boniface,b146275b,Big 5 combined
335,Kevin Bonifazi,ITA,DF,Bologna,it Serie A,27-347,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fb77bfef/Kevin-Bonifazi,fb77bfef,Big 5 combined
336,Kevin Bonifazi,ITA,DF,Frosinone,it Serie A,27-347,1996,2.2,0.91,0.90,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fb77bfef/Kevin-Bonifazi,fb77bfef,Big 5 combined
337,Leonardo Bonucci,ITA,DF,Union Berlin,de Bundesliga,36-365,1987,5.1,0.78,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/52ec54d0/Leonardo-Bonucci,52ec54d0,Big 5 combined
338,Ângelo Borges,BRA,"FW,MF",Strasbourg,fr Ligue 1,19-131,2004,12.2,4.43,4.45,3.52,0.16,0.41,0.08,0.16,0.08,0.49,0.49,0.41,0.00,0.00,0.00,0.08,0.00,https://fbref.com/en/players/737945d9/Angelo-Borges,737945d9,Big 5 combined
339,Neto Borges,BRA,DF,Clermont Foot,fr Ligue 1,27-230,1996,25.0,1.60,1.60,1.16,0.20,0.04,0.08,0.12,0.00,0.12,0.12,0.04,0.00,0.00,0.00,0.08,0.00,https://fbref.com/en/players/9f936061/Neto-Borges,9f936061,Big 5 combined
340,Yvandro Borges Sanches,LUX,"MF,FW",M'Gladbach,de Bundesliga,19-342,2004,0.2,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,https://fbref.com/en/players/36578017/Yvandro-Borges-Sanches,36578017,Big 5 combined
341,Sebastiaan Bornauw,BEL,DF,Wolfsburg,de Bundesliga,25-039,1999,13.9,0.29,0.29,0.07,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/01834aa0/Sebastiaan-Bornauw,01834aa0,Big 5 combined
342,Rafael Borré,COL,FW,Werder Bremen,de Bundesliga,28-228,1995,11.0,2.00,2.00,1.73,0.00,0.00,0.18,0.09,0.00,0.18,0.18,0.09,0.00,0.00,0.00,0.09,0.00,https://fbref.com/en/players/c68da769/Rafael-Borre,c68da769,Big 5 combined
343,Gennaro Borrelli,ITA,FW,Frosinone,it Serie A,24-051,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/04c4edc1/Gennaro-Borrelli,04c4edc1,Big 5 combined
344,Adri Bosch,ESP,DF,Granada,es La Liga,22-326,2001,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/cb1e5807/Adri-Bosch,cb1e5807,Big 5 combined
345,Erik Botheim,NOR,"FW,MF",Salernitana,it Serie A,24-111,2000,3.5,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3d13d9e4/Erik-Botheim,3d13d9e4,Big 5 combined
346,Sven Botman,NED,DF,Newcastle Utd,eng Premier League,24-109,2000,15.3,0.92,0.92,0.78,0.00,0.00,0.13,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ccce7025/Sven-Botman,ccce7025,Big 5 combined
347,Ayyoub Bouaddi,FRA,MF,Lille,fr Ligue 1,16-211,2007,1.5,1.33,1.37,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8006228f/Ayyoub-Bouaddi,8006228f,Big 5 combined
348,Badredine Bouanani,ALG,FW,Nice,fr Ligue 1,19-144,2004,1.8,5.56,5.59,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,0400dd2f,Big 5 combined
349,Badredine Bouanani,ALG,MF,Lorient,fr Ligue 1,19-144,2004,3.8,4.21,4.17,3.16,0.26,0.26,0.00,0.53,0.00,0.53,0.52,0.53,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,0400dd2f,Big 5 combined
350,Hicham Boudaoui,ALG,MF,Nice,fr Ligue 1,24-220,1999,16.5,2.73,2.73,2.00,0.12,0.12,0.30,0.18,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f9d5908e/Hicham-Boudaoui,f9d5908e,Big 5 combined
351,Yassine Bounou,MAR,GK,Sevilla,es La Liga,33-025,1991,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,f6798fc3,Big 5 combined
352,Mehdi Bourabia,MAR,MF,Frosinone,it Serie A,32-267,1991,2.2,1.82,1.79,1.36,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,0d077b88,Big 5 combined
353,Benjamin Bourigeaud,FRA,"MF,FW",Rennes,fr Ligue 1,30-107,1994,24.4,4.18,4.18,2.70,1.27,0.04,0.16,0.00,0.00,0.53,0.53,0.41,0.04,0.00,0.08,0.00,0.00,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,20e73fac,Big 5 combined
354,Bilal Boutobba,FRA,"FW,MF",Clermont Foot,fr Ligue 1,25-245,1998,10.2,3.24,3.22,2.06,0.20,0.29,0.29,0.29,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e8a65bc8/Bilal-Boutobba,e8a65bc8,Big 5 combined
355,Hugo Boutsingkham,FRA,"MF,FW",Nantes,fr Ligue 1,21-101,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3b6ace25/Hugo-Boutsingkham,3b6ace25,Big 5 combined
356,Edoardo Bove,ITA,MF,Roma,it Serie A,21-350,2002,17.1,1.93,1.93,1.64,0.00,0.06,0.00,0.23,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ae94a6c5/Edoardo-Bove,ae94a6c5,Big 5 combined
357,Jarrod Bowen,ENG,FW,West Ham,eng Premier League,27-132,1996,31.5,2.48,2.47,1.68,0.22,0.19,0.16,0.16,0.06,0.38,0.38,0.29,0.03,0.00,0.03,0.00,0.03,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,79c84d1c,Big 5 combined
358,Lucas Boyé,ARG,FW,Granada,es La Liga,28-062,1996,23.4,3.08,3.08,2.22,0.04,0.43,0.30,0.04,0.04,0.34,0.34,0.26,0.00,0.09,0.00,0.00,0.00,https://fbref.com/en/players/d49f3e6b/Lucas-Boye,d49f3e6b,Big 5 combined
359,Domagoj Bradarić,CRO,DF,Salernitana,it Serie A,24-142,1999,29.7,2.02,2.02,1.55,0.27,0.03,0.03,0.07,0.07,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8bbe2df5/Domagoj-Bradaric,8bbe2df5,Big 5 combined
360,Conor Bradley,NIR,DF,Liverpool,eng Premier League,20-296,2003,8.1,3.33,3.32,2.22,0.12,0.37,0.25,0.12,0.25,0.37,0.37,0.25,0.12,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bbd67769/Conor-Bradley,bbd67769,Big 5 combined
361,Bilal Brahimi,ALG,FW,Nice,fr Ligue 1,24-047,2000,0.1,10.0,8.18,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/02bcaf8e/Bilal-Brahimi,02bcaf8e,Big 5 combined
362,Bilal Brahimi,ALG,"FW,MF",Brest,fr Ligue 1,24-047,2000,2.4,5.00,4.91,4.17,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/02bcaf8e/Bilal-Brahimi,02bcaf8e,Big 5 combined
363,Juan Brandáriz,ESP,DF,Almería,es La Liga,25-059,1999,22.0,0.91,0.91,0.77,0.05,0.00,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2475cf9b/Juan-Brandariz,2475cf9b,Big 5 combined
364,Julian Brandt,GER,"MF,FW",Dortmund,de Bundesliga,27-364,1996,23.6,5.47,5.47,3.14,1.82,0.30,0.17,0.00,0.04,0.72,0.72,0.38,0.25,0.04,0.04,0.00,0.00,https://fbref.com/en/players/a167537f/Julian-Brandt,a167537f,Big 5 combined
365,Jarrad Branthwaite,ENG,DF,Everton,eng Premier League,21-308,2002,31.6,0.70,0.70,0.57,0.00,0.00,0.03,0.06,0.03,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c1949191/Jarrad-Branthwaite,c1949191,Big 5 combined
366,Darko Brašanac,SRB,MF,Osasuna,es La Liga,32-078,1992,0.5,4.00,3.75,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4accb7e0/Darko-Brasanac,4accb7e0,Big 5 combined
367,Lilian Brassier,FRA,DF,Brest,fr Ligue 1,24-180,1999,26.7,0.60,0.60,0.49,0.00,0.04,0.00,0.00,0.07,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5b146df3/Lilian-Brassier,5b146df3,Big 5 combined
368,Claudio Bravo,CHI,GK,Betis,es La Liga,41-017,1983,7.0,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/10072610/Claudio-Bravo,10072610,Big 5 combined
369,Fabian Bredlow,GER,GK,Stuttgart,de Bundesliga,29-059,1995,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d28339cb/Fabian-Bredlow,d28339cb,Big 5 combined
370,Tim Breithaupt,GER,MF,Augsburg,de Bundesliga,22-083,2002,4.9,1.43,1.44,1.43,0.00,0.00,0.00,0.00,0.00,0.20,0.21,0.20,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ed98c321/Tim-Breithaupt,ed98c321,Big 5 combined
371,Josip Brekalo,CRO,FW,Fiorentina,it Serie A,25-312,1998,7.2,2.64,2.62,2.08,0.28,0.14,0.00,0.14,0.00,0.42,0.41,0.28,0.00,0.00,0.00,0.14,0.00,https://fbref.com/en/players/d4a2533d/Josip-Brekalo,d4a2533d,Big 5 combined
372,Gleison Bremer,BRA,DF,Juventus,it Serie A,27-043,1997,32.9,0.61,0.61,0.46,0.00,0.00,0.09,0.00,0.06,0.09,0.09,0.06,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,5fd5ed86,Big 5 combined
373,Brenner,BRA,"FW,MF",Udinese,it Serie A,24-105,2000,0.5,4.00,4.09,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/279508bf/Brenner,279508bf,Big 5 combined
374,Ben Brereton,CHI,"FW,MF",Sheffield Utd,eng Premier League,25-012,1999,9.5,2.32,2.31,1.47,0.00,0.42,0.21,0.11,0.11,0.32,0.32,0.21,0.00,0.11,0.00,0.00,0.00,https://fbref.com/en/players/57827369/Ben-Brereton,57827369,Big 5 combined
375,Ben Brereton,CHI,"FW,MF",Villarreal,es La Liga,25-012,1999,3.0,1.33,1.33,0.67,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/57827369/Ben-Brereton,57827369,Big 5 combined
376,Marco Brescianini,ITA,MF,Frosinone,it Serie A,24-101,2000,21.9,1.55,1.55,1.28,0.00,0.14,0.05,0.09,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/dfd56738/Marco-Brescianini,dfd56738,Big 5 combined
377,Maximilian Breunig,GER,FW,Freiburg,de Bundesliga,23-260,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1e37c986/Maximilian-Breunig,1e37c986,Big 5 combined
378,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,eng Premier League,24-029,2000,3.4,1.76,1.76,1.47,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/30e81a88/Rhian-Brewster,30e81a88,Big 5 combined
379,Armando Broja,ALB,FW,Chelsea,eng Premier League,22-233,2001,5.0,1.60,1.59,1.00,0.00,0.20,0.00,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,https://fbref.com/en/players/97220da2/Armando-Broja,97220da2,Big 5 combined
