Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
228,Luuk Koopmans,NED,GK,Fortuna Sittard,30-164,1993,3.0,25.0,16.0,9.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.7,0.00,0.00,https://fbref.com/en/players/71be74bb/Luuk-Koopmans,71be74bb,Eredivisie
229,Peer Koopmeiners,NED,MF,Almere City,23-362,2000,29.8,47.7,41.1,6.41,3.09,0.10,0.20,5.13,0.20,3.05,0.94,1.31,0.00,30.3,0.23,1.07,https://fbref.com/en/players/83454d60/Peer-Koopmeiners,83454d60,Eredivisie
230,Kacper Kozłowski,POL,"MF,FW",Vitesse,20-197,2003,19.8,29.3,26.8,2.37,0.20,0.10,0.45,3.03,0.51,1.21,0.66,0.45,0.00,20.7,0.15,0.96,https://fbref.com/en/players/3ece036c/Kacper-Kozlowski,3ece036c,Eredivisie
231,Joris Kramer,NED,DF,Go Ahead Eag,27-272,1996,26.5,53.4,48.7,4.60,1.21,0.04,0.57,0.19,0.19,0.00,0.00,0.00,0.00,44.7,0.08,0.57,https://fbref.com/en/players/04e82fa0/Joris-Kramer,04e82fa0,Eredivisie
232,Michiel Kramer,NED,FW,RKC Waalwijk,35-149,1988,20.0,18.8,17.3,1.55,0.00,0.00,0.05,0.15,0.10,0.00,0.00,0.00,0.00,12.6,0.00,0.40,https://fbref.com/en/players/f175ca0a/Michiel-Kramer,f175ca0a,Eredivisie
233,Filip Krastev,BUL,MF,Zwolle,22-198,2001,7.1,42.4,41.0,1.27,0.70,0.00,0.14,0.42,0.42,0.14,0.00,0.00,0.00,33.9,0.14,1.27,https://fbref.com/en/players/7254ebfb/Filip-Krastev,7254ebfb,Eredivisie
234,Bas Kuipers,NED,DF,Go Ahead Eag,29-257,1994,29.9,44.6,33.3,11.0,1.81,0.13,0.30,4.25,7.86,1.34,0.43,0.23,0.00,30.8,0.27,0.84,https://fbref.com/en/players/149b617e/Bas-Kuipers,149b617e,Eredivisie
235,Garang Kuol,AUS,"FW,MF",Volendam,19-228,2004,7.6,16.4,15.8,0.53,0.13,0.00,0.39,1.71,0.26,0.00,0.00,0.00,0.00,9.87,0.13,0.39,https://fbref.com/en/players/a8a80be7/Garang-Kuol,a8a80be7,Eredivisie
236,Dave Kwakman,NED,MF,AZ Alkmaar,19-267,2004,0.8,80.0,77.5,2.50,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,76.3,0.00,1.25,https://fbref.com/en/players/2cc959a8/Dave-Kwakman,2cc959a8,Eredivisie
237,Rajiv van La Parra,NED,FW,Almere City,32-331,1991,19.0,22.3,20.1,2.16,0.47,0.00,0.00,2.37,0.84,0.47,0.26,0.16,0.00,13.8,0.05,1.21,https://fbref.com/en/players/1931bde9/Rajiv-van-La-Parra,1931bde9,Eredivisie
238,Zakaria Labyad,MAR,"MF,FW",Utrecht,31-052,1993,3.1,31.6,27.1,4.52,1.29,0.32,0.00,5.16,0.00,3.23,1.61,1.61,0.00,19.7,0.00,0.97,https://fbref.com/en/players/ebc56869/Zakaria-Labyad,ebc56869,Eredivisie
239,Mayckel Lahdo,SWE,FW,AZ Alkmaar,21-122,2002,8.5,34.8,34.7,0.12,0.00,0.24,0.12,1.53,0.12,0.00,0.00,0.00,0.00,26.6,0.00,1.76,https://fbref.com/en/players/6b390f32/Mayckel-Lahdo,6b390f32,Eredivisie
240,Thomas Lam,FIN,DF,Zwolle,30-134,1993,27.4,59.2,55.6,3.47,1.82,0.00,0.22,0.07,0.11,0.00,0.00,0.00,0.00,51.8,0.11,0.33,https://fbref.com/en/players/e7fea51e/Thomas-Lam,e7fea51e,Eredivisie
241,Sam Lammers,NED,FW,Utrecht,27-000,1997,14.8,24.8,23.9,0.61,0.00,0.07,0.07,0.74,0.00,0.00,0.00,0.00,0.00,15.9,0.27,0.81,https://fbref.com/en/players/c283ddef/Sam-Lammers,c283ddef,Eredivisie
242,Lazaros Lamprou,GRE,"FW,MF",Excelsior,26-133,1997,15.7,27.1,26.2,0.76,0.25,0.13,0.19,2.68,0.45,0.06,0.00,0.00,0.00,18.8,0.19,0.70,https://fbref.com/en/players/42e1ea60/Lazaros-Lamprou,42e1ea60,Eredivisie
243,Tygo Land,NED,MF,PSV Eindhoven,18-110,2006,0.2,155.0,155.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.0,0.00,0.00,https://fbref.com/en/players/bd448460/Tygo-Land,bd448460,Eredivisie
244,Noa Lang,NED,"FW,MF",PSV Eindhoven,24-318,1999,6.5,47.2,43.7,3.23,0.77,0.62,0.15,3.08,2.00,0.46,0.00,0.00,0.00,37.1,0.31,1.23,https://fbref.com/en/players/8e034340/Noa-Lang,8e034340,Eredivisie
245,Tobias Lauritsen,NOR,FW,Sparta R'dam,26-244,1997,24.6,24.8,23.9,0.81,0.00,0.12,0.08,0.24,0.00,0.04,0.00,0.04,0.00,14.3,0.04,0.81,https://fbref.com/en/players/d266f8c9/Tobias-Lauritsen,d266f8c9,Eredivisie
246,Marko Lazetić,SRB,"FW,DF",Fortuna Sittard,20-099,2004,2.0,16.0,14.0,2.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,10.5,0.00,0.00,https://fbref.com/en/players/93088fbb/Marko-Lazetic,93088fbb,Eredivisie
247,Luke Le Roux,RSA,MF,Volendam,24-051,2000,6.8,35.4,35.0,0.44,0.29,0.00,0.29,0.44,0.15,0.00,0.00,0.00,0.00,28.2,0.00,0.29,https://fbref.com/en/players/e30117aa/Luke-Le-Roux,e30117aa,Eredivisie
248,Kelvin Leerdam,SUR,"DF,MF",Heracles Almelo,33-311,1990,5.9,53.4,49.8,3.56,1.69,0.00,0.85,0.17,0.51,0.00,0.00,0.00,0.00,45.8,0.00,0.34,https://fbref.com/en/players/d8b47705/Kelvin-Leerdam,d8b47705,Eredivisie
249,Yannick Leliendal,NED,DF,Utrecht,22-007,2002,5.5,45.3,36.4,8.73,0.73,0.18,0.18,1.45,8.00,0.00,0.00,0.00,0.00,35.1,0.18,0.55,https://fbref.com/en/players/c8ecc3d9/Yannick-Leliendal,c8ecc3d9,Eredivisie
250,Julian Lelieveld,NED,DF,RKC Waalwijk,26-158,1997,25.7,54.7,44.1,10.3,0.70,0.19,0.66,3.00,9.61,0.00,0.00,0.00,0.00,41.5,0.27,1.44,https://fbref.com/en/players/fa7e8a83/Julian-Lelieveld,fa7e8a83,Eredivisie
251,Isac Lidberg,SWE,FW,Utrecht,25-235,1998,9.3,18.8,17.8,0.97,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,11.0,0.00,1.40,https://fbref.com/en/players/2eeae3a7/Isac-Lidberg,2eeae3a7,Eredivisie
252,Anthony Limbombe,BEL,FW,Almere City,29-290,1994,2.0,31.5,25.5,6.00,1.50,0.00,0.50,5.50,1.00,3.50,1.00,0.50,1.00,23.5,0.00,1.50,https://fbref.com/en/players/ccee698e/Anthony-Limbombe,ccee698e,Eredivisie
253,Bryan Limbombe,BEL,"FW,MF",Heracles Almelo,22-352,2001,17.6,20.1,19.6,0.45,0.00,0.00,0.00,1.93,0.40,0.00,0.00,0.00,0.00,14.1,0.06,0.80,https://fbref.com/en/players/1b6c663e/Bryan-Limbombe,1b6c663e,Eredivisie
254,Ondřej Lingr,CZE,"MF,FW",Feyenoord,25-206,1998,3.0,33.3,33.0,0.00,0.00,0.33,0.67,0.67,0.00,0.00,0.00,0.00,0.00,25.3,0.33,1.33,https://fbref.com/en/players/66a7effe/Ondrej-Lingr,66a7effe,Eredivisie
255,Evert Linthorst,NED,MF,Go Ahead Eag,24-058,2000,23.3,46.2,45.5,0.64,0.47,0.04,0.64,0.77,0.04,0.09,0.04,0.04,0.00,37.9,0.00,0.73,https://fbref.com/en/players/baa31f3d/Evert-Linthorst,baa31f3d,Eredivisie
256,Enric Llansana,NED,"MF,DF",Go Ahead Eag,23-018,2001,13.1,54.6,53.3,0.99,0.46,0.00,0.08,0.46,0.46,0.00,0.00,0.00,0.00,44.6,0.31,0.99,https://fbref.com/en/players/6f095aa4/Enric-Llansana,6f095aa4,Eredivisie
257,Loizos Loizou,CYP,"FW,MF",Heerenveen,20-287,2003,1.3,25.4,24.6,0.77,0.00,0.00,0.00,1.54,0.77,0.00,0.00,0.00,0.00,15.4,0.00,0.77,https://fbref.com/en/players/975eda74/Loizos-Loizou,975eda74,Eredivisie
258,Chris Lokesa,BEL,"FW,MF",RKC Waalwijk,19-175,2004,20.5,25.3,24.0,1.22,0.10,0.34,0.20,1.27,0.20,0.49,0.10,0.20,0.00,19.5,0.05,0.73,https://fbref.com/en/players/f80083c8/Chris-Lokesa,f80083c8,Eredivisie
259,Justin Lonwijk,NED,"FW,MF",Fortuna Sittard,24-131,1999,8.6,22.2,21.6,0.35,0.12,0.00,0.35,0.58,0.00,0.00,0.00,0.00,0.00,14.2,0.23,1.05,https://fbref.com/en/players/9cf14be5/Justin-Lonwijk,9cf14be5,Eredivisie
260,Marcos López,PER,DF,Feyenoord,24-162,1999,3.1,87.7,74.5,13.2,2.58,0.32,0.32,0.97,10.6,0.00,0.00,0.00,0.00,73.2,0.00,0.97,https://fbref.com/en/players/9b3ab988/Marcos-Lopez,9b3ab988,Eredivisie
261,Hirving Lozano,MEX,FW,PSV Eindhoven,28-275,1995,16.0,38.4,35.8,2.44,0.38,0.13,0.38,4.31,0.56,1.38,0.69,0.44,0.00,29.7,0.13,1.44,https://fbref.com/en/players/a69e4806/Hirving-Lozano,a69e4806,Eredivisie
262,Thierry Lutonda,BEL,DF,RKC Waalwijk,23-186,2000,7.9,47.6,38.5,8.86,0.38,0.00,0.00,1.27,8.48,0.00,0.00,0.00,0.00,37.8,0.25,1.27,https://fbref.com/en/players/22367f92/Thierry-Lutonda,22367f92,Eredivisie
263,Christopher Mamengi,NED,"DF,FW",Almere City,23-027,2001,0.8,35.0,32.5,2.50,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.5,0.00,0.00,https://fbref.com/en/players/64921e21/Christopher-Mamengi,64921e21,Eredivisie
