Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
210,Tobias Lauritsen,NOR,FW,Sparta R'dam,26-131,1997,16,15,1309,14.5,0.34,0.28,0.62,0.14,0.21,0.21,0.07,0.00,0.50,0.34,0.14,0.48,0.55,3.17,5.66,0.34,0.28,0.62,0.14,0.41,0.50,0.14,0.64,0.33,0.48,https://fbref.com/en/players/d266f8c9/Tobias-Lauritsen,d266f8c9,Eredivisie
211,Marko Lazetić,SRB,"FW,DF",Fortuna Sittard,19-351,2004,8,3,177,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.10,0.10,0.30,0.35,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.09,0.29,0.37,0.09,0.37,https://fbref.com/en/players/93088fbb/Marko-Lazetic,93088fbb,Eredivisie
212,Luke Le Roux,RSA,MF,Volendam,23-304,2000,1,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e30117aa/Luke-Le-Roux,e30117aa,Eredivisie
213,Yannick Leliendal,NED,DF,Utrecht,21-260,2002,8,6,496,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.02,0.02,1.09,3.09,2.91,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/c8ecc3d9/Yannick-Leliendal,c8ecc3d9,Eredivisie
214,Julian Lelieveld,NED,DF,RKC Waalwijk,26-045,1997,16,16,1323,14.7,0.00,0.14,0.14,0.00,0.00,0.00,0.07,0.00,0.01,0.01,0.22,0.23,1.22,5.10,4.42,0.00,0.14,0.14,0.00,0.14,0.01,0.22,0.23,0.01,0.23,https://fbref.com/en/players/fa7e8a83/Julian-Lelieveld,fa7e8a83,Eredivisie
215,Isac Lidberg,SWE,FW,Utrecht,25-122,1998,12,7,566,6.3,0.16,0.32,0.48,0.16,0.00,0.00,0.16,0.00,0.30,0.30,0.13,0.43,1.27,0.16,4.92,0.16,0.32,0.48,0.16,0.48,0.30,0.13,0.43,0.30,0.43,https://fbref.com/en/players/2eeae3a7/Isac-Lidberg,2eeae3a7,Eredivisie
216,Anthony Limbombe,BEL,FW,Almere City,29-177,1994,3,3,182,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.50,0.55,4.00,0.50,6.00,0.00,0.00,0.00,0.00,0.00,0.07,0.49,0.57,0.07,0.57,https://fbref.com/en/players/ccee698e/Anthony-Limbombe,ccee698e,Eredivisie
217,Bryan Limbombe,BEL,"FW,MF",Heracles Almelo,22-239,2001,14,9,754,8.4,0.12,0.00,0.12,0.12,0.00,0.00,0.24,0.00,0.19,0.19,0.06,0.25,3.10,1.31,5.36,0.12,0.00,0.12,0.12,0.12,0.19,0.06,0.25,0.19,0.25,https://fbref.com/en/players/1b6c663e/Bryan-Limbombe,1b6c663e,Eredivisie
218,Ondřej Lingr,CZE,"FW,MF",Feyenoord,25-093,1998,7,0,89,1.0,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.90,0.90,1.00,1.90,1.00,2.00,7.00,1.01,1.01,2.02,1.01,2.02,0.93,1.02,1.95,0.93,1.95,https://fbref.com/en/players/66a7effe/Ondrej-Lingr,66a7effe,Eredivisie
219,Evert Linthorst,NED,MF,Go Ahead Eag,23-311,2000,14,13,1024,11.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.06,0.08,0.96,5.44,1.67,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,https://fbref.com/en/players/baa31f3d/Evert-Linthorst,baa31f3d,Eredivisie
220,Enric Llansana,NED,"MF,DF",Go Ahead Eag,22-271,2001,13,2,457,5.1,0.20,0.00,0.20,0.20,0.00,0.00,0.20,0.00,0.08,0.08,0.04,0.14,2.16,8.82,1.37,0.20,0.00,0.20,0.20,0.20,0.09,0.05,0.13,0.09,0.13,https://fbref.com/en/players/6f095aa4/Enric-Llansana,6f095aa4,Eredivisie
221,Chris Lokesa,BEL,"MF,FW",RKC Waalwijk,19-062,2004,13,7,731,8.1,0.12,0.00,0.12,0.12,0.00,0.00,0.12,0.00,0.27,0.27,0.14,0.40,2.59,2.96,6.05,0.12,0.00,0.12,0.12,0.12,0.27,0.13,0.40,0.27,0.40,https://fbref.com/en/players/f80083c8/Chris-Lokesa,f80083c8,Eredivisie
222,Marcos López,PER,DF,Feyenoord,24-049,1999,5,1,146,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,3.13,6.88,9.38,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,https://fbref.com/en/players/9b3ab988/Marcos-Lopez,9b3ab988,Eredivisie
223,Hirving Lozano,MEX,"FW,MF",PSV Eindhoven,28-162,1995,9,7,611,6.8,0.74,0.29,1.03,0.74,0.00,0.00,0.00,0.00,0.78,0.78,0.24,1.01,4.12,3.97,16.0,0.74,0.29,1.03,0.74,1.03,0.78,0.23,1.01,0.78,1.01,https://fbref.com/en/players/a69e4806/Hirving-Lozano,a69e4806,Eredivisie
224,Thierry Lutonda,BEL,DF,RKC Waalwijk,23-073,2000,4,3,221,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.80,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/en/players/22367f92/Thierry-Lutonda,22367f92,Eredivisie
225,Christopher Mamengi,NED,"DF,FW",Almere City,22-280,2001,9,0,71,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,https://fbref.com/en/players/64921e21/Christopher-Mamengi,64921e21,Eredivisie
226,Million Manhoef,NED,FW,Vitesse,22-005,2002,15,14,1203,13.4,0.30,0.00,0.30,0.30,0.00,0.00,0.00,0.07,0.19,0.19,0.10,0.29,5.52,2.76,6.94,0.30,0.00,0.30,0.30,0.30,0.19,0.10,0.29,0.19,0.29,https://fbref.com/en/players/3fa733bc/Million-Manhoef,3fa733bc,Eredivisie
227,Sivert Mannsverk,NOR,MF,Ajax,21-245,2002,1,1,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/773e16b9/Sivert-Mannsverk,773e16b9,Eredivisie
228,Richonell Margaret,NED,"FW,MF",RKC Waalwijk,23-123,2000,11,0,313,3.5,0.29,0.00,0.29,0.29,0.00,0.00,0.57,0.00,0.17,0.17,0.09,0.26,4.00,2.29,10.3,0.29,0.00,0.29,0.29,0.29,0.19,0.09,0.27,0.19,0.27,https://fbref.com/en/players/7044f85d/Richonell-Margaret,7044f85d,Eredivisie
