Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
513,Sebastian Santos,MEX,MF,León,19,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/0e3ee284/Sebastian-Santos,0e3ee284,Liga MX
514,Camilo Sanvezzo,BRA,"FW,MF",Toluca,34,1988,10.1,16.4,22.2,74.1,219.7,55.1,9.70,11.4,85.2,4.26,5.54,76.8,0.79,1.78,44.4,0.30,0.17,0.22,0.13,1.19,1.39,1.19,0.10,2.18,https://fbref.com/en/players/ca1fedb4/Camilo-Sanvezzo,ca1fedb4,Liga MX
515,Sebastián Saucedo,USA,"MF,FW",Toluca,25,1997,3.3,44.5,55.2,80.8,703.0,94.5,24.8,27.3,91.1,15.2,18.2,83.3,3.03,4.85,62.5,0.30,0.15,0.12,0.15,2.12,0.30,1.21,0.91,1.21,https://fbref.com/en/players/07aed9c9/Sebastian-Saucedo,07aed9c9,Liga MX
516,Francisco Sebastián Córdova,MEX,"MF,FW",UANL,25,1997,20.2,27.7,40.9,67.8,435.3,129.9,15.5,18.0,86.3,7.28,10.7,68.1,3.17,7.97,39.8,0.25,0.24,0.28,0.01,2.97,3.12,0.89,0.25,3.76,https://fbref.com/en/players/6f760f44/Francisco-Sebastian-Cordova,6f760f44,Liga MX
517,Ángel Sepúlveda,MEX,FW,Querétaro,31,1991,22.8,15.3,25.0,61.1,247.6,45.3,8.29,12.1,68.2,5.35,8.07,66.3,1.23,1.97,62.2,0.09,0.08,0.07,0.00,1.18,1.54,0.31,0.09,1.97,https://fbref.com/en/players/cec676c5/Angel-Sepulveda,cec676c5,Liga MX
518,Gilberto Sepúlveda,MEX,DF,Guadalajara,23,1999,32.4,32.7,40.6,80.5,689.7,245.0,9.20,10.2,90.0,17.9,20.3,87.9,5.37,9.32,57.6,0.00,0.02,0.04,-0.02,0.19,2.04,0.12,0.03,2.78,https://fbref.com/en/players/06834adf/Gilberto-Sepulveda,06834adf,Liga MX
519,Leonardo Sequeira,ARG,"MF,FW",Querétaro,27,1995,11.1,14.4,20.7,69.6,204.0,52.5,7.57,10.1,75.0,5.23,6.76,77.3,0.45,0.99,45.5,0.00,0.14,0.14,-0.14,1.35,1.08,0.81,0.45,1.17,https://fbref.com/en/players/f775c775/Leonardo-Sequeira,f775c775,Liga MX
520,Jordan Sierra,ECU,MF,FC Juárez,25,1997,13.7,33.1,39.8,83.3,526.5,155.8,17.5,19.8,88.6,12.3,14.5,84.8,2.19,3.36,65.2,0.00,0.04,0.06,-0.04,1.02,3.65,0.73,0.22,4.74,https://fbref.com/en/players/6ea0fa68/Jordan-Sierra,6ea0fa68,Liga MX
521,Jordan Sierra,ECU,"MF,FW",Toluca,25,1997,8.3,41.3,49.8,83.1,642.9,171.0,21.2,23.5,90.3,17.5,21.0,83.3,2.05,3.73,54.8,0.00,0.10,0.05,-0.10,0.72,3.13,1.08,0.24,3.73,https://fbref.com/en/players/6ea0fa68/Jordan-Sierra,6ea0fa68,Liga MX
522,Antony Silva,PAR,GK,Puebla,38,1984,31.0,18.8,26.7,70.5,549.5,423.7,4.23,4.26,99.2,7.42,7.71,96.2,6.61,14.1,47.0,0.00,0.00,0.00,0.00,0.00,0.65,0.06,0.00,0.00,https://fbref.com/en/players/949bc248/Antony-Silva,949bc248,Liga MX
