Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
191,Sebastián Fierro,MEX,MF,UANL,20,2001,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/70565276/Sebastian-Fierro,70565276,Liga MX
192,Abraham Flores,MEX,DF,Tijuana,20,2002,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/32a7f855/Abraham-Flores,32a7f855,Liga MX
193,Edison Flores,PER,MF,Atlas,28,1994,9.1,0.00,1.54,0.44,28.6,1.53,0.44,0.00,0.00,16.8,0.00,0.00,0.00,0.18,0.18,0.12,-0.18,-0.18,https://fbref.com/en/players/ef2c82f8/Edison-Flores,ef2c82f8,Liga MX
194,Fabricio Formiliano,URU,DF,Necaxa,29,1993,11.9,0.08,0.42,0.17,40.0,0.42,0.17,0.20,0.50,11.8,0.00,0.00,0.00,0.03,0.03,0.08,0.05,0.05,https://fbref.com/en/players/aa385931/Fabricio-Formiliano,aa385931,Liga MX
195,Alexis Francisco Peña,MEX,DF,Necaxa,26,1996,33.5,0.03,0.42,0.12,28.6,0.42,0.12,0.07,0.25,11.5,0.00,0.00,0.00,0.04,0.04,0.09,-0.01,-0.01,https://fbref.com/en/players/ee246a94/Alexis-Francisco-Pena,ee246a94,Liga MX
196,Nicolás Freire,ARG,DF,UNAM,28,1994,31.8,0.06,0.38,0.09,25.0,0.38,0.09,0.17,0.67,10.9,0.00,0.00,0.00,0.03,0.02,0.06,0.04,0.04,https://fbref.com/en/players/653222cd/Nicolas-Freire,653222cd,Liga MX
197,Adonis Frías,ARG,DF,León,24,1998,11.6,0.00,0.34,0.00,0.0,0.35,0.00,0.00,,15.5,0.09,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,https://fbref.com/en/players/1b2f1090/Adonis-Frias,1b2f1090,Liga MX
198,Raymundo Fulgencio,MEX,"FW,MF",UANL,22,2000,12.7,0.08,1.65,0.39,23.8,1.65,0.39,0.05,0.20,16.6,0.00,0.00,0.00,0.13,0.13,0.08,-0.06,-0.06,https://fbref.com/en/players/27b6a658/Raymundo-Fulgencio,27b6a658,Liga MX
199,Ramiro Funes Mori,ARG,DF,Cruz Azul,31,1991,22.4,0.04,1.07,0.31,29.2,1.07,0.31,0.04,0.14,15.1,0.00,0.00,0.00,0.10,0.10,0.10,-0.06,-0.06,https://fbref.com/en/players/89cbc961/Ramiro-Funes-Mori,89cbc961,Liga MX
200,Rogelio Funes Mori,MEX,FW,Monterrey,31,1991,19.8,0.81,3.54,1.57,44.3,3.54,1.57,0.19,0.42,16.2,0.00,0.15,0.20,0.68,0.52,0.15,0.13,0.14,https://fbref.com/en/players/bf9a2406/Rogelio-Funes-Mori,bf9a2406,Liga MX
201,Julio Furch,ARG,FW,Atlas,33,1989,20.8,0.24,1.92,0.63,32.5,1.92,0.62,0.10,0.31,15.1,0.00,0.05,0.05,0.27,0.23,0.12,-0.03,-0.04,https://fbref.com/en/players/84d35e44/Julio-Furch,84d35e44,Liga MX
202,Alam Galindo,MEX,FW,Tijuana,21,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/75a15d99/Alam-Galindo,75a15d99,Liga MX
203,José Galindo,MEX,DF,UNAM,24,1998,10.8,0.00,0.09,0.09,100.0,0.09,0.09,0.00,0.00,6.8,0.00,0.00,0.00,0.01,0.01,0.13,-0.01,-0.01,https://fbref.com/en/players/c06004ce/Jose-Galindo,c06004ce,Liga MX
204,Jesús Gallardo,MEX,DF,Monterrey,27,1994,24.8,0.20,1.21,0.56,46.7,1.21,0.56,0.17,0.36,20.1,0.00,0.00,0.00,0.09,0.09,0.08,0.11,0.11,https://fbref.com/en/players/d0846b6c/Jesus-Gallardo,d0846b6c,Liga MX
205,Isaias Galván,MEX,MF,UANL,17,2005,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/bf9e5df6/Isaias-Galvan,bf9e5df6,Liga MX
206,Juan Gamboa,MEX,"MF,DF",Toluca,21,2001,0.2,0.00,5.00,5.00,100.0,5.63,5.63,0.00,0.00,34.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/034b513a/Juan-Gamboa,034b513a,Liga MX
207,Brian García,MEX,DF,Toluca,24,1997,14.8,0.14,0.81,0.20,25.0,0.81,0.20,0.17,0.67,16.4,0.00,0.00,0.00,0.11,0.11,0.14,0.02,0.02,https://fbref.com/en/players/dfe2cfc8/Brian-Garcia,dfe2cfc8,Liga MX
208,Brian García,MEX,DF,Necaxa,24,1997,17.0,0.06,0.65,0.06,9.1,0.65,0.06,0.09,1.00,23.3,0.06,0.00,0.00,0.04,0.04,0.06,0.02,0.02,https://fbref.com/en/players/dfe2cfc8/Brian-Garcia,dfe2cfc8,Liga MX
209,Denzell García,MEX,MF,FC Juárez,18,2003,10.5,0.10,0.76,0.19,25.0,0.76,0.19,0.13,0.50,30.0,0.00,0.00,0.00,0.07,0.07,0.09,0.03,0.03,https://fbref.com/en/players/86fc5e05/Denzell-Garcia,86fc5e05,Liga MX
