Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
113,Jordi Cortizo,MEX,"MF,FW",Monterrey,27-192,1996,7.6,60.1,0.53,5.79,27.2,27.9,2.89,60.1,5.00,3.55,71.1,0.92,18.4,38.6,230.4,99.3,2.63,2.24,0.53,3.82,1.45,45.5,8.42,https://fbref.com/en/players/c0986642/Jordi-Cortizo,c0986642,Liga MX
114,Rodolfo Cota,MEX,GK,León,36-189,1987,16.0,28.1,24.4,27.9,0.19,0.00,0.00,28.1,0.06,0.06,100.0,0.00,0.0,14.7,84.8,51.6,0.00,0.00,0.00,0.00,0.00,8.75,0.00,https://fbref.com/en/players/a4a5868e/Rodolfo-Cota,a4a5868e,Liga MX
115,Aldo Cruz,MEX,DF,FC Juárez,26-106,1997,8.5,55.3,2.35,17.3,29.4,9.06,0.12,55.3,1.06,0.71,66.7,0.35,33.3,26.4,124.1,57.5,0.71,0.71,0.00,1.53,0.47,29.8,2.47,https://fbref.com/en/players/398fb976/Aldo-Cruz,398fb976,Liga MX
116,Jürgen Damm,MEX,FW,Atlético,31-062,1992,2.5,61.6,1.60,8.40,22.0,31.2,7.20,61.6,3.20,1.20,37.5,0.80,25.0,39.2,202.8,96.0,5.20,1.20,1.60,3.20,1.60,47.6,15.6,https://fbref.com/en/players/bbf8bf7a/Jurgen-Damm,bbf8bf7a,Liga MX
117,Juan David Castro,MEX,"FW,MF",Atlético,32-018,1991,1.2,67.5,1.67,8.33,43.3,16.7,1.67,67.5,2.50,0.83,33.3,1.67,66.7,42.5,296.7,195.0,6.67,2.50,0.00,0.83,0.83,50.0,3.33,https://fbref.com/en/players/d06a7432/Juan-David-Castro,d06a7432,Liga MX
118,José David Ramírez,MEX,"DF,MF",León,28-025,1995,6.4,68.4,0.78,10.3,35.2,24.1,1.72,68.4,1.41,0.78,55.6,0.47,33.3,41.3,249.2,118.1,3.13,1.56,0.94,1.41,0.94,49.7,9.38,https://fbref.com/en/players/9396692d/Jose-David-Ramirez,9396692d,Liga MX
119,Víctor Dávila,CHI,FW,León,26-065,1997,2.8,67.9,0.36,2.50,28.6,36.8,6.43,67.9,2.14,1.07,50.0,1.07,50.0,42.1,192.1,81.4,2.50,2.50,0.36,3.21,2.14,54.3,10.4,https://fbref.com/en/players/aca8043a/Victor-Davila,aca8043a,Liga MX
120,Diego De Buen,MEX,"MF,DF",Puebla,32-189,1991,17.0,57.4,4.76,21.9,30.3,5.53,0.82,57.4,0.82,0.41,50.0,0.41,50.0,27.7,124.4,64.1,0.65,0.59,0.06,1.00,0.41,36.3,0.59,https://fbref.com/en/players/73bca0c9/Diego-De-Buen,73bca0c9,Liga MX
121,Sergio De los Ríos,MEX,FW,América,20-194,2003,0.2,50.0,5.00,5.00,35.0,10.0,0.00,50.0,5.00,0.00,0.0,5.00,100.0,40.0,105.0,10.0,0.00,0.00,0.00,5.00,0.00,40.0,0.00,https://fbref.com/en/players/f1550173/Sergio-De-los-Rios,f1550173,Liga MX
122,Gustavo Del Prete,ARG,"MF,FW",UNAM,27-210,1996,7.7,45.8,1.04,4.29,21.4,21.2,5.84,45.8,3.51,1.69,48.1,1.69,48.1,27.7,151.8,67.3,2.99,2.47,1.69,3.51,2.21,33.9,6.10,https://fbref.com/en/players/839ac4ea/Gustavo-Del-Prete,839ac4ea,Liga MX
123,Everardo Del Villar,MEX,DF,Toluca,18-291,2005,1.2,75.0,0.83,27.5,39.2,10.0,0.83,75.0,0.00,0.00,,0.00,,38.3,146.7,85.0,0.83,0.00,0.00,0.83,0.00,42.5,2.50,https://fbref.com/en/players/18f8c925/Everardo-Del-Villar,18f8c925,Liga MX
124,Lucas Di Yorio,ARG,FW,Pachuca,27-047,1996,11.3,31.7,1.15,1.86,12.2,17.9,6.02,31.7,2.30,0.71,30.8,1.42,61.5,16.5,118.1,46.2,2.21,1.24,1.24,2.30,1.77,23.4,6.28,https://fbref.com/en/players/5c339cf6/Lucas-Di-Yorio,5c339cf6,Liga MX
125,Nicolás Díaz Huincales,CHI,DF,Tijuana,24-233,1999,14.9,64.8,8.19,34.3,28.0,3.15,0.81,64.8,0.34,0.27,80.0,0.00,0.0,34.4,200.1,120.3,1.28,0.67,0.00,0.74,0.20,38.8,1.01,https://fbref.com/en/players/308990ee/Nicolas-Diaz-Huincales,308990ee,Liga MX
126,Jair Díaz,MEX,DF,Mazatlán,25-140,1998,9.0,56.7,3.67,23.9,24.1,9.11,0.89,56.7,1.33,1.00,75.0,0.33,25.0,29.0,133.1,74.9,0.89,0.89,0.11,1.33,0.78,33.8,2.33,https://fbref.com/en/players/a1a5a22b/Jair-Diaz,a1a5a22b,Liga MX
127,Josué Díaz,MEX,"DF,MF",Cruz Azul,19-114,2004,0.5,46.0,0.00,14.0,22.0,12.0,2.00,46.0,4.00,4.00,100.0,0.00,0.0,28.0,122.0,44.0,0.00,0.00,0.00,2.00,0.00,28.0,4.00,https://fbref.com/en/players/ae4ca8ef/Josue-Diaz,ae4ca8ef,Liga MX
128,Willer Ditta,COL,DF,Cruz Azul,26-350,1997,15.0,65.5,5.93,33.1,30.6,3.13,0.27,65.5,0.93,0.80,85.7,0.07,7.1,38.0,219.4,110.7,1.07,1.07,0.07,0.60,0.40,39.9,0.40,https://fbref.com/en/players/95c2f969/Willer-Ditta,95c2f969,Liga MX
129,Alexei Dominguez,MEX,"MF,FW",Pachuca,19-005,2005,2.0,49.5,0.50,5.50,19.5,25.5,1.50,49.5,4.50,2.00,44.4,2.50,55.6,29.0,192.5,85.5,2.50,2.00,1.50,2.00,2.00,33.5,12.0,https://fbref.com/en/players/82b6b52d/Alexei-Dominguez,82b6b52d,Liga MX
130,Juan Domínguez,MEX,"FW,MF",Toluca,25-070,1998,10.9,52.8,0.55,5.50,22.7,25.0,4.50,52.8,3.49,1.74,50.0,1.65,47.4,33.2,189.7,86.1,2.20,2.11,1.28,2.57,2.39,39.8,8.99,https://fbref.com/en/players/ef645a7b/Juan-Dominguez,ef645a7b,Liga MX
131,Julio Domínguez,MEX,DF,Atlético,36-061,1987,14.7,56.9,5.99,29.5,26.3,1.22,0.68,56.9,0.07,0.07,100.0,0.00,0.0,32.7,171.4,84.2,0.61,0.07,0.00,0.48,0.07,41.0,0.20,https://fbref.com/en/players/99b865b7/Julio-Dominguez,99b865b7,Liga MX
132,Misael Domínguez,MEX,"MF,DF",Necaxa,24-073,1999,1.2,70.0,0.00,2.50,24.2,45.8,1.67,70.0,5.00,2.50,50.0,1.67,33.3,48.3,385.0,272.5,7.50,6.67,0.00,3.33,1.67,54.2,10.8,https://fbref.com/en/players/691bf9fe/Misael-Dominguez,691bf9fe,Liga MX
133,Dória,BRA,DF,Santos,29-061,1994,9.0,51.1,6.44,26.9,22.4,2.44,1.33,51.1,0.11,0.11,100.0,0.00,0.0,24.6,132.3,65.7,0.00,0.44,0.00,0.33,0.00,28.0,0.11,https://fbref.com/en/players/d28b4a9d/Doria,d28b4a9d,Liga MX
134,Jonathan dos Santos,MEX,MF,América,33-257,1990,12.8,92.0,2.66,21.9,62.2,8.44,0.08,92.0,1.09,0.70,64.3,0.39,35.7,51.3,202.3,96.7,1.02,0.94,0.08,0.55,0.31,71.2,0.78,https://fbref.com/en/players/91872dec/Jonathan-dos-Santos,91872dec,Liga MX
135,Rodrigo Dourado,BRA,MF,Atlético,29-205,1994,15.2,72.8,8.68,25.0,42.4,5.86,0.79,72.8,0.79,0.39,50.0,0.33,41.7,40.7,221.0,131.1,0.99,0.99,0.07,0.66,0.53,49.1,1.12,https://fbref.com/en/players/d7d05a22/Rodrigo-Dourado,d7d05a22,Liga MX
136,Jesús Dueñas,MEX,"MF,FW",Cruz Azul,34-298,1989,0.9,111.1,1.11,18.9,75.6,17.8,0.00,111.1,1.11,0.00,0.0,1.11,100.0,75.6,388.9,215.6,3.33,2.22,0.00,0.00,1.11,85.6,7.78,https://fbref.com/en/players/44267704/Jesus-Duenas,44267704,Liga MX
137,Emmanuel Echeverría,MEX,DF,Santos,20-096,2003,0.2,50.0,5.00,15.0,35.0,0.00,0.00,50.0,0.00,0.00,,0.00,,35.0,235.0,170.0,0.00,0.00,0.00,0.00,0.00,35.0,0.00,https://fbref.com/en/players/a76ba9b4/Emmanuel-Echeverria,a76ba9b4,Liga MX
138,Javier Eduardo López,MEX,"MF,FW",Pachuca,29-113,1994,2.9,62.4,0.69,2.76,25.9,34.8,3.10,62.4,2.07,1.38,66.7,0.69,33.3,35.5,157.6,76.9,2.07,1.03,0.34,3.10,2.07,45.2,6.90,https://fbref.com/en/players/f851b52f/Javier-Eduardo-Lopez,f851b52f,Liga MX
139,Francisco Eduardo Venegas,MEX,DF,Mazatlán,25-176,1998,4.5,65.6,3.11,23.6,27.3,15.6,2.67,65.6,1.56,0.89,57.1,0.67,42.9,34.2,154.9,91.8,0.89,0.22,0.67,1.33,0.89,37.8,5.11,https://fbref.com/en/players/4a305362/Francisco-Eduardo-Venegas,4a305362,Liga MX
140,Luis Enrique Quiñones,COL,"FW,MF",UANL,32-196,1991,14.6,60.3,1.03,4.18,21.9,34.9,3.63,60.3,4.38,1.99,45.3,2.19,50.0,36.8,189.5,78.0,2.40,1.58,1.10,2.60,1.16,44.7,12.6,https://fbref.com/en/players/39c52d54/Luis-Enrique-Quinones,39c52d54,Liga MX
141,Robert Ergas,URU,"FW,DF",UNAM,25-358,1998,3.5,64.3,2.57,14.6,25.1,25.7,1.43,64.3,4.00,2.29,57.1,1.71,42.9,31.7,211.1,127.4,3.14,2.29,0.29,2.00,2.29,32.9,6.86,https://fbref.com/en/players/b7cdda99/Robert-Ergas,b7cdda99,Liga MX
142,Kevin Escamilla,MEX,MF,Querétaro,29-321,1994,13.1,38.0,1.60,10.5,22.8,5.04,0.84,38.0,0.31,0.08,25.0,0.23,75.0,16.9,78.7,34.4,0.76,0.46,0.15,0.99,0.46,19.2,0.61,https://fbref.com/en/players/deee261c/Kevin-Escamilla,deee261c,Liga MX
143,Juan Escobar,PAR,DF,Cruz Azul,28-189,1995,13.6,62.0,7.57,33.1,27.3,1.91,1.10,62.0,0.44,0.07,16.7,0.29,66.7,32.3,149.5,73.9,0.44,0.22,0.07,0.51,0.15,36.3,0.22,https://fbref.com/en/players/d48a1284/Juan-Escobar,d48a1284,Liga MX
144,Alonso Escoboza,MEX,DF,Cruz Azul,30-351,1993,0.9,62.2,4.44,16.7,27.8,18.9,1.11,62.2,3.33,2.22,66.7,1.11,33.3,30.0,215.6,98.9,2.22,2.22,0.00,1.11,0.00,31.1,4.44,https://fbref.com/en/players/6087c5c7/Alonso-Escoboza,6087c5c7,Liga MX
145,Amaury Escoto,MEX,"FW,MF",FC Juárez,31-039,1992,4.6,25.9,0.87,1.96,10.7,13.5,4.35,25.9,0.87,0.00,0.0,0.87,100.0,13.7,75.4,24.6,0.65,0.43,0.00,2.83,0.43,18.3,3.26,https://fbref.com/en/players/7db31ca9/Amaury-Escoto,7db31ca9,Liga MX
146,Carlos Felipe Rodríguez,MEX,GK,UANL,34-280,1989,1.0,35.0,29.0,35.0,0.00,0.00,0.00,35.0,0.00,0.00,,0.00,,21.0,51.0,36.0,0.00,0.00,0.00,0.00,0.00,21.0,0.00,https://fbref.com/en/players/ce239870/Carlos-Felipe-Rodriguez,ce239870,Liga MX
147,Omar Fernández Frasica,COL,"MF,FW",León,30-331,1993,4.0,77.5,1.25,12.5,42.0,23.5,1.25,77.5,2.50,1.25,50.0,1.25,50.0,50.3,340.8,172.0,3.25,3.25,0.25,0.75,1.75,58.0,6.25,https://fbref.com/en/players/548d8753/Omar-Fernandez-Frasica,548d8753,Liga MX
148,Gabriel Fernández,URU,FW,UNAM,29-240,1994,12.7,37.6,1.73,2.52,17.6,17.9,4.57,37.6,2.83,0.94,33.3,1.73,61.1,19.1,121.6,44.3,1.73,1.26,0.71,4.33,1.65,26.9,7.01,https://fbref.com/en/players/36c5f77b/Gabriel-Fernandez,36c5f77b,Liga MX
149,Rafael Fernández,MEX,DF,Tijuana,23-156,2000,4.5,51.6,2.89,20.4,25.8,5.78,2.22,51.6,0.44,0.00,0.0,0.22,50.0,24.7,127.8,62.9,1.11,0.22,0.00,0.89,1.11,26.4,0.89,https://fbref.com/en/players/49511283/Rafael-Fernandez,49511283,Liga MX
150,Luis Fernando Fuentes,MEX,DF,América,37-116,1986,11.1,68.5,2.97,22.8,33.2,12.5,0.36,68.5,0.72,0.18,25.0,0.54,75.0,33.8,148.9,65.9,0.90,1.35,0.09,0.54,0.45,45.6,3.33,https://fbref.com/en/players/01099a98/Luis-Fernando-Fuentes,01099a98,Liga MX
